"","date","AHC"
"1","2008-02-11",14.4
"2","2008-02-12",13.6
"3","2008-02-13",13.79
"4","2008-02-14",13.4
"5","2008-02-15",13.18
"6","2008-02-19",13.25
"7","2008-02-20",13
"8","2008-02-21",12.45
"9","2008-02-22",13.04
"10","2008-02-25",13.67
"11","2008-02-26",13.34
"12","2008-02-27",12.7
"13","2008-02-28",12.41
"14","2008-02-29",12.17
"15","2008-03-03",12.18
"16","2008-03-04",11.75
"17","2008-03-05",11.73
"18","2008-03-06",11.75
"19","2008-03-07",11.65
"20","2008-03-10",11.55
"21","2008-03-11",11.41
"22","2008-03-12",11.32
"23","2008-03-13",11.51
"24","2008-03-14",11.44
"25","2008-03-17",10.9
"26","2008-03-18",10.92
"27","2008-03-19",10.66
"28","2008-03-20",11.51
"29","2008-03-24",11.23
"30","2008-03-25",11.94
"31","2008-03-26",11.62
"32","2008-03-27",11.38
"33","2008-03-28",11.35
"34","2008-03-31",11.43
"35","2008-04-01",11.74
"36","2008-04-02",11.08
"37","2008-04-03",11.1
"38","2008-04-04",11.02
"39","2008-04-07",11.03
"40","2008-04-08",10.79
"41","2008-04-09",10.48
"42","2008-04-10",10.41
"43","2008-04-11",10.41
"44","2008-04-14",10.67
"45","2008-04-15",11.11
"46","2008-04-16",11.29
"47","2008-04-17",11.68
"48","2008-04-18",11.97
"49","2008-04-21",10.97
"50","2008-04-22",10.55
"51","2008-04-23",9.69
"52","2008-04-24",9.74
"53","2008-04-25",10.15
"54","2008-04-28",10.21
"55","2008-04-29",9.9
"56","2008-04-30",9.75
"57","2008-05-01",9.6
"58","2008-05-02",9.15
"59","2008-05-05",9.2
"60","2008-05-06",9.16
"61","2008-05-07",8.77
"62","2008-05-08",8.6
"63","2008-05-09",8.61
"64","2008-05-12",8.95
"65","2008-05-13",8.65
"66","2008-05-14",8.41
"67","2008-05-15",8.23
"68","2008-05-16",8.39
"69","2008-05-19",8.4
"70","2008-05-20",8.07
"71","2008-05-21",7.49
"72","2008-05-22",7.51
"73","2008-05-23",8.1
"74","2008-05-27",8.02
"75","2008-05-28",8.24
"76","2008-05-29",8.7
"77","2008-05-30",9.5
"78","2008-06-02",9.26
"79","2008-06-03",9.46
"80","2008-06-04",9.38
"81","2008-06-05",9.48
"82","2008-06-06",9.42
"83","2008-06-09",9.2
"84","2008-06-10",8.63
"85","2008-06-11",8.1
"86","2008-06-12",8.03
"87","2008-06-13",7.97
"88","2008-06-16",7.67
"89","2008-06-17",7.68
"90","2008-06-18",7.48
"91","2008-06-19",7.01
"92","2008-06-20",6.7
"93","2008-06-23",6.45
"94","2008-06-24",6.06
"95","2008-06-25",6.61
"96","2008-06-26",6.02
"97","2008-06-27",5.7
"98","2008-06-30",5.7
"99","2008-07-01",5.32
"100","2008-07-02",5.28
"101","2008-07-03",5.45
"102","2008-07-07",5.25
"103","2008-07-08",6.35
"104","2008-07-09",5.97
"105","2008-07-10",5.88
"106","2008-07-11",6.09
"107","2008-07-14",5.86
"108","2008-07-15",5.81
"109","2008-07-16",6.09
"110","2008-07-17",5.9
"111","2008-07-18",5.83
"112","2008-07-21",5.87
"113","2008-07-22",6.38
"114","2008-07-23",6.6
"115","2008-07-24",6.53
"116","2008-07-25",6.4
"117","2008-07-28",5.98
"118","2008-07-29",5.21
"119","2008-07-30",5.3
"120","2008-07-31",5.4
"121","2008-08-01",5.14
"122","2008-08-04",5.07
"123","2008-08-05",5.43
"124","2008-08-06",5.44
"125","2008-08-07",5
"126","2008-08-08",5.09
"127","2008-08-11",5.08
"128","2008-08-12",5.27
"129","2008-08-13",5.1
"130","2008-08-14",5.23
"131","2008-08-15",5.2
"132","2008-08-18",5.2
"133","2008-08-19",5.07
"134","2008-08-20",5.04
"135","2008-08-21",4.97
"136","2008-08-22",4.87
"137","2008-08-25",4.67
"138","2008-08-26",4.74
"139","2008-08-27",4.71
"140","2008-08-28",5.02
"141","2008-08-29",4.85
"142","2008-09-02",5.01
"143","2008-09-03",5.24
"144","2008-09-04",5.19
"145","2008-09-05",5.34
"146","2008-09-08",5.81
"147","2008-09-09",5.86
"148","2008-09-10",5.66
"149","2008-09-11",5.94
