"","date","CTS"
"1","2007-01-03",15.68
"2","2007-01-04",15.72
"3","2007-01-05",15.48
"4","2007-01-08",15.38
"5","2007-01-09",15.54
"6","2007-01-10",15.63
"7","2007-01-11",15.9
"8","2007-01-12",15.95
"9","2007-01-16",16.110001
"10","2007-01-17",16.18
"11","2007-01-18",15.67
"12","2007-01-19",15.71
"13","2007-01-22",15.65
"14","2007-01-23",15.7
"15","2007-01-24",16.02
"16","2007-01-25",15.48
"17","2007-01-26",15.5
"18","2007-01-29",15.06
"19","2007-01-30",15.8
"20","2007-01-31",15.5
"21","2007-02-01",15.75
"22","2007-02-02",15.77
"23","2007-02-05",15.65
"24","2007-02-06",15.33
"25","2007-02-07",15.75
"26","2007-02-08",15.87
"27","2007-02-09",14.03
"28","2007-02-12",13.81
"29","2007-02-13",14.01
"30","2007-02-14",13.71
"31","2007-02-15",13.99
"32","2007-02-16",13.81
"33","2007-02-20",14.12
"34","2007-02-21",14
"35","2007-02-22",14
"36","2007-02-23",14.2
"37","2007-02-26",13.89
"38","2007-02-27",13.75
"39","2007-02-28",13.5
"40","2007-03-01",13.58
"41","2007-03-02",13.25
"42","2007-03-05",13.11
"43","2007-03-06",13.7
"44","2007-03-07",13.38
"45","2007-03-08",13.42
"46","2007-03-09",13.49
"47","2007-03-12",13.61
"48","2007-03-13",13.12
"49","2007-03-14",13.05
"50","2007-03-15",13.07
"51","2007-03-16",12.98
"52","2007-03-19",13.12
"53","2007-03-20",13.24
"54","2007-03-21",13.51
"55","2007-03-22",13.56
"56","2007-03-23",13.49
"57","2007-03-26",13.55
"58","2007-03-27",13.35
"59","2007-03-28",13.52
"60","2007-03-29",13.79
"61","2007-03-30",13.82
"62","2007-04-02",13.65
"63","2007-04-03",13.74
"64","2007-04-04",13.69
"65","2007-04-05",13.51
"66","2007-04-09",13.02
"67","2007-04-10",13.25
"68","2007-04-11",13
"69","2007-04-12",13.12
"70","2007-04-13",13.4
"71","2007-04-16",13.77
"72","2007-04-17",13.71
"73","2007-04-18",13.64
"74","2007-04-19",13.7
"75","2007-04-20",13.67
"76","2007-04-23",13.97
"77","2007-04-24",13.84
"78","2007-04-25",13.66
"79","2007-04-26",13.52
"80","2007-04-27",13.23
"81","2007-04-30",13.08
"82","2007-05-01",13.26
"83","2007-05-02",13
"84","2007-05-03",13.38
"85","2007-05-04",13.58
"86","2007-05-07",13.46
"87","2007-05-08",13.38
"88","2007-05-09",13.45
"89","2007-05-10",12.82
