"","date","ODP"
"1","2007-01-03",380.899994
"2","2007-01-04",375
"3","2007-01-05",375.799988
"4","2007-01-08",377
"5","2007-01-09",380.299988
"6","2007-01-10",384.100006
"7","2007-01-11",386.5
"8","2007-01-12",385.799988
"9","2007-01-16",384.799988
"10","2007-01-17",388.100006
"11","2007-01-18",392.700012
"12","2007-01-19",395.200012
"13","2007-01-22",388.399994
"14","2007-01-23",389.700012
"15","2007-01-24",385.5
"16","2007-01-25",375.200012
"17","2007-01-26",373.5
"18","2007-01-29",374.5
"19","2007-01-30",376.700012
"20","2007-01-31",373.899994
"21","2007-02-01",376.399994
"22","2007-02-02",376.899994
"23","2007-02-05",371.299988
"24","2007-02-06",370.700012
"25","2007-02-07",367.600006
"26","2007-02-08",371.100006
"27","2007-02-09",366.399994
"28","2007-02-12",365
"29","2007-02-13",375.100006
"30","2007-02-14",362.100006
"31","2007-02-15",361
"32","2007-02-16",356.5
"33","2007-02-20",350.299988
"34","2007-02-21",357.200012
"35","2007-02-22",355.700012
"36","2007-02-23",352.399994
"37","2007-02-26",351.299988
"38","2007-02-27",339.100006
"39","2007-02-28",333.600006
"40","2007-03-01",333.5
"41","2007-03-02",336.100006
"42","2007-03-05",329
"43","2007-03-06",336.5
"44","2007-03-07",341
"45","2007-03-08",347.399994
"46","2007-03-09",348
"47","2007-03-12",350
"48","2007-03-13",344.100006
"49","2007-03-14",341.399994
"50","2007-03-15",344
"51","2007-03-16",346.899994
"52","2007-03-19",346.5
"53","2007-03-20",354.799988
"54","2007-03-21",359.5
"55","2007-03-22",354.899994
"56","2007-03-23",353.399994
"57","2007-03-26",353.899994
"58","2007-03-27",351.299988
"59","2007-03-28",350.200012
"60","2007-03-29",350
"61","2007-03-30",351.399994
"62","2007-04-02",352.899994
"63","2007-04-03",353.299988
"64","2007-04-04",350.100006
"65","2007-04-05",348.600006
"66","2007-04-09",351.399994
"67","2007-04-10",353
"68","2007-04-11",349.899994
"69","2007-04-12",354.299988
"70","2007-04-13",352
"71","2007-04-16",361.200012
"72","2007-04-17",361.899994
"73","2007-04-18",363.899994
"74","2007-04-19",360.200012
"75","2007-04-20",361.700012
"76","2007-04-23",365.299988
"77","2007-04-24",365.299988
"78","2007-04-25",365
"79","2007-04-26",347.5
"80","2007-04-27",341.799988
"81","2007-04-30",336.200012
"82","2007-05-01",339.100006
"83","2007-05-02",344.600006
"84","2007-05-03",347
"85","2007-05-04",347.600006
"86","2007-05-07",348.200012
"87","2007-05-08",345.399994
"88","2007-05-09",345.600006
"89","2007-05-10",350
"90","2007-05-11",350.299988
"91","2007-05-14",345.200012
"92","2007-05-15",344.600006
