"","date","NKTR"
"1","2007-01-03",15.24
"2","2007-01-04",14.85
"3","2007-01-05",14.52
"4","2007-01-08",14.4
"5","2007-01-09",14.19
"6","2007-01-10",14.17
"7","2007-01-11",13.96
"8","2007-01-12",14.61
"9","2007-01-16",14.52
"10","2007-01-17",14.4
"11","2007-01-18",14.46
"12","2007-01-19",14.63
"13","2007-01-22",14.4
"14","2007-01-23",13.03
"15","2007-01-24",13.49
"16","2007-01-25",13.31
"17","2007-01-26",13.29
"18","2007-01-29",13.18
"19","2007-01-30",12.93
"20","2007-01-31",12.7
"21","2007-02-01",12.61
"22","2007-02-02",12.48
"23","2007-02-05",12.18
"24","2007-02-06",11.9
"25","2007-02-07",12.3
"26","2007-02-08",12.84
"27","2007-02-09",12.76
"28","2007-02-12",12.48
"29","2007-02-13",12.66
"30","2007-02-14",12.76
"31","2007-02-15",13.1
"32","2007-02-16",13.02
"33","2007-02-20",12.97
"34","2007-02-21",13.05
"35","2007-02-22",12.95
"36","2007-02-23",12.91
"37","2007-02-26",12.6
"38","2007-02-27",12.01
"39","2007-02-28",11.86
"40","2007-03-01",11.72
"41","2007-03-02",11.87
"42","2007-03-05",11.58
"43","2007-03-06",11.72
"44","2007-03-07",11.49
"45","2007-03-08",11.49
"46","2007-03-09",11.26
"47","2007-03-12",11.22
"48","2007-03-13",11.2
"49","2007-03-14",11.28
"50","2007-03-15",11.45
"51","2007-03-16",11.38
"52","2007-03-19",11.45
"53","2007-03-20",11.48
"54","2007-03-21",12.15
"55","2007-03-22",12.44
"56","2007-03-23",12.31
"57","2007-03-26",12.31
"58","2007-03-27",12.61
"59","2007-03-28",12.68
"60","2007-03-29",12.55
"61","2007-03-30",13.06
"62","2007-04-02",13.02
"63","2007-04-03",13.34
"64","2007-04-04",13.58
"65","2007-04-05",13.58
"66","2007-04-09",13.31
"67","2007-04-10",12.99
"68","2007-04-11",12.79
"69","2007-04-12",12.74
"70","2007-04-13",12.68
"71","2007-04-16",12.84
"72","2007-04-17",12.68
"73","2007-04-18",12.62
"74","2007-04-19",12.53
"75","2007-04-20",12.85
"76","2007-04-23",12.7
"77","2007-04-24",12.58
"78","2007-04-25",12.69
"79","2007-04-26",12.93
"80","2007-04-27",12.72
"81","2007-04-30",12.37
"82","2007-05-01",11.86
"83","2007-05-02",11.79
"84","2007-05-03",11.84
"85","2007-05-04",11.34
"86","2007-05-07",11.48
"87","2007-05-08",11.23
"88","2007-05-09",11.15
"89","2007-05-10",11.79
"90","2007-05-11",12.19
"91","2007-05-14",11.98
"92","2007-05-15",11.48
"93","2007-05-16",11.55
"94","2007-05-17",11.46
"95","2007-05-18",11.4
"96","2007-05-21",11.66
"97","2007-05-22",11.52
"98","2007-05-23",11.79
"99","2007-05-24",11.31
"100","2007-05-25",11.56
"101","2007-05-29",11.64
"102","2007-05-30",11.54
