"","date","DISH"
"1","2007-01-03",38.369999
"2","2007-01-04",38.209999
"3","2007-01-05",38.369999
"4","2007-01-08",38.950001
"5","2007-01-09",39.43
"6","2007-01-10",39.529999
"7","2007-01-11",39.860001
"8","2007-01-12",40.48
"9","2007-01-16",40.91
"10","2007-01-17",40.77
"11","2007-01-18",40.41
"12","2007-01-19",40.049999
"13","2007-01-22",39.860001
"14","2007-01-23",40.560001
"15","2007-01-24",40.990002
"16","2007-01-25",39.419998
"17","2007-01-26",39.41
"18","2007-01-29",39.439999
"19","2007-01-30",39.09
"20","2007-01-31",40.34
"21","2007-02-01",39.73
"22","2007-02-02",40.380001
"23","2007-02-05",41
"24","2007-02-06",41.290001
"25","2007-02-07",42.07
"26","2007-02-08",42.32
"27","2007-02-09",41.580002
"28","2007-02-12",41.700001
"29","2007-02-13",42.119999
"30","2007-02-14",42.040001
"31","2007-02-15",42
"32","2007-02-16",42.529999
"33","2007-02-20",43.169998
"34","2007-02-21",42.349998
"35","2007-02-22",42.439999
"36","2007-02-23",42.52
"37","2007-02-26",42.470001
"38","2007-02-27",40.900002
"39","2007-02-28",40.599998
"40","2007-03-01",42.68
"41","2007-03-02",41.82
"42","2007-03-05",42.27
"43","2007-03-06",43.049999
"44","2007-03-07",43.939999
"45","2007-03-08",44.43
"46","2007-03-09",43.32
"47","2007-03-12",44.279999
"48","2007-03-13",42.93
"49","2007-03-14",42.5
"50","2007-03-15",42.970001
"51","2007-03-16",42.700001
"52","2007-03-19",43.32
"53","2007-03-20",43.34
"54","2007-03-21",44.040001
"55","2007-03-22",44.169998
"56","2007-03-23",43.360001
"57","2007-03-26",43.09
"58","2007-03-27",43.169998
"59","2007-03-28",42.77
"60","2007-03-29",42.869999
"61","2007-03-30",43.43
"62","2007-04-02",43.540001
"63","2007-04-03",44.040001
"64","2007-04-04",44.77
"65","2007-04-05",44.709999
"66","2007-04-09",45.139999
"67","2007-04-10",45.900002
"68","2007-04-11",45.970001
"69","2007-04-12",46.23
"70","2007-04-13",46.470001
"71","2007-04-16",46.91
"72","2007-04-17",47.049999
"73","2007-04-18",47
"74","2007-04-19",46.630001
"75","2007-04-20",46.869999
"76","2007-04-23",46.57
"77","2007-04-24",46.84
