"","date","ATRC"
"1","2007-01-03",9.15
"2","2007-01-04",9.14
"3","2007-01-05",9.7
"4","2007-01-08",9.46
"5","2007-01-09",9.46
"6","2007-01-10",10.06
"7","2007-01-11",9.93
"8","2007-01-12",9.93
"9","2007-01-16",9.9
"10","2007-01-17",9.8
"11","2007-01-18",9.9
"12","2007-01-19",9.85
"13","2007-01-22",9.66
"14","2007-01-23",9.6
"15","2007-01-24",9.3
"16","2007-01-25",9.17
"17","2007-01-26",9.5
"18","2007-01-29",9.55
"19","2007-01-30",9.91
"20","2007-01-31",10.5
"21","2007-02-01",10.48
"22","2007-02-02",11.68
"23","2007-02-05",11.94
"24","2007-02-06",11.93
"25","2007-02-07",12.3
"26","2007-02-08",12.22
"27","2007-02-09",12
"28","2007-02-12",12.47
"29","2007-02-13",12.85
"30","2007-02-14",13.14
"31","2007-02-15",12.84
"32","2007-02-16",11.99
"33","2007-02-20",12.35
"34","2007-02-21",12.02
"35","2007-02-22",11.27
"36","2007-02-23",10.8
"37","2007-02-26",10.95
"38","2007-02-27",10.5
"39","2007-02-28",10.11
"40","2007-03-01",10.53
"41","2007-03-02",10.68
"42","2007-03-05",10.68
"43","2007-03-06",10.79
"44","2007-03-07",10.85
"45","2007-03-08",10.96
"46","2007-03-09",11.19
"47","2007-03-12",11.15
"48","2007-03-13",11
"49","2007-03-14",10.83
"50","2007-03-15",10.96
"51","2007-03-16",11.25
"52","2007-03-19",11.5
"53","2007-03-20",11.15
"54","2007-03-21",10.87
"55","2007-03-22",10.71
"56","2007-03-23",10.95
"57","2007-03-26",11.03
"58","2007-03-27",10.48
"59","2007-03-28",10.7
"60","2007-03-29",10.1
"61","2007-03-30",10.21
"62","2007-04-02",10
"63","2007-04-03",9.88
"64","2007-04-04",9.97
"65","2007-04-05",10.26
"66","2007-04-09",10.13
"67","2007-04-10",10.03
"68","2007-04-11",10.05
"69","2007-04-12",10.11
"70","2007-04-13",10.45
"71","2007-04-16",10.51
"72","2007-04-17",10.41
"73","2007-04-18",10.25
"74","2007-04-19",10.47
"75","2007-04-20",11.24
"76","2007-04-23",11.26
"77","2007-04-24",11.6
"78","2007-04-25",11.38
"79","2007-04-26",11.48
"80","2007-04-27",11.51
"81","2007-04-30",11.19
"82","2007-05-01",11
"83","2007-05-02",11
"84","2007-05-03",11.03
"85","2007-05-04",11.55
"86","2007-05-07",11.67
"87","2007-05-08",11.48
"88","2007-05-09",10.99
"89","2007-05-10",10.92
"90","2007-05-11",10.55
"91","2007-05-14",10.84
"92","2007-05-15",10.74
"93","2007-05-16",10.7
"94","2007-05-17",10.08
"95","2007-05-18",10.06
"96","2007-05-21",10.02
"97","2007-05-22",9.98
"98","2007-05-23",10.42
"99","2007-05-24",9.62
"100","2007-05-25",9.71
"101","2007-05-29",9.8
"102","2007-05-30",9.81
"103","2007-05-31",9.9
