"","date","CBRL"
"1","2007-01-03",44.91
"2","2007-01-04",45.459999
"3","2007-01-05",45.07
"4","2007-01-08",45.049999
"5","2007-01-09",45.450001
"6","2007-01-10",45.549999
"7","2007-01-11",45.790001
"8","2007-01-12",46.349998
"9","2007-01-16",47.549999
"10","2007-01-17",47.299999
"11","2007-01-18",46.720001
"12","2007-01-19",46.73
"13","2007-01-22",46.52
"14","2007-01-23",46.419998
"15","2007-01-24",46.66
"16","2007-01-25",46.16
"17","2007-01-26",45.990002
"18","2007-01-29",46.110001
"19","2007-01-30",46.73
"20","2007-01-31",46.880001
"21","2007-02-01",47.130001
"22","2007-02-02",47.580002
"23","2007-02-05",47.369999
"24","2007-02-06",47.490002
"25","2007-02-07",47.439999
"26","2007-02-08",47.810001
"27","2007-02-09",47.299999
"28","2007-02-12",47.400002
"29","2007-02-13",48.049999
"30","2007-02-14",48.41
"31","2007-02-15",48.189999
"32","2007-02-16",48.880001
"33","2007-02-20",47
"34","2007-02-21",47.400002
"35","2007-02-22",47.299999
"36","2007-02-23",47.43
"37","2007-02-26",47.650002
"38","2007-02-27",46.220001
"39","2007-02-28",46.66
"40","2007-03-01",47.200001
"41","2007-03-02",46.43
"42","2007-03-05",45.630001
"43","2007-03-06",46.439999
"44","2007-03-07",46.439999
"45","2007-03-08",46.369999
"46","2007-03-09",46.799999
"47","2007-03-12",47.689999
"48","2007-03-13",46.970001
"49","2007-03-14",47.049999
"50","2007-03-15",47.32
"51","2007-03-16",47.639999
"52","2007-03-19",48.439999
"53","2007-03-20",49.59
"54","2007-03-21",49.889999
"55","2007-03-22",50.310001
"56","2007-03-23",50.369999
"57","2007-03-26",50.34
"58","2007-03-27",47.740002
"59","2007-03-28",46.380001
"60","2007-03-29",46.849998
"61","2007-03-30",46.299999
"62","2007-04-02",46.07
"63","2007-04-03",47.099998
"64","2007-04-04",46.709999
"65","2007-04-05",46.689999
"66","2007-04-09",46.380001
"67","2007-04-10",45.939999
"68","2007-04-11",45.209999
"69","2007-04-12",45.369999
"70","2007-04-13",45.849998
"71","2007-04-16",46.41
"72","2007-04-17",46.650002
"73","2007-04-18",45.860001
"74","2007-04-19",45.73
"75","2007-04-20",45.75
"76","2007-04-23",44.98
"77","2007-04-24",44.869999
"78","2007-04-25",45.259998
"79","2007-04-26",45.389999
"80","2007-04-27",45.389999
"81","2007-04-30",44.580002
"82","2007-05-01",45.23
"83","2007-05-02",45.740002
"84","2007-05-03",45.82
"85","2007-05-04",45.889999
"86","2007-05-07",46.029999
"87","2007-05-08",46.150002
"88","2007-05-09",46.189999
"89","2007-05-10",45.669998
"90","2007-05-11",46.740002
"91","2007-05-14",46.470001
"92","2007-05-15",46.060001
"93","2007-05-16",46.630001
"94","2007-05-17",46.330002
"95","2007-05-18",46.57
"96","2007-05-21",46.939999
"97","2007-05-22",45.700001
