"","date","BCDA"
"1","2007-01-03",75.599998
"2","2007-01-04",75.599998
"3","2007-01-05",75.599998
"4","2007-01-08",75.599998
"5","2007-01-09",75.599998
"6","2007-01-10",75.599998
"7","2007-01-11",75.599998
"8","2007-01-12",75.599998
"9","2007-01-16",75.599998
"10","2007-01-17",75.599998
"11","2007-01-18",75.599998
"12","2007-01-19",75.599998
"13","2007-01-22",75.599998
"14","2007-01-23",75.599998
"15","2007-01-24",64.800003
"16","2007-01-25",64.800003
"17","2007-01-26",64.800003
"18","2007-01-29",64.800003
"19","2007-01-30",64.800003
"20","2007-01-31",64.800003
"21","2007-02-01",64.800003
"22","2007-02-02",75.599998
"23","2007-02-05",75.599998
"24","2007-02-06",97.199997
"25","2007-02-07",97.199997
"26","2007-02-08",86.400002
"27","2007-02-09",86.400002
"28","2007-02-12",86.400002
"29","2007-02-13",86.400002
"30","2007-02-14",86.400002
"31","2007-02-15",86.400002
"32","2007-02-16",237.600006
"33","2007-02-20",129.600006
"34","2007-02-21",129.600006
"35","2007-02-22",97.199997
"36","2007-02-23",97.199997
"37","2007-02-26",97.199997
"38","2007-02-27",97.199997
"39","2007-02-28",97.199997
"40","2007-03-01",108
"41","2007-03-02",108
"42","2007-03-05",108
"43","2007-03-06",108
"44","2007-03-07",108
"45","2007-03-08",108
"46","2007-03-09",86.400002
"47","2007-03-12",86.400002
"48","2007-03-13",86.400002
"49","2007-03-14",86.400002
"50","2007-03-15",75.599998
"51","2007-03-16",75.599998
"52","2007-03-19",75.599998
"53","2007-03-20",75.599998
"54","2007-03-21",75.599998
"55","2007-03-22",75.599998
"56","2007-03-23",75.599998
"57","2007-03-26",75.599998
"58","2007-03-27",86.400002
"59","2007-03-28",86.400002
"60","2007-03-29",86.400002
"61","2007-03-30",64.800003
"62","2007-04-02",75.599998
"63","2007-04-03",75.599998
"64","2007-04-04",75.599998
"65","2007-04-05",75.599998
"66","2007-04-09",75.599998
"67","2007-04-10",108
"68","2007-04-11",97.199997
"69","2007-04-12",97.199997
"70","2007-04-13",108
"71","2007-04-16",108
"72","2007-04-17",108
"73","2007-04-18",108
"74","2007-04-19",108
"75","2007-04-20",108
"76","2007-04-23",108
"77","2007-04-24",108
"78","2007-04-25",108
"79","2007-04-26",108
"80","2007-04-27",108
"81","2007-04-30",108
"82","2007-05-01",108
"83","2007-05-02",108
"84","2007-05-03",86.400002
"85","2007-05-04",86.400002
"86","2007-05-07",86.400002
"87","2007-05-08",108
"88","2007-05-09",108
"89","2007-05-10",108
"90","2007-05-11",108
"91","2007-05-14",97.199997
"92","2007-05-15",97.199997
"93","2007-05-16",97.199997
"94","2007-05-17",97.199997
"95","2007-05-18",97.199997
"96","2007-05-21",97.199997
"97","2007-05-22",97.199997
"98","2007-05-23",97.199997
