"","date","ACM"
"1","2007-05-10",21.1
"2","2007-05-11",21.85
"3","2007-05-14",22.299999
"4","2007-05-15",21
"5","2007-05-16",22.940001
"6","2007-05-17",23.01
"7","2007-05-18",22.99
"8","2007-05-21",23.65
"9","2007-05-22",23.950001
"10","2007-05-23",23.9
"11","2007-05-24",23.049999
"12","2007-05-25",23.51
"13","2007-05-29",23.24
"14","2007-05-30",22.889999
"15","2007-05-31",22.9
"16","2007-06-01",23.040001
"17","2007-06-04",23.299999
"18","2007-06-05",23.41
"19","2007-06-06",23.110001
"20","2007-06-07",22.77
"21","2007-06-08",22.42
"22","2007-06-11",22.73
"23","2007-06-12",22.629999
"24","2007-06-13",23.299999
"25","2007-06-14",23.73
"26","2007-06-15",24.709999
"27","2007-06-18",26
"28","2007-06-19",25.51
"29","2007-06-20",25.34
"30","2007-06-21",24.91
"31","2007-06-22",24.209999
"32","2007-06-25",24.6
"33","2007-06-26",23.93
"34","2007-06-27",24.66
"35","2007-06-28",24.57
"36","2007-06-29",24.809999
"37","2007-07-02",25.379999
"38","2007-07-03",25.690001
"39","2007-07-05",26.35
"40","2007-07-06",26.719999
"41","2007-07-09",26.68
"42","2007-07-10",26.5
"43","2007-07-11",26.76
"44","2007-07-12",26.950001
"45","2007-07-13",28.17
"46","2007-07-16",27.76
"47","2007-07-17",27.73
"48","2007-07-18",27.25
"49","2007-07-19",27.780001
"50","2007-07-20",27.25
"51","2007-07-23",27.379999
"52","2007-07-24",26.51
"53","2007-07-25",25.65
"54","2007-07-26",25.24
"55","2007-07-27",25.280001
"56","2007-07-30",26.030001
"57","2007-07-31",25.950001
"58","2007-08-01",25.299999
"59","2007-08-02",26.4
"60","2007-08-03",27
"61","2007-08-06",26.440001
"62","2007-08-07",26.860001
"63","2007-08-08",27.049999
"64","2007-08-09",26.08
"65","2007-08-10",25.1
"66","2007-08-13",25.15
"67","2007-08-14",24.76
"68","2007-08-15",24.75
"69","2007-08-16",24.4
"70","2007-08-17",24.43
"71","2007-08-20",25
"72","2007-08-21",26.139999
"73","2007-08-22",27.110001
"74","2007-08-23",27.299999
"75","2007-08-24",27.360001
"76","2007-08-27",27.18
"77","2007-08-28",26.190001
"78","2007-08-29",26.51
"79","2007-08-30",26.639999
"80","2007-08-31",26.870001
"81","2007-09-04",27
"82","2007-09-05",27.01
"83","2007-09-06",27
"84","2007-09-07",26.790001
"85","2007-09-10",26.860001
"86","2007-09-11",27.309999
"87","2007-09-12",27.799999
"88","2007-09-13",27.9
"89","2007-09-14",27.959999
"90","2007-09-17",29.059999
"91","2007-09-18",30.23
"92","2007-09-19",30.809999
"93","2007-09-20",29.940001
"94","2007-09-21",30.469999
"95","2007-09-24",30.190001
"96","2007-09-25",31
"97","2007-09-26",33.040001
"98","2007-09-27",35.939999
"99","2007-09-28",34.93
"100","2007-10-01",36.040001
"101","2007-10-02",37.25
"102","2007-10-03",35.689999
"103","2007-10-04",33.91
"104","2007-10-05",34.869999
"105","2007-10-08",34.400002
"106","2007-10-09",35.439999
"107","2007-10-10",36.57
"108","2007-10-11",36.130001
