"","date","UONE"
"1","2007-01-03",6.85
"2","2007-01-04",6.9
"3","2007-01-05",6.88
"4","2007-01-08",6.88
"5","2007-01-09",6.82
"6","2007-01-10",6.9
"7","2007-01-11",6.97
"8","2007-01-12",6.99
"9","2007-01-16",7.14
"10","2007-01-17",7.12
"11","2007-01-18",7.17
"12","2007-01-19",7.31
"13","2007-01-22",7.44
"14","2007-01-23",7.42
"15","2007-01-24",7.44
"16","2007-01-25",7.33
"17","2007-01-26",7.28
"18","2007-01-29",7.29
"19","2007-01-30",7.29
"20","2007-01-31",7.32
"21","2007-02-01",7.46
"22","2007-02-02",7.5
"23","2007-02-05",7.42
"24","2007-02-06",7.35
"25","2007-02-07",7.42
"26","2007-02-08",7.44
"27","2007-02-09",7.36
"28","2007-02-12",7.4
"29","2007-02-13",7.47
"30","2007-02-14",7.5
"31","2007-02-15",7.41
"32","2007-02-16",7.4
"33","2007-02-20",7.49
"34","2007-02-21",7.47
"35","2007-02-22",7.38
"36","2007-02-23",7.43
"37","2007-02-26",7.39
"38","2007-02-27",7.07
"39","2007-02-28",7.02
"40","2007-03-01",6.98
"41","2007-03-02",6.87
"42","2007-03-05",6.76
"43","2007-03-06",6.86
"44","2007-03-07",6.82
"45","2007-03-08",6.87
"46","2007-03-09",6.99
"47","2007-03-12",7.04
"48","2007-03-13",6.92
"49","2007-03-14",6.88
"50","2007-03-15",6.85
"51","2007-03-16",6.81
"52","2007-03-19",6.89
"53","2007-03-20",6.82
"54","2007-03-21",6.8
"55","2007-03-22",6.74
"56","2007-03-23",6.73
"57","2007-03-26",6.76
"58","2007-03-27",6.63
"59","2007-03-28",6.48
"60","2007-03-29",6.5
"61","2007-03-30",6.47
"62","2007-04-02",6.51
"63","2007-04-03",6.48
"64","2007-04-04",6.53
"65","2007-04-05",6.78
"66","2007-04-09",6.81
"67","2007-04-10",6.91
"68","2007-04-11",6.94
"69","2007-04-12",7.12
"70","2007-04-13",7.22
"71","2007-04-16",7.3
"72","2007-04-17",7.23
"73","2007-04-18",7.31
"74","2007-04-19",7.24
"75","2007-04-20",7.45
"76","2007-04-23",7.31
"77","2007-04-24",7.44
"78","2007-04-25",7.48
"79","2007-04-26",7.5
"80","2007-04-27",7.44
"81","2007-04-30",7.05
"82","2007-05-01",7.3
"83","2007-05-02",7.37
"84","2007-05-03",7.5
"85","2007-05-04",7.42
"86","2007-05-07",7.48
"87","2007-05-08",7.36
"88","2007-05-09",7.3
"89","2007-05-10",7.1
"90","2007-05-11",7.15
"91","2007-05-14",7.14
"92","2007-05-15",7.03
"93","2007-05-16",7.12
"94","2007-05-17",7.21
"95","2007-05-18",7.38
"96","2007-05-21",7.52
"97","2007-05-22",7.52
"98","2007-05-23",7.53
"99","2007-05-24",7.5
"100","2007-05-25",7.6
"101","2007-05-29",7.62
"102","2007-05-30",7.55
"103","2007-05-31",7.5
"104","2007-06-01",7.54
"105","2007-06-04",7.62
"106","2007-06-05",7.48
"107","2007-06-06",7.45
"108","2007-06-07",7.42
"109","2007-06-08",7.32
"110","2007-06-11",7.27
"111","2007-06-12",7.09
"112","2007-06-13",7.1
"113","2007-06-14",7.25
"114","2007-06-15",7.14
"115","2007-06-18",7.27
"116","2007-06-19",7.29
"117","2007-06-20",7.19
"118","2007-06-21",7.25
"119","2007-06-22",7.14
"120","2007-06-25",7.12
"121","2007-06-26",7.09
"122","2007-06-27",7.16
"123","2007-06-28",7.05
"124","2007-06-29",7.07
"125","2007-07-02",7.14
"126","2007-07-03",7.48
"127","2007-07-05",7.18
"128","2007-07-06",7.18
"129","2007-07-09",7.23
"130","2007-07-10",7
"131","2007-07-11",7.03
"132","2007-07-12",7.13
"133","2007-07-13",7.18
"134","2007-07-16",7.09
"135","2007-07-17",7.14
"136","2007-07-18",7.09
"137","2007-07-19",7.01
"138","2007-07-20",6.96
"139","2007-07-23",7.34
"140","2007-07-24",7.12
"141","2007-07-25",6.98
"142","2007-07-26",6.74
"143","2007-07-27",6.52
"144","2007-07-30",6.37
"145","2007-07-31",6.12
"146","2007-08-01",5.81
"147","2007-08-02",5.42
"148","2007-08-03",4.86
"149","2007-08-06",4.1
"150","2007-08-07",4
"151","2007-08-08",3.61
"152","2007-08-09",3.28
"153","2007-08-10",3.59
"154","2007-08-13",3.81
"155","2007-08-14",3.8
"156","2007-08-15",3.86
"157","2007-08-16",3.9
"158","2007-08-17",3.94
"159","2007-08-20",3.83
"160","2007-08-21",3.71
"161","2007-08-22",3.83
"162","2007-08-23",3.85
"163","2007-08-24",3.79
"164","2007-08-27",3.72
"165","2007-08-28",3.61
"166","2007-08-29",3.61
"167","2007-08-30",3.6
"168","2007-08-31",3.89
"169","2007-09-04",3.72
"170","2007-09-05",3.65
"171","2007-09-06",3.77
"172","2007-09-07",3.75
"173","2007-09-10",3.66
"174","2007-09-11",3.65
"175","2007-09-12",3.87
"176","2007-09-13",3.85
"177","2007-09-14",3.96
"178","2007-09-17",3.92
"179","2007-09-18",4.16
"180","2007-09-19",4.25
"181","2007-09-20",4.05
"182","2007-09-21",3.57
"183","2007-09-24",3.76
"184","2007-09-25",3.65
"185","2007-09-26",3.5
"186","2007-09-27",3.61
"187","2007-09-28",3.7
"188","2007-10-01",3.88
"189","2007-10-02",3.86
"190","2007-10-03",3.71
"191","2007-10-04",3.75
"192","2007-10-05",3.93
"193","2007-10-08",3.86
"194","2007-10-09",3.89
"195","2007-10-10",3.76
"196","2007-10-11",3.75
"197","2007-10-12",3.62
"198","2007-10-15",3.65
"199","2007-10-16",3.62
"200","2007-10-17",3.62
"201","2007-10-18",3.63
"202","2007-10-19",3.44
"203","2007-10-22",3.72
"204","2007-10-23",3.58
"205","2007-10-24",3.54
"206","2007-10-25",3.48
"207","2007-10-26",3.52
"208","2007-10-29",3.47
"209","2007-10-30",3.48
"210","2007-10-31",3.49
"211","2007-11-01",3.4
"212","2007-11-02",3.44
"213","2007-11-05",3.37
"214","2007-11-06",3.27
"215","2007-11-07",2.98
"216","2007-11-08",3.08
"217","2007-11-09",3.05
"218","2007-11-12",2.87
"219","2007-11-13",2.78
"220","2007-11-14",2.51
"221","2007-11-15",2.5
"222","2007-11-16",2.48
"223","2007-11-19",2.16
"224","2007-11-20",2.06
"225","2007-11-21",1.97
"226","2007-11-23",2.29
"227","2007-11-26",1.88
"228","2007-11-27",1.94
"229","2007-11-28",2.08
"230","2007-11-29",2.02
"231","2007-11-30",1.99
"232","2007-12-03",1.94
"233","2007-12-04",1.86
"234","2007-12-05",2
"235","2007-12-06",2.03
"236","2007-12-07",2.27
"237","2007-12-10",2.37
"238","2007-12-11",2.26
"239","2007-12-12",2.18
"240","2007-12-13",2.22
"241","2007-12-14",2.12
"242","2007-12-17",2.06
"243","2007-12-18",2.01
"244","2007-12-19",2.02
"245","2007-12-20",2.21
"246","2007-12-21",2.26
"247","2007-12-24",2.56
"248","2007-12-26",2.34
"249","2007-12-27",2.29
"250","2007-12-28",2.31
"251","2007-12-31",2.34
"252","2008-01-02",2.35
"253","2008-01-03",2.16
"254","2008-01-04",2
"255","2008-01-07",2
"256","2008-01-08",1.89
"257","2008-01-09",1.77
"258","2008-01-10",1.89
"259","2008-01-11",1.82
"260","2008-01-14",1.85
"261","2008-01-15",1.89
"262","2008-01-16",1.98
"263","2008-01-17",1.85
"264","2008-01-18",1.65
"265","2008-01-22",1.68
"266","2008-01-23",1.7
"267","2008-01-24",1.68
"268","2008-01-25",1.64
"269","2008-01-28",1.7
"270","2008-01-29",1.57
"271","2008-01-30",1.62
"272","2008-01-31",1.56
"273","2008-02-01",1.61
"274","2008-02-04",1.7
"275","2008-02-05",1.69
"276","2008-02-06",1.68
"277","2008-02-07",1.68
"278","2008-02-08",1.57
"279","2008-02-11",1.58
"280","2008-02-12",1.64
"281","2008-02-13",1.66
"282","2008-02-14",1.58
"283","2008-02-15",1.58
"284","2008-02-19",1.56
"285","2008-02-20",1.66
"286","2008-02-21",1.39
"287","2008-02-22",1.34
"288","2008-02-25",1.45
"289","2008-02-26",1.48
"290","2008-02-27",1.44
"291","2008-02-28",1.39
"292","2008-02-29",1.27
"293","2008-03-03",1.21
"294","2008-03-04",1.22
"295","2008-03-05",1.25
"296","2008-03-06",1.23
"297","2008-03-07",1.2
"298","2008-03-10",1.22
"299","2008-03-11",1.2
"300","2008-03-12",1.2
"301","2008-03-13",1.21
"302","2008-03-14",1.05
"303","2008-03-17",1.08
"304","2008-03-18",1.09
"305","2008-03-19",1.12
"306","2008-03-20",1.1
"307","2008-03-24",1.77
"308","2008-03-25",1.74
"309","2008-03-26",1.62
"310","2008-03-27",1.62
"311","2008-03-28",1.58
"312","2008-03-31",1.52
"313","2008-04-01",1.49
"314","2008-04-02",1.48
"315","2008-04-03",1.45
"316","2008-04-04",1.57
"317","2008-04-07",1.54
"318","2008-04-08",1.49
"319","2008-04-09",1.47
"320","2008-04-10",1.47
"321","2008-04-11",1.38
"322","2008-04-14",1.34
"323","2008-04-15",1.33
"324","2008-04-16",1.22
"325","2008-04-17",1.24
"326","2008-04-18",1.27
"327","2008-04-21",1.23
"328","2008-04-22",1.08
"329","2008-04-23",1.04
"330","2008-04-24",1.06
"331","2008-04-25",1.07
"332","2008-04-28",1.05
"333","2008-04-29",1.01
"334","2008-04-30",1.04
"335","2008-05-01",0.95
"336","2008-05-02",0.92
"337","2008-05-05",0.92
"338","2008-05-06",0.82
"339","2008-05-07",0.83
"340","2008-05-08",0.88
"341","2008-05-09",0.93
"342","2008-05-12",1.02
"343","2008-05-13",1.05
"344","2008-05-14",1.1
"345","2008-05-15",1.18
"346","2008-05-16",1.26
"347","2008-05-19",1.32
"348","2008-05-20",1.24
"349","2008-05-21",1.2
"350","2008-05-22",1.21
"351","2008-05-23",1.22
"352","2008-05-27",1.19
"353","2008-05-28",1.15
"354","2008-05-29",1.15
"355","2008-05-30",1.11
"356","2008-06-02",1.31
"357","2008-06-03",1.35
"358","2008-06-04",1.29
"359","2008-06-05",1.42
"360","2008-06-06",1.34
"361","2008-06-09",1.24
"362","2008-06-10",1.23
"363","2008-06-11",1.2
"364","2008-06-12",1.25
"365","2008-06-13",1.33
"366","2008-06-16",1.4
"367","2008-06-17",1.47
"368","2008-06-18",1.49
"369","2008-06-19",1.43
"370","2008-06-20",1.66
