"","date","INSW"
"1","2016-11-16",9.9
"2","2016-11-17",15.314
"3","2016-11-18",13.95
"4","2016-11-21",14.06
"5","2016-11-22",15.46
"6","2016-11-23",16
"7","2016-11-25",16
"8","2016-11-28",15.87
"9","2016-11-29",15.87
"10","2016-11-30",15
"11","2016-12-01",12.95
"12","2016-12-02",11.58
"13","2016-12-05",10.64
"14","2016-12-06",12
"15","2016-12-07",12.52
"16","2016-12-08",13.54
"17","2016-12-09",14.36
"18","2016-12-12",14.88
"19","2016-12-13",14.24
"20","2016-12-14",13.82
"21","2016-12-15",13.72
"22","2016-12-16",14.04
"23","2016-12-19",13.95
"24","2016-12-20",13.69
"25","2016-12-21",13.3
"26","2016-12-22",13.01
"27","2016-12-23",14
"28","2016-12-27",13.9
"29","2016-12-28",13.93
"30","2016-12-29",13.85
"31","2016-12-30",14.04
"32","2017-01-03",14.39
"33","2017-01-04",14.8
"34","2017-01-05",15.03
"35","2017-01-06",15.33
"36","2017-01-09",15.89
"37","2017-01-10",15.84
"38","2017-01-11",15.75
"39","2017-01-12",15.87
"40","2017-01-13",15.97
"41","2017-01-17",16.559999
"42","2017-01-18",17.040001
"43","2017-01-19",17.07
"44","2017-01-20",17.17
"45","2017-01-23",17.09
"46","2017-01-24",17.940001
"47","2017-01-25",18.110001
"48","2017-01-26",17.98
"49","2017-01-27",18.1
"50","2017-01-30",17.780001
"51","2017-01-31",17.379999
"52","2017-02-01",17.459999
"53","2017-02-02",17.09
"54","2017-02-03",17.4
"55","2017-02-06",17.4
"56","2017-02-07",17.280001
"57","2017-02-08",17.58
"58","2017-02-09",17.799999
"59","2017-02-10",17.790001
"60","2017-02-13",17.969999
"61","2017-02-14",18.209999
"62","2017-02-15",18.25
"63","2017-02-16",18.309999
"64","2017-02-17",18.51
"65","2017-02-21",18.67
"66","2017-02-22",18.77
"67","2017-02-23",18.870001
"68","2017-02-24",19.09
"69","2017-02-27",19.059999
"70","2017-02-28",18.75
"71","2017-03-01",18.700001
"72","2017-03-02",18.799999
"73","2017-03-03",18.700001
"74","2017-03-06",18.76
"75","2017-03-07",18.450001
"76","2017-03-08",18.280001
"77","2017-03-09",18.299999
"78","2017-03-10",18.48
"79","2017-03-13",18.76
"80","2017-03-14",18.57
"81","2017-03-15",18.870001
"82","2017-03-16",18.969999
"83","2017-03-17",18.9
"84","2017-03-20",19.059999
"85","2017-03-21",19.690001
"86","2017-03-22",19.85
"87","2017-03-23",19.84
"88","2017-03-24",19.85
"89","2017-03-27",19.84
"90","2017-03-28",20.41
"91","2017-03-29",19.129999
"92","2017-03-30",19.209999
"93","2017-03-31",19.120001
"94","2017-04-03",19.17
"95","2017-04-04",18.82
"96","2017-04-05",18.719999
"97","2017-04-06",18.98
"98","2017-04-07",18.860001
"99","2017-04-10",19.17
