"","date","FVRR"
"1","2019-06-13",39.900002
"2","2019-06-14",31.49
"3","2019-06-17",34.380001
"4","2019-06-18",31.15
"5","2019-06-19",28.67
"6","2019-06-20",28.030001
"7","2019-06-21",27.75
"8","2019-06-24",29.23
"9","2019-06-25",29.02
"10","2019-06-26",29
"11","2019-06-27",28.790001
"12","2019-06-28",29.700001
"13","2019-07-01",27.5
"14","2019-07-02",27.43
"15","2019-07-03",27.27
"16","2019-07-05",27.25
"17","2019-07-08",26.1
"18","2019-07-09",26.280001
"19","2019-07-10",24.559999
"20","2019-07-11",23.15
"21","2019-07-12",23.48
"22","2019-07-15",23.559999
"23","2019-07-16",23.780001
"24","2019-07-17",23.969999
"25","2019-07-18",24.34
"26","2019-07-19",24.879999
"27","2019-07-22",25.1
"28","2019-07-23",24.84
"29","2019-07-24",25.59
"30","2019-07-25",25.77
"31","2019-07-26",25.200001
"32","2019-07-29",25.25
"33","2019-07-30",24.860001
"34","2019-07-31",25.4
"35","2019-08-01",25.879999
"36","2019-08-02",25.34
"37","2019-08-05",23.25
"38","2019-08-06",24.57
"39","2019-08-07",26.85
"40","2019-08-08",24.66
"41","2019-08-09",22.459999
"42","2019-08-12",22.379999
"43","2019-08-13",21.77
"44","2019-08-14",21.41
"45","2019-08-15",21.360001
"46","2019-08-16",21.68
"47","2019-08-19",22.620001
"48","2019-08-20",23.27
"49","2019-08-21",24.280001
"50","2019-08-22",23.610001
"51","2019-08-23",23.389999
"52","2019-08-26",22.23
"53","2019-08-27",21.5
"54","2019-08-28",23.17
"55","2019-08-29",23.58
"56","2019-08-30",23.389999
"57","2019-09-03",22.440001
"58","2019-09-04",22.27
"59","2019-09-05",21.66
"60","2019-09-06",21.629999
"61","2019-09-09",20.92
"62","2019-09-10",20.469999
"63","2019-09-11",19.24
"64","2019-09-12",19.4
"65","2019-09-13",19.27
"66","2019-09-16",20.719999
"67","2019-09-17",21.08
"68","2019-09-18",20.17
"69","2019-09-19",19.059999
"70","2019-09-20",18.559999
"71","2019-09-23",18.16
"72","2019-09-24",17.68
"73","2019-09-25",18.15
"74","2019-09-26",18.440001
