"","date","SOL"
"1","2008-01-29",64.949997
"2","2008-01-30",65.199997
"3","2008-01-31",62.549999
"4","2008-02-01",64.5
"5","2008-02-04",68.25
"6","2008-02-05",67.300003
"7","2008-02-06",63.150002
"8","2008-02-07",58.25
"9","2008-02-08",55.5
"10","2008-02-11",56.75
"11","2008-02-12",55.599998
"12","2008-02-13",64.75
"13","2008-02-14",64.25
"14","2008-02-15",60.150002
"15","2008-02-19",59
"16","2008-02-20",54.75
"17","2008-02-21",50.049999
"18","2008-02-22",56.5
"19","2008-02-25",57.950001
"20","2008-02-26",56.099998
"21","2008-02-27",54.549999
"22","2008-02-28",53.25
"23","2008-02-29",53.150002
"24","2008-03-03",49.200001
"25","2008-03-04",49.599998
"26","2008-03-05",50.549999
"27","2008-03-06",49.549999
"28","2008-03-07",45.75
"29","2008-03-10",39.900002
"30","2008-03-11",43.400002
"31","2008-03-12",46.400002
"32","2008-03-13",47.049999
"33","2008-03-14",47.400002
"34","2008-03-17",41
"35","2008-03-18",52.799999
"36","2008-03-19",41.75
"37","2008-03-20",38
"38","2008-03-24",40.650002
"39","2008-03-25",47.25
"40","2008-03-26",49.650002
"41","2008-03-27",61.049999
"42","2008-03-28",54.150002
"43","2008-03-31",56.799999
"44","2008-04-01",55.849998
"45","2008-04-02",61.200001
"46","2008-04-03",59.349998
"47","2008-04-04",64.550003
"48","2008-04-07",60.099998
"49","2008-04-08",60.349998
"50","2008-04-09",62.5
"51","2008-04-10",61.700001
"52","2008-04-11",63.450001
"53","2008-04-14",65.25
"54","2008-04-15",74.800003
"55","2008-04-16",77.349998
"56","2008-04-17",75.400002
"57","2008-04-18",82.650002
"58","2008-04-21",94.199997
"59","2008-04-22",91
"60","2008-04-23",87.849998
"61","2008-04-24",86.349998
"62","2008-04-25",91.699997
"63","2008-04-28",87.900002
"64","2008-04-29",82.5
"65","2008-04-30",83.75
"66","2008-05-01",78.099998
"67","2008-05-02",79.75
"68","2008-05-05",86.400002
"69","2008-05-06",91.25
"70","2008-05-07",85.25
"71","2008-05-08",87.150002
"72","2008-05-09",97.449997
"73","2008-05-12",94.150002
"74","2008-05-13",108.349998
"75","2008-05-14",111.5
"76","2008-05-15",131.050003
"77","2008-05-16",130.199997
"78","2008-05-19",139
"79","2008-05-20",135.399994
"80","2008-05-21",127.5
"81","2008-05-22",114.449997
"82","2008-05-23",120.5
"83","2008-05-27",125.599998
"84","2008-05-28",132.25
"85","2008-05-29",117.25
"86","2008-05-30",125.400002
"87","2008-06-02",117.949997
"88","2008-06-03",120.449997
"89","2008-06-04",115.300003
"90","2008-06-05",121.75
"91","2008-06-06",114.800003
"92","2008-06-09",102.800003
