"","date","APO"
"1","2011-03-30",18.200001
"2","2011-03-31",18
"3","2011-04-01",18
"4","2011-04-04",17.879999
"5","2011-04-05",17.98
"6","2011-04-06",18.1
"7","2011-04-07",18.01
"8","2011-04-08",18
"9","2011-04-11",18.059999
"10","2011-04-12",18.190001
"11","2011-04-13",18.1
"12","2011-04-14",18.25
"13","2011-04-15",18.5
"14","2011-04-18",18.18
"15","2011-04-19",18.200001
"16","2011-04-20",18.23
"17","2011-04-21",18.110001
"18","2011-04-25",18.059999
"19","2011-04-26",18.18
"20","2011-04-27",18.18
"21","2011-04-28",18.110001
"22","2011-04-29",18.08
"23","2011-05-02",18.190001
"24","2011-05-03",18.27
"25","2011-05-04",17.98
"26","2011-05-05",17.940001
"27","2011-05-06",17.969999
"28","2011-05-09",18.5
"29","2011-05-10",18.709999
"30","2011-05-11",18.48
"31","2011-05-12",18.42
"32","2011-05-13",18.27
"33","2011-05-16",17.83
"34","2011-05-17",17.18
"35","2011-05-18",17.85
"36","2011-05-19",17.77
"37","2011-05-20",17.85
"38","2011-05-23",17.6
"39","2011-05-24",17.57
"40","2011-05-25",17.370001
"41","2011-05-26",17.75
"42","2011-05-27",18.190001
"43","2011-05-31",18.02
"44","2011-06-01",17.93
"45","2011-06-02",17.860001
"46","2011-06-03",17.85
"47","2011-06-06",17.4
"48","2011-06-07",16.92
"49","2011-06-08",16.75
"50","2011-06-09",16.290001
"51","2011-06-10",15.64
"52","2011-06-13",15.51
"53","2011-06-14",16
"54","2011-06-15",15.97
"55","2011-06-16",15.87
"56","2011-06-17",15.95
"57","2011-06-20",15.7
"58","2011-06-21",16
"59","2011-06-22",16.32
"60","2011-06-23",16.1
"61","2011-06-24",16
"62","2011-06-27",16.120001
"63","2011-06-28",16.59
"64","2011-06-29",17.129999
"65","2011-06-30",17.200001
"66","2011-07-01",17.139999
"67","2011-07-05",16.99
"68","2011-07-06",16.879999
"69","2011-07-07",16.870001
"70","2011-07-08",17
"71","2011-07-11",16.540001
"72","2011-07-12",16.65
"73","2011-07-13",16.389999
"74","2011-07-14",16.26
"75","2011-07-15",16.5
"76","2011-07-18",15.9
"77","2011-07-19",16
"78","2011-07-20",16.34
"79","2011-07-21",16.75
"80","2011-07-22",16.940001
"81","2011-07-25",17.200001
"82","2011-07-26",17.280001
"83","2011-07-27",16.809999
"84","2011-07-28",16.870001
"85","2011-07-29",17.309999
"86","2011-08-01",17.5
"87","2011-08-02",16.82
"88","2011-08-03",16.73
"89","2011-08-04",14.93
"90","2011-08-05",14.05
"91","2011-08-08",13.24
"92","2011-08-09",14.14
"93","2011-08-10",13.61
"94","2011-08-11",13.61
"95","2011-08-12",13.28
"96","2011-08-15",13.33
"97","2011-08-16",14.17
"98","2011-08-17",14.44
"99","2011-08-18",13.98
"100","2011-08-19",13.85
"101","2011-08-22",13.22
"102","2011-08-23",13.35
"103","2011-08-24",13.18
"104","2011-08-25",13
"105","2011-08-26",12.51
"106","2011-08-29",12.61
"107","2011-08-30",12.8
"108","2011-08-31",12.97
"109","2011-09-01",12.91
"110","2011-09-02",12.12
"111","2011-09-06",12.19
"112","2011-09-07",11.92
"113","2011-09-08",11.22
"114","2011-09-09",11.5
"115","2011-09-12",10.85
"116","2011-09-13",11.33
"117","2011-09-14",11.83
"118","2011-09-15",11.84
"119","2011-09-16",12
"120","2011-09-19",11.86
"121","2011-09-20",11.61
"122","2011-09-21",11.11
"123","2011-09-22",10.35
"124","2011-09-23",10.05
"125","2011-09-26",10
"126","2011-09-27",10.15
"127","2011-09-28",9.97
"128","2011-09-29",10.25
"129","2011-09-30",10.24
"130","2011-10-03",9.61
"131","2011-10-04",9.9
"132","2011-10-05",10.3
"133","2011-10-06",10.34
"134","2011-10-07",10.25
"135","2011-10-10",10.45
"136","2011-10-11",10.52
"137","2011-10-12",10.84
"138","2011-10-13",10.73
"139","2011-10-14",10.77
"140","2011-10-17",10.77
