"","date","PAR"
"1","2007-01-03",8.9
"2","2007-01-04",8.79
"3","2007-01-05",8.76
"4","2007-01-08",8.73
"5","2007-01-09",8.75
"6","2007-01-10",9
"7","2007-01-11",9.58
"8","2007-01-12",9.98
"9","2007-01-16",9.9
"10","2007-01-17",10
"11","2007-01-18",9.92
"12","2007-01-19",9.93
"13","2007-01-22",9.82
"14","2007-01-23",9.82
"15","2007-01-24",9.5
"16","2007-01-25",9.2
"17","2007-01-26",9.11
"18","2007-01-29",9.23
"19","2007-01-30",9.45
"20","2007-01-31",9.5
"21","2007-02-01",9.53
"22","2007-02-02",9.44
"23","2007-02-05",9.37
"24","2007-02-06",9.27
"25","2007-02-07",9.3
"26","2007-02-08",9.39
"27","2007-02-09",9.31
"28","2007-02-12",9.25
"29","2007-02-13",8.69
"30","2007-02-14",8.61
"31","2007-02-15",8.72
"32","2007-02-16",8.65
"33","2007-02-20",8.77
"34","2007-02-21",8.96
"35","2007-02-22",9.03
"36","2007-02-23",8.94
"37","2007-02-26",9.05
"38","2007-02-27",9.08
"39","2007-02-28",9.07
"40","2007-03-01",9
"41","2007-03-02",9.04
"42","2007-03-05",8.99
"43","2007-03-06",9.06
"44","2007-03-07",9.05
"45","2007-03-08",9.05
"46","2007-03-09",9.1
"47","2007-03-12",9.09
"48","2007-03-13",9.12
"49","2007-03-14",9.09
"50","2007-03-15",9.18
"51","2007-03-16",9.1
"52","2007-03-19",9.15
"53","2007-03-20",9.18
"54","2007-03-21",9.22
"55","2007-03-22",9.28
"56","2007-03-23",9.36
"57","2007-03-26",9.4
"58","2007-03-27",9.46
"59","2007-03-28",9.74
"60","2007-03-29",9.9
"61","2007-03-30",9.92
"62","2007-04-02",10.09
"63","2007-04-03",10.25
"64","2007-04-04",10.22
"65","2007-04-05",10.42
"66","2007-04-09",10.59
"67","2007-04-10",10.71
"68","2007-04-11",10.71
"69","2007-04-12",10.6
"70","2007-04-13",10.51
"71","2007-04-16",10.36
"72","2007-04-17",10.38
"73","2007-04-18",10.12
"74","2007-04-19",10.09
"75","2007-04-20",10.13
"76","2007-04-23",10.31
"77","2007-04-24",10.78
"78","2007-04-25",10.62
"79","2007-04-26",9.11
"80","2007-04-27",9.41
"81","2007-04-30",10.05
"82","2007-05-01",10
