"","date","SLNO"
"1","2014-11-13",19.4
"2","2014-11-14",20.049999
"3","2014-11-17",20.200001
"4","2014-11-18",20
"5","2014-11-19",19.5
"6","2014-11-20",19
"7","2014-11-21",19.549999
"8","2014-11-24",18
"9","2014-11-25",18.549999
"10","2014-11-26",16.549999
"11","2014-11-28",16.65
"12","2014-12-01",16.9
"13","2014-12-02",14.5
"14","2014-12-03",12.6
"15","2014-12-04",13
"16","2014-12-05",13.545
"17","2014-12-08",13.325
"18","2014-12-09",13.5
"19","2014-12-10",13.5
"20","2014-12-11",13.5
"21","2014-12-12",12.5
"22","2014-12-15",11.55
"23","2014-12-16",10.5
"24","2014-12-17",8.3
"25","2014-12-18",8.3
"26","2014-12-19",8.35
"27","2014-12-22",8.25
"28","2014-12-23",7.9
"29","2014-12-24",8.4
"30","2014-12-26",8.4
"31","2014-12-29",8.6
"32","2014-12-30",7.5
"33","2014-12-31",7.46
"34","2015-01-02",7.5
"35","2015-01-05",7.99
"36","2015-01-06",8.45
"37","2015-01-07",8.2
"38","2015-01-08",8.5
"39","2015-01-09",9.2
"40","2015-01-12",9
"41","2015-01-13",9.455
"42","2015-01-14",9.25
"43","2015-01-15",8.3
"44","2015-01-16",8.8
"45","2015-01-20",8.05
"46","2015-01-21",8.5
"47","2015-01-22",7.3
"48","2015-01-23",6.6
"49","2015-01-26",6
"50","2015-01-27",5.9
"51","2015-01-28",6.1
"52","2015-01-29",7.05
"53","2015-01-30",6.65
"54","2015-02-02",8.45
"55","2015-02-03",8.1
"56","2015-02-04",7.85
"57","2015-02-05",8.35
"58","2015-02-06",8.55
"59","2015-02-09",8.35
"60","2015-02-10",8.4
"61","2015-02-11",8.38
"62","2015-02-12",8.3
"63","2015-02-13",8.85
"64","2015-02-17",12.15
"65","2015-02-18",29.799999
"66","2015-02-19",29.4
"67","2015-02-20",27.25
"68","2015-02-23",32.5
"69","2015-02-24",34.75
"70","2015-02-25",31.85
"71","2015-02-26",34.900002
"72","2015-02-27",31.5
"73","2015-03-02",32.049999
"74","2015-03-03",37.5
"75","2015-03-04",43.75
"76","2015-03-05",36.849998
"77","2015-03-06",35.549999
"78","2015-03-09",30.549999
"79","2015-03-10",27.700001
"80","2015-03-11",35.200001
"81","2015-03-12",30.549999
"82","2015-03-13",31.799999
"83","2015-03-16",31.4
"84","2015-03-17",31.049999
"85","2015-03-18",30.299999
"86","2015-03-19",28.5
"87","2015-03-20",26.85
"88","2015-03-23",31.549999
"89","2015-03-24",30.700001
"90","2015-03-25",29.5
"91","2015-03-26",28.85
"92","2015-03-27",30.049999
"93","2015-03-30",30.299999
"94","2015-03-31",32
"95","2015-04-01",34.950001
"96","2015-04-02",37.25
"97","2015-04-06",36.25
"98","2015-04-07",36.75
"99","2015-04-08",33.75
"100","2015-04-09",32.775002
"101","2015-04-10",33.400002
"102","2015-04-13",35.400002
"103","2015-04-14",35.900002
"104","2015-04-15",35
