"","date","AMAT"
"1","2007-01-03",18.42
"2","2007-01-04",18.799999
"3","2007-01-05",18.67
"4","2007-01-08",18.889999
"5","2007-01-09",19.25
"6","2007-01-10",19.540001
"7","2007-01-11",19.530001
"8","2007-01-12",19.5
"9","2007-01-16",19.48
"10","2007-01-17",19.4
"11","2007-01-18",18.25
"12","2007-01-19",18.209999
"13","2007-01-22",17.959999
"14","2007-01-23",17.459999
"15","2007-01-24",17.6
"16","2007-01-25",17.48
"17","2007-01-26",17.780001
"18","2007-01-29",17.610001
"19","2007-01-30",17.790001
"20","2007-01-31",17.73
"21","2007-02-01",17.940001
"22","2007-02-02",18.120001
"23","2007-02-05",18.129999
"24","2007-02-06",18.15
"25","2007-02-07",18.25
"26","2007-02-08",18.309999
"27","2007-02-09",17.969999
"28","2007-02-12",17.889999
"29","2007-02-13",18.18
"30","2007-02-14",18.889999
"31","2007-02-15",19.09
"32","2007-02-16",19.02
"33","2007-02-20",18.76
"34","2007-02-21",18.969999
"35","2007-02-22",19.200001
"36","2007-02-23",19.190001
"37","2007-02-26",19.09
"38","2007-02-27",18.459999
"39","2007-02-28",18.57
"40","2007-03-01",18.450001
"41","2007-03-02",17.98
"42","2007-03-05",17.790001
"43","2007-03-06",18.18
"44","2007-03-07",18.200001
"45","2007-03-08",18.440001
"46","2007-03-09",18.33
"47","2007-03-12",18.57
"48","2007-03-13",18.34
"49","2007-03-14",18.389999
"50","2007-03-15",18.559999
"51","2007-03-16",18.49
"52","2007-03-19",18.469999
"53","2007-03-20",18.5
"54","2007-03-21",18.879999
"55","2007-03-22",18.809999
"56","2007-03-23",18.790001
"57","2007-03-26",18.879999
"58","2007-03-27",18.84
"59","2007-03-28",18.65
"60","2007-03-29",18.5
"61","2007-03-30",18.32
"62","2007-04-02",18.360001
"63","2007-04-03",18.35
"64","2007-04-04",18.65
"65","2007-04-05",18.68
"66","2007-04-09",18.65
"67","2007-04-10",19.41
"68","2007-04-11",19.23
"69","2007-04-12",19.35
"70","2007-04-13",19.08
"71","2007-04-16",19.24
"72","2007-04-17",19.360001
"73","2007-04-18",19.68
"74","2007-04-19",19.59
"75","2007-04-20",19.48
"76","2007-04-23",19.17
"77","2007-04-24",19.49
"78","2007-04-25",19.49
"79","2007-04-26",19.299999
"80","2007-04-27",19.299999
"81","2007-04-30",19.219999
"82","2007-05-01",19.42
"83","2007-05-02",19.469999
"84","2007-05-03",19.5
"85","2007-05-04",19.75
"86","2007-05-07",19.790001
"87","2007-05-08",19.440001
"88","2007-05-09",19.690001
"89","2007-05-10",19.18
"90","2007-05-11",19.77
"91","2007-05-14",20.48
"92","2007-05-15",19.780001
"93","2007-05-16",19.17
"94","2007-05-17",18.940001
"95","2007-05-18",18.85
"96","2007-05-21",18.9
"97","2007-05-22",19.17
"98","2007-05-23",19.17
"99","2007-05-24",19.030001
"100","2007-05-25",19.23
"101","2007-05-29",19.209999
"102","2007-05-30",18.93
"103","2007-05-31",19.1
"104","2007-06-01",19.34
"105","2007-06-04",19.25
"106","2007-06-05",19.059999
"107","2007-06-06",19.030001
"108","2007-06-07",18.4
"109","2007-06-08",18.790001
"110","2007-06-11",18.620001
"111","2007-06-12",18.5
"112","2007-06-13",19.120001
"113","2007-06-14",19.42
"114","2007-06-15",19.85
"115","2007-06-18",19.83
"116","2007-06-19",19.780001
"117","2007-06-20",19.629999
"118","2007-06-21",20.16
"119","2007-06-22",20.25
"120","2007-06-25",19.879999
"121","2007-06-26",19.73
"122","2007-06-27",20.35
"123","2007-06-28",19.969999
"124","2007-06-29",19.870001
"125","2007-07-02",20.17
"126","2007-07-03",20.209999
"127","2007-07-05",20.049999
"128","2007-07-06",19.99
"129","2007-07-09",20.17
"130","2007-07-10",19.84
"131","2007-07-11",20.01
"132","2007-07-12",20.75
"133","2007-07-13",20.48
"134","2007-07-16",20.620001
"135","2007-07-17",21.799999
"136","2007-07-18",21.66
