"","date","BDC"
"1","2007-01-03",37.830002
"2","2007-01-04",38.25
"3","2007-01-05",38.16
"4","2007-01-08",38.27
"5","2007-01-09",38.389999
"6","2007-01-10",38.389999
"7","2007-01-11",39.34
"8","2007-01-12",39.810001
"9","2007-01-16",39.959999
"10","2007-01-17",41.48
"11","2007-01-18",40.41
"12","2007-01-19",41.549999
"13","2007-01-22",41.209999
"14","2007-01-23",42.310001
"15","2007-01-24",43.580002
"16","2007-01-25",42.970001
"17","2007-01-26",43.400002
"18","2007-01-29",43.73
"19","2007-01-30",43.790001
"20","2007-01-31",43.25
"21","2007-02-01",44.450001
"22","2007-02-02",44.41
"23","2007-02-05",44.650002
"24","2007-02-06",45.369999
"25","2007-02-07",45.900002
"26","2007-02-08",45.790001
"27","2007-02-09",45.759998
"28","2007-02-12",45.5
"29","2007-02-13",46.310001
"30","2007-02-14",46.669998
"31","2007-02-15",46.990002
"32","2007-02-16",47.619999
"33","2007-02-20",47.98
"34","2007-02-21",47.900002
"35","2007-02-22",48.099998
"36","2007-02-23",48.93
"37","2007-02-26",48.610001
"38","2007-02-27",46.049999
"39","2007-02-28",46.290001
"40","2007-03-01",47.759998
"41","2007-03-02",47.25
"42","2007-03-05",46.779999
"43","2007-03-06",49.130001
"44","2007-03-07",48.02
"45","2007-03-08",52.66
"46","2007-03-09",52.810001
"47","2007-03-12",52.299999
"48","2007-03-13",51.299999
"49","2007-03-14",52.200001
"50","2007-03-15",52.549999
"51","2007-03-16",52.490002
"52","2007-03-19",54.18
"53","2007-03-20",53.810001
"54","2007-03-21",54.560001
"55","2007-03-22",54.470001
"56","2007-03-23",55.209999
"57","2007-03-26",54.52
"58","2007-03-27",53.880001
"59","2007-03-28",53.709999
"60","2007-03-29",53.790001
"61","2007-03-30",53.59
"62","2007-04-02",55.099998
"63","2007-04-03",55.200001
"64","2007-04-04",55.490002
"65","2007-04-05",55.77
"66","2007-04-09",56.220001
"67","2007-04-10",56.16
"68","2007-04-11",55.619999
"69","2007-04-12",56.540001
"70","2007-04-13",56.490002
"71","2007-04-16",57.450001
"72","2007-04-17",56.700001
"73","2007-04-18",56.220001
"74","2007-04-19",56.450001
"75","2007-04-20",56.259998
"76","2007-04-23",56.529999
"77","2007-04-24",56.93
"78","2007-04-25",57.290001
"79","2007-04-26",56.939999
"80","2007-04-27",58.380001
"81","2007-04-30",55.880001
"82","2007-05-01",57.439999
"83","2007-05-02",58.07
"84","2007-05-03",57.57
"85","2007-05-04",58.68
"86","2007-05-07",58.16
"87","2007-05-08",58.459999
"88","2007-05-09",59.299999
"89","2007-05-10",58.200001
"90","2007-05-11",59.040001
"91","2007-05-14",57.990002
"92","2007-05-15",57.450001
"93","2007-05-16",57.860001
"94","2007-05-17",56.490002
"95","2007-05-18",57.709999
"96","2007-05-21",58.810001
"97","2007-05-22",58.93
"98","2007-05-23",57.400002
"99","2007-05-24",55.82
"100","2007-05-25",56.549999
"101","2007-05-29",57.119999
"102","2007-05-30",56.73
"103","2007-05-31",57.259998
"104","2007-06-01",58.299999
"105","2007-06-04",58.119999
"106","2007-06-05",57.130001
"107","2007-06-06",55.169998
"108","2007-06-07",53.400002
"109","2007-06-08",54.57
