"","date","RVSB"
"1","2007-01-03",15.29
"2","2007-01-04",15.72
"3","2007-01-05",15.74
"4","2007-01-08",15.73
"5","2007-01-09",15.75
"6","2007-01-10",15.75
"7","2007-01-11",15.69
"8","2007-01-12",15.58
"9","2007-01-16",15.46
"10","2007-01-17",15.74
"11","2007-01-18",15.73
"12","2007-01-19",15.91
"13","2007-01-22",15.9
"14","2007-01-23",15.68
"15","2007-01-24",15.82
"16","2007-01-25",15.97
"17","2007-01-26",16
"18","2007-01-29",16
"19","2007-01-30",16
"20","2007-01-31",16.25
"21","2007-02-01",16.32
"22","2007-02-02",16.5
"23","2007-02-05",16.719999
"24","2007-02-06",16.6
"25","2007-02-07",16.75
"26","2007-02-08",16.969999
"27","2007-02-09",17
"28","2007-02-12",16.99
"29","2007-02-13",16.969999
"30","2007-02-14",16.93
"31","2007-02-15",16.540001
"32","2007-02-16",16.959999
"33","2007-02-20",17
"34","2007-02-21",17
"35","2007-02-22",17.040001
"36","2007-02-23",17.48
"37","2007-02-26",17.58
"38","2007-02-27",17.07
"39","2007-02-28",16.950001
"40","2007-03-01",16.43
"41","2007-03-02",16.51
"42","2007-03-05",16.299999
"43","2007-03-06",16.299999
"44","2007-03-07",16.450001
"45","2007-03-08",16.5
"46","2007-03-09",16.66
"47","2007-03-12",16.889999
"48","2007-03-13",16.5
"49","2007-03-14",16.450001
"50","2007-03-15",16.459999
"51","2007-03-16",16.219999
"52","2007-03-19",15.88
"53","2007-03-20",15.85
"54","2007-03-21",15.62
"55","2007-03-22",15.58
"56","2007-03-23",15.49
"57","2007-03-26",15.82
"58","2007-03-27",15.75
"59","2007-03-28",15.41
"60","2007-03-29",15.55
"61","2007-03-30",15.94
"62","2007-04-02",16.030001
"63","2007-04-03",15.86
"64","2007-04-04",16.280001
"65","2007-04-05",15.98
"66","2007-04-09",15.85
"67","2007-04-10",15.56
"68","2007-04-11",15.5
"69","2007-04-12",15.43
"70","2007-04-13",15.33
"71","2007-04-16",15.31
"72","2007-04-17",14.7
"73","2007-04-18",14.32
"74","2007-04-19",14.4
"75","2007-04-20",14.88
"76","2007-04-23",14.93
"77","2007-04-24",14.89
"78","2007-04-25",14.52
"79","2007-04-26",14.37
"80","2007-04-27",14.4
"81","2007-04-30",14.4
"82","2007-05-01",14.46
"83","2007-05-02",14.69
"84","2007-05-03",14.44
"85","2007-05-04",14.27
"86","2007-05-07",13.85
"87","2007-05-08",13.81
"88","2007-05-09",14.54
"89","2007-05-10",14.21
"90","2007-05-11",14.25
"91","2007-05-14",14.25
"92","2007-05-15",14.1
"93","2007-05-16",14.07
"94","2007-05-17",14.02
"95","2007-05-18",13.99
"96","2007-05-21",14.01
"97","2007-05-22",14.1
"98","2007-05-23",14
"99","2007-05-24",14.13
"100","2007-05-25",14
"101","2007-05-29",14.02
"102","2007-05-30",13.95
"103","2007-05-31",13.95
"104","2007-06-01",14.25
"105","2007-06-04",14.32
"106","2007-06-05",14.33
"107","2007-06-06",14.39
"108","2007-06-07",14.41
"109","2007-06-08",14.31
"110","2007-06-11",14.18
"111","2007-06-12",14.1
"112","2007-06-13",14.08
"113","2007-06-14",13.95
"114","2007-06-15",13.91
"115","2007-06-18",13.95
"116","2007-06-19",14.04
"117","2007-06-20",13.89
"118","2007-06-21",13.88
"119","2007-06-22",14.19
"120","2007-06-25",14.25
"121","2007-06-26",13.85
"122","2007-06-27",13.86
"123","2007-06-28",14.04
"124","2007-06-29",13.69
"125","2007-07-02",14.07
"126","2007-07-03",14.2
"127","2007-07-05",14.11
"128","2007-07-06",14.21
"129","2007-07-09",14.25
"130","2007-07-10",14.28
"131","2007-07-11",14.45
"132","2007-07-12",14.51
"133","2007-07-13",14.8
"134","2007-07-16",14.63
"135","2007-07-17",14.8
"136","2007-07-18",14.45
"137","2007-07-19",14.42
"138","2007-07-20",14.34
