"","date","NYMT"
"1","2007-01-03",29.6
"2","2007-01-04",29.799999
"3","2007-01-05",32.799999
"4","2007-01-08",32.799999
"5","2007-01-09",31.700001
"6","2007-01-10",31.299999
"7","2007-01-11",31.1
"8","2007-01-12",31.1
"9","2007-01-16",31
"10","2007-01-17",31.1
"11","2007-01-18",30.200001
"12","2007-01-19",29.5
"13","2007-01-22",29.1
"14","2007-01-23",30
"15","2007-01-24",30.6
"16","2007-01-25",30.4
"17","2007-01-26",30.5
"18","2007-01-29",29.4
"19","2007-01-30",28.9
"20","2007-01-31",29.5
"21","2007-02-01",29.1
"22","2007-02-02",29.200001
"23","2007-02-05",29.1
"24","2007-02-06",29.200001
"25","2007-02-07",32.900002
"26","2007-02-08",33.200001
"27","2007-02-09",33.299999
"28","2007-02-12",32.5
"29","2007-02-13",32.5
"30","2007-02-14",33.799999
"31","2007-02-15",32.900002
"32","2007-02-16",33.599998
"33","2007-02-20",33.400002
"34","2007-02-21",33
"35","2007-02-22",33
"36","2007-02-23",33
"37","2007-02-26",32.5
"38","2007-02-27",32.5
"39","2007-02-28",31.6
"40","2007-03-01",31.1
"41","2007-03-02",29.799999
"42","2007-03-05",27.5
"43","2007-03-06",29
"44","2007-03-07",29.5
"45","2007-03-08",30.1
"46","2007-03-09",29
"47","2007-03-12",29.299999
"48","2007-03-13",27.6
"49","2007-03-14",27.700001
"50","2007-03-15",28.799999
"51","2007-03-16",25.799999
"52","2007-03-19",24.6
"53","2007-03-20",23.799999
"54","2007-03-21",23.9
"55","2007-03-22",23.6
"56","2007-03-23",24
"57","2007-03-26",24.299999
"58","2007-03-27",24.200001
"59","2007-03-28",23.6
"60","2007-03-29",25.1
"61","2007-03-30",25.4
"62","2007-04-02",24
"63","2007-04-03",23.700001
"64","2007-04-04",23.299999
"65","2007-04-05",23.9
"66","2007-04-09",24.1
"67","2007-04-10",23.6
"68","2007-04-11",24
"69","2007-04-12",24
"70","2007-04-13",24.200001
"71","2007-04-16",24.6
"72","2007-04-17",24.1
"73","2007-04-18",24
"74","2007-04-19",24
"75","2007-04-20",23.9
"76","2007-04-23",24.1
"77","2007-04-24",24
"78","2007-04-25",24.299999
"79","2007-04-26",24.200001
"80","2007-04-27",23.700001
"81","2007-04-30",23.5
"82","2007-05-01",23.700001
"83","2007-05-02",23.6
"84","2007-05-03",23.5
"85","2007-05-04",23.5
"86","2007-05-07",23.9
"87","2007-05-08",23.299999
"88","2007-05-09",23.299999
"89","2007-05-10",22.9
"90","2007-05-11",23.5
"91","2007-05-14",23.299999
"92","2007-05-15",22.1
"93","2007-05-16",22
"94","2007-05-17",21.9
"95","2007-05-18",21.700001
"96","2007-05-21",21.799999
"97","2007-05-22",21
"98","2007-05-23",20.5
"99","2007-05-24",20.5
"100","2007-05-25",20.5
"101","2007-05-29",20.299999
"102","2007-05-30",20.200001
"103","2007-05-31",20.1
"104","2007-06-01",20.200001
