"","date","SAFE"
"1","2017-06-22",19
"2","2017-06-23",19.290001
"3","2017-06-26",19.25
"4","2017-06-27",19.15
"5","2017-06-28",19.25
"6","2017-06-29",19.25
"7","2017-06-30",19.15
"8","2017-07-03",19.25
"9","2017-07-05",19.4
"10","2017-07-06",19.360001
"11","2017-07-07",19.41
"12","2017-07-10",19.41
"13","2017-07-11",19.540001
"14","2017-07-12",19.5
"15","2017-07-13",19.540001
"16","2017-07-14",19.690001
"17","2017-07-17",19.639999
"18","2017-07-18",19.610001
"19","2017-07-19",19.5
"20","2017-07-20",19.75
"21","2017-07-21",19.85
"22","2017-07-24",19.23
"23","2017-07-25",18.99
"24","2017-07-26",18.84
"25","2017-07-27",18.309999
"26","2017-07-28",18.25
"27","2017-07-31",18.6
"28","2017-08-01",18.48
"29","2017-08-02",18.5
"30","2017-08-03",18.780001
"31","2017-08-04",18.610001
"32","2017-08-07",18.969999
"33","2017-08-08",18.92
"34","2017-08-09",18.719999
"35","2017-08-10",18.9
"36","2017-08-11",18.83
"37","2017-08-14",19
"38","2017-08-15",19.200001
"39","2017-08-16",19.41
"40","2017-08-17",19.59
"41","2017-08-18",19.6
"42","2017-08-21",19.42
"43","2017-08-22",19.17
"44","2017-08-23",19.280001
"45","2017-08-24",19.32
"46","2017-08-25",19.370001
"47","2017-08-28",19.59
"48","2017-08-29",19.59
"49","2017-08-30",19.65
"50","2017-08-31",19.65
"51","2017-09-01",19.629999
"52","2017-09-05",19.73
"53","2017-09-06",19.780001
"54","2017-09-07",19.4
"55","2017-09-08",19.450001
"56","2017-09-11",19.58
"57","2017-09-12",19.67
"58","2017-09-13",19.440001
"59","2017-09-14",19.6
"60","2017-09-15",19.24
"61","2017-09-18",19.139999
"62","2017-09-19",19.4
"63","2017-09-20",19.27
"64","2017-09-21",19.27
"65","2017-09-22",19.1
"66","2017-09-25",18.77
"67","2017-09-26",18.73
"68","2017-09-27",18.719999
"69","2017-09-28",18.33
"70","2017-09-29",18.639999
"71","2017-10-02",18.780001
"72","2017-10-03",18.75
"73","2017-10-04",18.73
"74","2017-10-05",18.67
"75","2017-10-06",18.65
"76","2017-10-09",18.360001
"77","2017-10-10",18.77
"78","2017-10-11",18.549999
"79","2017-10-12",18.360001
"80","2017-10-13",18.290001
"81","2017-10-16",18.309999
"82","2017-10-17",18.700001
"83","2017-10-18",18.799999
"84","2017-10-19",18.530001
"85","2017-10-20",18.379999
"86","2017-10-23",18.41
"87","2017-10-24",18.5
"88","2017-10-25",18.639999
"89","2017-10-26",18.4
"90","2017-10-27",18.5
"91","2017-10-30",18.370001
"92","2017-10-31",17.969999
"93","2017-11-01",17.98
"94","2017-11-02",17.93
"95","2017-11-03",18.02
"96","2017-11-06",17.969999
"97","2017-11-07",17.360001
"98","2017-11-08",17.799999
"99","2017-11-09",17.9
"100","2017-11-10",17.84
"101","2017-11-13",17.709999
"102","2017-11-14",17.67
"103","2017-11-15",17.85
"104","2017-11-16",18.129999
"105","2017-11-17",18.200001
"106","2017-11-20",18.280001
"107","2017-11-21",18.379999
"108","2017-11-22",18.469999
"109","2017-11-24",18.43
"110","2017-11-27",18.58
"111","2017-11-28",18.49
"112","2017-11-29",18.549999
"113","2017-11-30",18.299999
"114","2017-12-01",18.1
"115","2017-12-04",17.799999
"116","2017-12-05",17.75
"117","2017-12-06",17.73
"118","2017-12-07",17.940001
"119","2017-12-08",17.68
"120","2017-12-11",17.75
"121","2017-12-12",18
"122","2017-12-13",18.110001
"123","2017-12-14",17.889999
"124","2017-12-15",18.01
"125","2017-12-18",18.059999
"126","2017-12-19",17.870001
"127","2017-12-20",18.030001
"128","2017-12-21",17.870001
"129","2017-12-22",17.57
"130","2017-12-26",17.67
"131","2017-12-27",17.73
"132","2017-12-28",17.65
"133","2017-12-29",17.6
"134","2018-01-02",17.959999
"135","2018-01-03",17.950001
"136","2018-01-04",17.93
"137","2018-01-05",17.75
"138","2018-01-08",17.92
"139","2018-01-09",17.84
"140","2018-01-10",17.799999
"141","2018-01-11",17.92
"142","2018-01-12",17.93
"143","2018-01-16",17.73
"144","2018-01-17",17.83
"145","2018-01-18",17.790001
"146","2018-01-19",17.809999
"147","2018-01-22",17.68
"148","2018-01-23",17.790001
"149","2018-01-24",17.959999
"150","2018-01-25",17.84
"151","2018-01-26",17.74
"152","2018-01-29",17.74
"153","2018-01-30",17.6
"154","2018-01-31",17.610001
"155","2018-02-01",17.42
"156","2018-02-02",17.07
"157","2018-02-05",16.57
"158","2018-02-06",16.799999
"159","2018-02-07",16.67
"160","2018-02-08",16.26
"161","2018-02-09",16.530001
"162","2018-02-12",16.68
"163","2018-02-13",16.809999
"164","2018-02-14",16.790001
"165","2018-02-15",16.889999
"166","2018-02-16",16.32
