"","date","AKTX"
"1","2014-01-06",80
"2","2014-01-07",95
"3","2014-01-08",95
"4","2014-01-09",95
"5","2014-01-10",98.5
"6","2014-01-13",98
"7","2014-01-14",109
"8","2014-01-15",110
"9","2014-01-16",110
"10","2014-01-17",110
"11","2014-01-21",110
"12","2014-01-22",110
"13","2014-01-23",105.5
"14","2014-01-24",105
"15","2014-01-27",105
"16","2014-01-28",105
"17","2014-01-29",105
"18","2014-01-30",102
"19","2014-01-31",89
"20","2014-02-03",81.5
"21","2014-02-04",78.5
"22","2014-02-05",75
"23","2014-02-06",72.800003
"24","2014-02-07",78.599998
"25","2014-02-10",78.800003
"26","2014-02-11",78.099998
"27","2014-02-12",78
"28","2014-02-13",75
"29","2014-02-14",77.400002
"30","2014-02-18",75.5
"31","2014-02-19",73
"32","2014-02-20",70.5
"33","2014-02-21",71
"34","2014-02-24",70.5
"35","2014-02-25",68.5
"36","2014-02-26",68.699997
"37","2014-02-27",65
"38","2014-02-28",64.5
"39","2014-03-03",62.5
"40","2014-03-04",61.5
"41","2014-03-05",61.900002
"42","2014-03-06",66
"43","2014-03-07",64.900002
"44","2014-03-10",69.099998
"45","2014-03-11",68
"46","2014-03-12",71
"47","2014-03-13",68.5
"48","2014-03-14",67.5
"49","2014-03-17",67.400002
"50","2014-03-18",68.5
"51","2014-03-19",68.5
"52","2014-03-20",69
"53","2014-03-21",67.5
"54","2014-03-24",70
"55","2014-03-25",69.5
"56","2014-03-26",66.5
"57","2014-03-27",66
"58","2014-03-28",66
"59","2014-03-31",64.900002
"60","2014-04-01",61.5
"61","2014-04-02",62.700001
"62","2014-04-03",61.52
"63","2014-04-04",61.900002
"64","2014-04-07",57
"65","2014-04-08",55
"66","2014-04-09",55
"67","2014-04-10",52.5
"68","2014-04-11",54
"69","2014-04-14",52.099998
"70","2014-04-15",51.099998
"71","2014-04-16",57.43
"72","2014-04-17",57.43
"73","2014-04-21",56
"74","2014-04-22",56.799999
"75","2014-04-23",58.57
"76","2014-04-24",61.599998
"77","2014-04-25",62
"78","2014-04-28",61
"79","2014-04-29",61
"80","2014-04-30",61
"81","2014-05-01",61
"82","2014-05-02",59.900002
"83","2014-05-05",59.900002
"84","2014-05-06",59.900002
"85","2014-05-07",59.900002
"86","2014-05-08",55.5
"87","2014-05-09",55
"88","2014-05-12",54
"89","2014-05-13",53.299999
"90","2014-05-14",53.599998
"91","2014-05-15",51.799999
"92","2014-05-16",51.5
"93","2014-05-19",52.099998
"94","2014-05-20",52
"95","2014-05-21",52.5
"96","2014-05-22",52.400002
"97","2014-05-23",53.900002
"98","2014-05-27",51.52
"99","2014-05-28",53.700001
"100","2014-05-29",53.700001
"101","2014-05-30",51
"102","2014-06-02",50.099998
"103","2014-06-03",50
"104","2014-06-04",50.200001
"105","2014-06-05",51
"106","2014-06-06",52.900002
"107","2014-06-09",53.48
