"","date","SITE"
"219","2017-03-24",46.849998
"220","2017-03-27",46.740002
"221","2017-03-28",47.169998
"222","2017-03-29",46.889999
"223","2017-03-30",47.549999
"224","2017-03-31",48.41
"225","2017-04-03",48.380001
"226","2017-04-04",49
"227","2017-04-05",48.389999
"228","2017-04-06",49.59
"229","2017-04-07",49.169998
"230","2017-04-10",49.099998
"231","2017-04-11",48.700001
"232","2017-04-12",47.119999
"233","2017-04-13",46.240002
"234","2017-04-17",47.040001
"235","2017-04-18",46.639999
"236","2017-04-19",48.080002
"237","2017-04-20",47.880001
"238","2017-04-21",48.290001
"239","2017-04-24",48.599998
"240","2017-04-25",48.200001
"241","2017-04-26",47.5
"242","2017-04-27",48.009998
"243","2017-04-28",47.810001
"244","2017-05-01",48.52
"245","2017-05-02",48.080002
"246","2017-05-03",48.59
"247","2017-05-04",48.630001
"248","2017-05-05",49.400002
"249","2017-05-08",49.419998
"250","2017-05-09",49.43
"251","2017-05-10",50.080002
"252","2017-05-11",50.060001
"253","2017-05-12",49.02
"254","2017-05-15",48.889999
"255","2017-05-16",49.369999
"256","2017-05-17",48.009998
"257","2017-05-18",48.869999
"258","2017-05-19",49.52
"259","2017-05-22",50.040001
"260","2017-05-23",50.68
"261","2017-05-24",50.34
"262","2017-05-25",51.93
"263","2017-05-26",52
"264","2017-05-30",51.59
"265","2017-05-31",53.18
"266","2017-06-01",52.66
"267","2017-06-02",53.049999
"268","2017-06-05",52.68
"269","2017-06-06",51.369999
"270","2017-06-07",51.41
"271","2017-06-08",51.77
"272","2017-06-09",50.720001
"273","2017-06-12",49.830002
"274","2017-06-13",50.330002
"275","2017-06-14",50.630001
"276","2017-06-15",50.220001
"277","2017-06-16",49.740002
"278","2017-06-19",50.799999
"279","2017-06-20",51.119999
"280","2017-06-21",51.279999
"281","2017-06-22",51.75
"282","2017-06-23",52.16
"283","2017-06-26",52.02
"284","2017-06-27",51.240002
"285","2017-06-28",51.91
"286","2017-06-29",51.439999
"287","2017-06-30",52.060001
"288","2017-07-03",52.09
"289","2017-07-05",53.5
"290","2017-07-06",53.049999
"291","2017-07-07",53.5
"292","2017-07-10",52.610001
"293","2017-07-11",52.869999
"294","2017-07-12",53.330002
"295","2017-07-13",52.860001
"296","2017-07-14",52.529999
"297","2017-07-17",52.580002
"298","2017-07-18",51.709999
"299","2017-07-19",51.209999
"300","2017-07-20",51.799999
"301","2017-07-21",52.619999
"302","2017-07-24",53.450001
"303","2017-07-25",52.880001
"304","2017-07-26",53.099998
"305","2017-07-27",51.82
"306","2017-07-28",52.470001
"307","2017-07-31",52.5
"308","2017-08-01",52.540001
"309","2017-08-02",52.040001
"310","2017-08-03",52.139999
"311","2017-08-04",52.689999
"312","2017-08-07",52.779999
"313","2017-08-08",52.560001
"314","2017-08-09",52.310001
"315","2017-08-10",50.970001
"316","2017-08-11",50.880001
"317","2017-08-14",51.41
"318","2017-08-15",50.970001
"319","2017-08-16",51.259998
"320","2017-08-17",50.57
"321","2017-08-18",49.34
"322","2017-08-21",48.93
"323","2017-08-22",49.389999
"324","2017-08-23",49.169998
"325","2017-08-24",48.529999
"326","2017-08-25",48.400002
"327","2017-08-28",49.049999
"328","2017-08-29",49
"329","2017-08-30",49.689999
"330","2017-08-31",50.240002
"331","2017-09-01",50.849998
"332","2017-09-05",51.16
"333","2017-09-06",51.119999
"334","2017-09-07",51.630001
"335","2017-09-08",51.669998
"336","2017-09-11",52.099998
"337","2017-09-12",52.200001
"338","2017-09-13",52.450001
"339","2017-09-14",52.700001
"340","2017-09-15",53.029999
"341","2017-09-18",53.669998
"342","2017-09-19",54.84
"343","2017-09-20",56.02
"344","2017-09-21",56.330002
"345","2017-09-22",56.029999
"346","2017-09-25",55.950001
"347","2017-09-26",56.240002
"348","2017-09-27",57.470001
"349","2017-09-28",57.389999
"350","2017-09-29",58.099998
"351","2017-10-02",58.950001
"352","2017-10-03",60.02
"353","2017-10-04",61.689999
"354","2017-10-05",61.610001
"355","2017-10-06",62.450001
"356","2017-10-09",62.189999
"357","2017-10-10",62.130001
"358","2017-10-11",62.279999
"359","2017-10-12",62.799999
"360","2017-10-13",62.290001
"361","2017-10-16",62.57
"362","2017-10-17",61.919998
"363","2017-10-18",62.389999
"364","2017-10-19",61.790001
"365","2017-10-20",62.599998
"366","2017-10-23",62.91
"367","2017-10-24",62.889999
"368","2017-10-25",62.540001
"369","2017-10-26",62.860001
"370","2017-10-27",63.41
"371","2017-10-30",62.73
"372","2017-10-31",63.509998
"373","2017-11-01",63.419998
"374","2017-11-02",64.360001
"375","2017-11-03",63.580002
"376","2017-11-06",64.010002
"377","2017-11-07",64
"378","2017-11-08",62.439999
"379","2017-11-09",63.509998
"380","2017-11-10",66.730003
"381","2017-11-13",68.639999
"382","2017-11-14",69.589996
"383","2017-11-15",68.360001
"384","2017-11-16",69
"385","2017-11-17",71.199997
"386","2017-11-20",71.949997
"387","2017-11-21",72.25
"388","2017-11-22",71.629997
"389","2017-11-24",71.910004
"390","2017-11-27",70.830002
"391","2017-11-28",72.839996
"392","2017-11-29",73.139999
"393","2017-11-30",74.779999
"394","2017-12-01",75
"395","2017-12-04",74.349998
"396","2017-12-05",71.919998
"397","2017-12-06",70.620003
"398","2017-12-07",70.970001
"399","2017-12-08",70.779999
"400","2017-12-11",71.129997
"401","2017-12-12",70.650002
"402","2017-12-13",71.010002
"403","2017-12-14",69.800003
"404","2017-12-15",71.82
"405","2017-12-18",72.309998
"406","2017-12-19",72.129997
"407","2017-12-20",74.370003
"408","2017-12-21",74.099998
"409","2017-12-22",74.339996
"410","2017-12-26",75.93
"411","2017-12-27",76.160004
"412","2017-12-28",76.559998
"413","2017-12-29",76.699997
"414","2018-01-02",76.279999
"415","2018-01-03",73.620003
"416","2018-01-04",73.269997
"417","2018-01-05",72.919998
"418","2018-01-08",72.300003
"419","2018-01-09",71.900002
"420","2018-01-10",70.900002
"421","2018-01-11",71.400002
"422","2018-01-12",71.480003
"423","2018-01-16",71.18
"424","2018-01-17",72.269997
"425","2018-01-18",71.400002
"426","2018-01-19",73.330002
"427","2018-01-22",74.730003
"428","2018-01-23",72.660004
"429","2018-01-24",73.370003
"430","2018-01-25",74.639999
"431","2018-01-26",78.849998
"432","2018-01-29",78.669998
"433","2018-01-30",77.730003
"434","2018-01-31",76.160004
"435","2018-02-01",75.32
"436","2018-02-02",74.220001
"437","2018-02-05",72.110001
"438","2018-02-06",72.800003
"439","2018-02-07",73.080002
"440","2018-02-08",71.68
"441","2018-02-09",72.529999
"442","2018-02-12",74.510002
"443","2018-02-13",74.93
"444","2018-02-14",77.040001
"445","2018-02-15",78.110001
"446","2018-02-16",78.739998
"447","2018-02-20",73.440002
"448","2018-02-21",71.800003
"449","2018-02-22",72.220001
"450","2018-02-23",74.019997
"451","2018-02-26",74.459999
"452","2018-02-27",71.400002
"453","2018-02-28",68.839996
"454","2018-03-01",68.449997
"455","2018-03-02",69.889999
"456","2018-03-05",71.400002
"457","2018-03-06",72.139999
"458","2018-03-07",73.339996
"459","2018-03-08",72.720001
"460","2018-03-09",73.309998
"461","2018-03-12",73.730003
"462","2018-03-13",74.199997
"463","2018-03-14",74.93
"464","2018-03-15",73
"465","2018-03-16",74.010002
"466","2018-03-19",73.760002
"467","2018-03-20",75.230003
"468","2018-03-21",75.980003
"469","2018-03-22",73.449997
"470","2018-03-23",72.75
"471","2018-03-26",76.309998
"472","2018-03-27",74.980003
"473","2018-03-28",73.489998
"474","2018-03-29",77.040001
"475","2018-04-02",73.660004
"476","2018-04-03",74.57
"477","2018-04-04",76.779999
"478","2018-04-05",77.82
"479","2018-04-06",77.400002
"480","2018-04-09",76.870003
"481","2018-04-10",77.199997
"482","2018-04-11",76.18
"483","2018-04-12",76.769997
"484","2018-04-13",77.279999
"485","2018-04-16",78.269997
"486","2018-04-17",79.360001
"487","2018-04-18",78.610001
"488","2018-04-19",77.449997
"489","2018-04-20",75.620003
"490","2018-04-23",74.089996
"491","2018-04-24",72.169998
"492","2018-04-25",69.190002
"493","2018-04-26",68.800003
"494","2018-04-27",68.940002
"495","2018-04-30",68.5
"496","2018-05-01",68.769997
"497","2018-05-02",71.440002
"498","2018-05-03",73.07
"499","2018-05-04",73.669998
"500","2018-05-07",73.900002
"501","2018-05-08",73.699997
"502","2018-05-09",74.419998
"503","2018-05-10",75.720001
"504","2018-05-11",77.160004
"505","2018-05-14",77.480003
"506","2018-05-15",77.010002
"507","2018-05-16",78.93
"508","2018-05-17",80.669998
"509","2018-05-18",80.800003
"510","2018-05-21",79.940002
"511","2018-05-22",77.029999
"512","2018-05-23",76.370003
"513","2018-05-24",75.949997
"514","2018-05-25",74.699997
"515","2018-05-29",73.599998
"516","2018-05-30",74.339996
"517","2018-05-31",75.650002
"518","2018-06-01",78.43
"519","2018-06-04",78.900002
"520","2018-06-05",79.389999
"521","2018-06-06",81.139999
"522","2018-06-07",83.720001
"523","2018-06-08",86.580002
"524","2018-06-11",87.160004
"525","2018-06-12",89.099998
"526","2018-06-13",88.040001
"527","2018-06-14",89.889999
"528","2018-06-15",90.519997
"529","2018-06-18",91.849998
