"","date","REPH"
"1","2014-03-07",7.443946
"2","2014-03-10",7.569507
"3","2014-03-11",7.802691
"4","2014-03-12",7.802691
"5","2014-03-13",7.426009
"6","2014-03-14",6.950673
"7","2014-03-17",7.004484
"8","2014-03-18",7.309417
"9","2014-03-19",7.61435
"10","2014-03-20",8.206278
"11","2014-03-21",7.515695
"12","2014-03-24",7.130045
"13","2014-03-25",7.35426
"14","2014-03-26",6.986547
"15","2014-03-27",6.412556
"16","2014-03-28",6.439462
"17","2014-03-31",6.565022
"18","2014-04-01",6.26009
"19","2014-04-02",6.717489
"20","2014-04-03",6.430493
"21","2014-04-04",6.278027
"22","2014-04-07",6.071749
"23","2014-04-08",6.278027
"24","2014-04-09",6.332736
"25","2014-04-10",5.964126
"26","2014-04-11",5.784753
"27","2014-04-14",5.112108
"28","2014-04-15",4.932735
"29","2014-04-16",4.932735
"30","2014-04-17",4.932735
"31","2014-04-21",4.717489
"32","2014-04-22",5.15695
"33","2014-04-23",6.412556
"34","2014-04-24",6
"35","2014-04-25",5.569507
"36","2014-04-28",5.61435
"37","2014-04-29",5.704036
"38","2014-04-30",5.865471
"39","2014-05-01",5.865471
"40","2014-05-02",5.721973
"41","2014-05-05",5.461884
"42","2014-05-06",5.605381
"43","2014-05-07",5.650224
"44","2014-05-08",5.659193
"45","2014-05-09",5.443946
"46","2014-05-12",5.659193
"47","2014-05-13",5.605381
"48","2014-05-14",5.650224
"49","2014-05-15",5.820628
"50","2014-05-16",5.820628
"51","2014-05-19",6.125561
"52","2014-05-20",5.901345
"53","2014-05-21",5.982063
"54","2014-05-22",5.847534
"55","2014-05-23",5.982063
"56","2014-05-27",5.919282
"57","2014-05-28",5.748879
"58","2014-05-29",5.399103
"59","2014-05-30",5.928251
"60","2014-06-02",6.170403
"61","2014-06-03",5.892377
"62","2014-06-04",6.026906
"63","2014-06-05",5.874439
"64","2014-06-06",6.098655
"65","2014-06-09",6.26009
"66","2014-06-10",6.502242
"67","2014-06-11",6.529148
"68","2014-06-12",6.950673
"69","2014-06-13",7.004484
"70","2014-06-16",6.493274
"71","2014-06-17",6.565022
"72","2014-06-18",7.174888
"73","2014-06-19",7.309417
"74","2014-06-20",7.013453
"75","2014-06-23",7.183856
"76","2014-06-24",7.255605
"77","2014-06-25",7.130045
"78","2014-06-26",7.094171
"79","2014-06-27",7.067265
"80","2014-06-30",7.183856
"81","2014-07-01",7.085202
"82","2014-07-02",7.174888
"83","2014-07-03",7.076233
"84","2014-07-07",7.076233
"85","2014-07-08",6.744395
"86","2014-07-09",6.860987
"87","2014-07-10",6.672646
"88","2014-07-11",6.636771
"89","2014-07-14",6.672646
"90","2014-07-15",6.197309
"91","2014-07-16",6.008969
"92","2014-07-17",5.434978
"93","2014-07-18",5.704036
"94","2014-07-21",5.390134
"95","2014-07-22",5.408072
"96","2014-07-23",5.246637
"97","2014-07-24",5.381166
"98","2014-07-25",5.215247
"99","2014-07-28",5.282511
"100","2014-07-29",5.35426
"101","2014-07-30",5.336323
"102","2014-07-31",5.515695
"103","2014-08-01",5.35426
"104","2014-08-04",5.41704
"105","2014-08-05",5.327354
"106","2014-08-06",5.327354
"107","2014-08-07",5.219731
"108","2014-08-08",5.255605
"109","2014-08-11",5.381166
"110","2014-08-12",5.201794
"111","2014-08-13",5.246637
"112","2014-08-14",5.237668
"113","2014-08-15",5.121076
"114","2014-08-18",5.165919
"115","2014-08-19",5.237668
"116","2014-08-20",5.282511
"117","2014-08-21",5.112108
"118","2014-08-22",5.112108
"119","2014-08-25",4.995516
"120","2014-08-26",5.013453
"121","2014-08-27",5.058296
"122","2014-08-28",5.022421
"123","2014-08-29",5.309417
"124","2014-09-02",5.183856
"125","2014-09-03",5.103139
"126","2014-09-04",5.121076
"127","2014-09-05",2.690583
"128","2014-09-08",2.825112
"129","2014-09-09",3.013453
"130","2014-09-10",3.35426
"131","2014-09-11",3.587444
"132","2014-09-12",3.49417
"133","2014-09-15",3.156951
"134","2014-09-16",3.103139
"135","2014-09-17",3.049327
"136","2014-09-18",2.798206
"137","2014-09-19",2.878924
"138","2014-09-22",2.816144
