"","date","GAN"
"1","2020-05-05",13.25
"2","2020-05-06",13.86
"3","2020-05-07",13.51
"4","2020-05-08",14.41
"5","2020-05-11",15.04
"6","2020-05-12",15.26
"7","2020-05-13",13
"8","2020-05-14",14.35
"9","2020-05-15",14.36
"10","2020-05-18",14.5
"11","2020-05-19",14.09
"12","2020-05-20",15.1
"13","2020-05-21",14.98
"14","2020-05-22",15.4
"15","2020-05-26",16.450001
"16","2020-05-27",16.48
"17","2020-05-28",18.1
"18","2020-05-29",21.889999
"19","2020-06-01",24.299999
"20","2020-06-02",21.67
"21","2020-06-03",20.780001
"22","2020-06-04",20.74
"23","2020-06-05",18.75
"24","2020-06-08",20.110001
"25","2020-06-09",20.26
"26","2020-06-10",19.48
"27","2020-06-11",17.6
"28","2020-06-12",18.190001
"29","2020-06-15",21.43
"30","2020-06-16",21.940001
"31","2020-06-17",23.25
"32","2020-06-18",24.629999
"33","2020-06-19",25.99
"34","2020-06-22",23.98
"35","2020-06-23",24.110001
"36","2020-06-24",24.98
"37","2020-06-25",23.790001
"38","2020-06-26",23.860001
"39","2020-06-29",25.99
"40","2020-06-30",25.450001
"41","2020-07-01",27.549999
"42","2020-07-02",27.58
"43","2020-07-06",27.040001
"44","2020-07-07",27.139999
"45","2020-07-08",27.459999
"46","2020-07-09",27.15
"47","2020-07-10",25.690001
"48","2020-07-13",23.01
"49","2020-07-14",23.58
"50","2020-07-15",23.41
"51","2020-07-16",24.219999
"52","2020-07-17",24.879999
"53","2020-07-20",24.629999
"54","2020-07-21",25.52
"55","2020-07-22",24.76
"56","2020-07-23",23.299999
"57","2020-07-24",22.9
"58","2020-07-27",21.41
"59","2020-07-28",21.25
"60","2020-07-29",20.879999
"61","2020-07-30",19.98
"62","2020-07-31",19.35
"63","2020-08-03",19.690001
"64","2020-08-04",19.860001
"65","2020-08-05",20.299999
"66","2020-08-06",20.18
"67","2020-08-07",20.290001
"68","2020-08-10",19.85
"69","2020-08-11",19.700001
"70","2020-08-12",19.92
"71","2020-08-13",22.440001
"72","2020-08-14",22.719999
"73","2020-08-17",24.459999
"74","2020-08-18",24.870001
"75","2020-08-19",24.459999
"76","2020-08-20",25.17
"77","2020-08-21",20.68
"78","2020-08-24",20.450001
"79","2020-08-25",20.75
"80","2020-08-26",21.33
"81","2020-08-27",20.76
"82","2020-08-28",20.9
"83","2020-08-31",20.549999
"84","2020-09-01",21.190001
"85","2020-09-02",20.73
"86","2020-09-03",19.290001
"87","2020-09-04",18.870001
"88","2020-09-08",18.93
"89","2020-09-09",19.43
"90","2020-09-10",19.629999
"91","2020-09-11",18.950001
"92","2020-09-14",19.58
"93","2020-09-15",17.709999
"94","2020-09-16",16.59
"95","2020-09-17",16.98
"96","2020-09-18",17.299999
"97","2020-09-21",16.57
"98","2020-09-22",16.860001
"99","2020-09-23",15.13
"100","2020-09-24",15.11
"101","2020-09-25",15.69
"102","2020-09-28",16.700001
"103","2020-09-29",16.049999
"104","2020-09-30",16.9
"105","2020-10-01",16
"106","2020-10-02",16.219999
"107","2020-10-05",18.190001
"108","2020-10-06",17.59
"109","2020-10-07",17.67
"110","2020-10-08",18.09
"111","2020-10-09",18.24
"112","2020-10-12",17.93
"113","2020-10-13",17.52
"114","2020-10-14",17.02
"115","2020-10-15",16.9
"116","2020-10-16",16.42
"117","2020-10-19",15.89
"118","2020-10-20",15.38
"119","2020-10-21",15.36
"120","2020-10-22",15.86
"121","2020-10-23",15.89
"122","2020-10-26",15.63
"123","2020-10-27",15.15
"124","2020-10-28",14.33
"125","2020-10-29",14.27
"126","2020-10-30",14.21
"127","2020-11-02",15.68
"128","2020-11-03",15.98
"129","2020-11-04",16
"130","2020-11-05",17.139999
"131","2020-11-06",17.02
"132","2020-11-09",17.299999
"133","2020-11-10",16.41
"134","2020-11-11",16.709999
"135","2020-11-12",16.889999
"136","2020-11-13",17.940001
"137","2020-11-16",18.08
"138","2020-11-17",16.15
"139","2020-11-18",16.91
"140","2020-11-19",17.860001
"141","2020-11-20",17.940001
"142","2020-11-23",17.32
"143","2020-11-24",16.309999
"144","2020-11-25",16.219999
"145","2020-11-27",16.5
