"","date","RMCF"
"1","2007-01-03",13.895238
"2","2007-01-04",14.047619
"3","2007-01-05",14.161904
"4","2007-01-08",14.038095
"5","2007-01-09",13.666667
"6","2007-01-10",13.971429
"7","2007-01-11",13.990477
"8","2007-01-12",13.895238
"9","2007-01-16",13.761905
"10","2007-01-17",13.619047
"11","2007-01-18",13.552381
"12","2007-01-19",13.171429
"13","2007-01-22",12.780952
"14","2007-01-23",12.952381
"15","2007-01-24",12.780952
"16","2007-01-25",12.780952
"17","2007-01-26",12.952381
"18","2007-01-29",13.12381
"19","2007-01-30",12.67619
"20","2007-01-31",12.809524
"21","2007-02-01",12.923809
"22","2007-02-02",13.238095
"23","2007-02-05",13.085714
"24","2007-02-06",13.114285
"25","2007-02-07",13.180952
"26","2007-02-08",13
"27","2007-02-09",12.819048
"28","2007-02-12",13.019048
"29","2007-02-13",13.104762
"30","2007-02-14",13.12381
"31","2007-02-15",13.066667
"32","2007-02-16",13.809524
"33","2007-02-20",13.809524
"34","2007-02-21",13.657143
"35","2007-02-22",13.504762
"36","2007-02-23",13.466666
"37","2007-02-26",13.485714
"38","2007-02-27",13.009523
"39","2007-02-28",13
"40","2007-03-01",12.942857
"41","2007-03-02",12.857142
"42","2007-03-05",12.809524
"43","2007-03-06",12.761905
"44","2007-03-07",12.780952
"45","2007-03-08",12.8
"46","2007-03-09",12.838096
"47","2007-03-12",13
"48","2007-03-13",13.057143
"49","2007-03-14",12.838096
"50","2007-03-15",12.904762
"51","2007-03-16",13.095238
"52","2007-03-19",13.228572
"53","2007-03-20",13.304762
"54","2007-03-21",13.32381
"55","2007-03-22",13.161904
"56","2007-03-23",13.476191
"57","2007-03-26",13.447619
"58","2007-03-27",13.2
"59","2007-03-28",13.333333
"60","2007-03-29",13.371428
"61","2007-03-30",12.885715
"62","2007-04-02",12.942857
"63","2007-04-03",13.133333
"64","2007-04-04",12.885715
"65","2007-04-05",13.133333
"66","2007-04-09",13.057143
"67","2007-04-10",12.87619
"68","2007-04-11",12.980952
"69","2007-04-12",12.714286
