"","date","GLSI"
"1","2020-09-25",5
"2","2020-09-28",4.91
"3","2020-09-29",4.6
"4","2020-09-30",4.6
"5","2020-10-01",4.575
"6","2020-10-02",4.29
"7","2020-10-05",4.28
"8","2020-10-06",4.5
"9","2020-10-07",4.5
"10","2020-10-08",4.9
"11","2020-10-09",5
"12","2020-10-12",4.8
"13","2020-10-13",4.48
"14","2020-10-14",4.79
"15","2020-10-15",4.43
"16","2020-10-16",4.785
"17","2020-10-19",4.595
"18","2020-10-20",4.745
"19","2020-10-21",4.32
"20","2020-10-22",4.195
"21","2020-10-23",4.195
"22","2020-10-26",4.06
"23","2020-10-27",4.061
"24","2020-10-28",3.85
"25","2020-10-29",3.67
"26","2020-10-30",3.51
"27","2020-11-02",3.51
"28","2020-11-03",3.5
"29","2020-11-04",3.69
"30","2020-11-05",3.65
"31","2020-11-06",3.885
"32","2020-11-09",4.19
"33","2020-11-10",4.23
"34","2020-11-11",4.19
"35","2020-11-12",4.05
"36","2020-11-13",3.475
"37","2020-11-16",4.59
"38","2020-11-17",4.16
"39","2020-11-18",4.98
"40","2020-11-19",5.4
"41","2020-11-20",5.32
"42","2020-11-23",5.49
"43","2020-11-24",5.28
"44","2020-11-25",5.3
"45","2020-11-27",5.351
