"","date","GP"
"1","2020-08-28",21
"2","2020-08-31",19.75
"3","2020-09-01",17.35
"4","2020-09-02",17.6
"5","2020-09-03",14.43
"6","2020-09-04",13.63
"7","2020-09-08",13.75
"8","2020-09-09",15.58
"9","2020-09-10",15.98
"10","2020-09-11",15.83
"11","2020-09-14",14.53
"12","2020-09-15",14.46
"13","2020-09-16",13.38
"14","2020-09-17",13.82
"15","2020-09-18",14.05
"16","2020-09-21",13.14
"17","2020-09-22",12.895
"18","2020-09-23",11.5
"19","2020-09-24",11.09
"20","2020-09-25",11.18
"21","2020-09-28",10.87
"22","2020-09-29",10.505
"23","2020-09-30",11.99
"24","2020-10-01",13
"25","2020-10-02",12.31
"26","2020-10-05",12.96
"27","2020-10-06",12.5
"28","2020-10-07",12.89
"29","2020-10-08",12.78
"30","2020-10-09",13.38
"31","2020-10-12",12.61
"32","2020-10-13",12.38
"33","2020-10-14",11.86
"34","2020-10-15",11.48
"35","2020-10-16",11.18
"36","2020-10-19",10.92
"37","2020-10-20",10.62
"38","2020-10-21",10
"39","2020-10-22",9.71
"40","2020-10-23",9.84
"41","2020-10-26",9.32
"42","2020-10-27",9.15
"43","2020-10-28",8.34
"44","2020-10-29",9.09
"45","2020-10-30",8.99
"46","2020-11-02",9.36
"47","2020-11-03",9.29
"48","2020-11-04",9.11
"49","2020-11-05",10.44
"50","2020-11-06",10.16
"51","2020-11-09",10.36
"52","2020-11-10",9.16
"53","2020-11-11",10.1
"54","2020-11-12",10.53
"55","2020-11-13",12.6
"56","2020-11-16",16.889999
"57","2020-11-17",16.57
"58","2020-11-18",18.690001
"59","2020-11-19",18.950001
"60","2020-11-20",22.040001
"61","2020-11-23",28.200001
"62","2020-11-24",25.77
"63","2020-11-25",26.43
"64","2020-11-27",25.27
