"","date","AUBN"
"1","2007-01-03",28.889999
"2","2007-01-04",29.209999
"3","2007-01-05",29.209999
"4","2007-01-08",29.209999
"5","2007-01-09",29.209999
"6","2007-01-10",29.25
"7","2007-01-11",29.25
"8","2007-01-12",29.25
"9","2007-01-16",29.25
"10","2007-01-17",29.25
"11","2007-01-18",29.25
"12","2007-01-19",29.25
"13","2007-01-22",29.25
"14","2007-01-23",29.25
"15","2007-01-24",29.48
"16","2007-01-25",29.48
"17","2007-01-26",29.48
"18","2007-01-29",29.75
"19","2007-01-30",29.26
"20","2007-01-31",29.25
"21","2007-02-01",29.25
"22","2007-02-02",30
"23","2007-02-05",30
"24","2007-02-06",30
"25","2007-02-07",29
"26","2007-02-08",29
"27","2007-02-09",29
"28","2007-02-12",28.5
"29","2007-02-13",28.9
"30","2007-02-14",28.9
"31","2007-02-15",28.9
"32","2007-02-16",28.9
"33","2007-02-20",28.5
"34","2007-02-21",28.48
"35","2007-02-22",28.48
"36","2007-02-23",28.48
"37","2007-02-26",28.48
"38","2007-02-27",27.5
"39","2007-02-28",26.9
"40","2007-03-01",27.68
"41","2007-03-02",27.780001
"42","2007-03-05",28.1
"43","2007-03-06",28.48
"44","2007-03-07",28.48
"45","2007-03-08",28.01
"46","2007-03-09",28.01
"47","2007-03-12",28.01
"48","2007-03-13",28.01
"49","2007-03-14",28.01
"50","2007-03-15",28.030001
"51","2007-03-16",28.030001
"52","2007-03-19",28.030001
"53","2007-03-20",28.549999
"54","2007-03-21",28.23
"55","2007-03-22",27.75
"56","2007-03-23",28.049999
"57","2007-03-26",28.75
"58","2007-03-27",28.75
"59","2007-03-28",28.719999
"60","2007-03-29",28.01
"61","2007-03-30",28.01
"62","2007-04-02",28.01
"63","2007-04-03",27.860001
"64","2007-04-04",27.860001
"65","2007-04-05",28.01
"66","2007-04-09",29
"67","2007-04-10",27.85
"68","2007-04-11",27.85
"69","2007-04-12",27.75
"70","2007-04-13",27.85
"71","2007-04-16",27.75
"72","2007-04-17",27.74
"73","2007-04-18",27.700001
"74","2007-04-19",27.65
"75","2007-04-20",27.75
"76","2007-04-23",27.950001
"77","2007-04-24",28.16
"78","2007-04-25",28.16
"79","2007-04-26",27.709999
"80","2007-04-27",27.709999
"81","2007-04-30",27.52
"82","2007-05-01",28.110001
"83","2007-05-02",28
"84","2007-05-03",27.799999
"85","2007-05-04",27.700001
"86","2007-05-07",27.59
"87","2007-05-08",27.5
"88","2007-05-09",27.5
"89","2007-05-10",27.549999
"90","2007-05-11",27.549999
"91","2007-05-14",27.76
"92","2007-05-15",27.26
