"","date","CLI"
"1","2007-01-03",50.380001
"2","2007-01-04",50.549999
"3","2007-01-05",50.25
"4","2007-01-08",50.040001
"5","2007-01-09",51
"6","2007-01-10",51.150002
"7","2007-01-11",51.790001
"8","2007-01-12",52
"9","2007-01-16",52.619999
"10","2007-01-17",52.630001
"11","2007-01-18",53.009998
"12","2007-01-19",53.509998
"13","2007-01-22",53.369999
"14","2007-01-23",53.759998
"15","2007-01-24",54.66
"16","2007-01-25",55.869999
"17","2007-01-26",56.009998
"18","2007-01-29",56.279999
"19","2007-01-30",55.970001
"20","2007-01-31",55.639999
"21","2007-02-01",55.93
"22","2007-02-02",54.68
"23","2007-02-05",55.099998
"24","2007-02-06",55.080002
"25","2007-02-07",55.279999
"26","2007-02-08",55.049999
"27","2007-02-09",54.25
"28","2007-02-12",53.279999
"29","2007-02-13",53.889999
"30","2007-02-14",53.560001
"31","2007-02-15",54.34
"32","2007-02-16",54.130001
"33","2007-02-20",54.48
"34","2007-02-21",54.060001
"35","2007-02-22",54.419998
"36","2007-02-23",53.099998
"37","2007-02-26",52.549999
"38","2007-02-27",51.369999
"39","2007-02-28",51.68
"40","2007-03-01",51.73
"41","2007-03-02",50.5
"42","2007-03-05",48.459999
"43","2007-03-06",49.73
"44","2007-03-07",48.610001
"45","2007-03-08",49.299999
"46","2007-03-09",49.93
"47","2007-03-12",50.18
"48","2007-03-13",48.68
"49","2007-03-14",48.830002
"50","2007-03-15",48.900002
"51","2007-03-16",48.389999
"52","2007-03-19",48.799999
"53","2007-03-20",48.669998
"54","2007-03-21",49.110001
"55","2007-03-22",49.349998
"56","2007-03-23",49.369999
"57","2007-03-26",48.34
"58","2007-03-27",47.799999
"59","2007-03-28",47.41
"60","2007-03-29",47.34
"61","2007-03-30",47.630001
"62","2007-04-02",47.389999
"63","2007-04-03",47.5
"64","2007-04-04",47.889999
"65","2007-04-05",47.779999
"66","2007-04-09",48.200001
"67","2007-04-10",48.52
"68","2007-04-11",48.02
"69","2007-04-12",47.740002
"70","2007-04-13",47.889999
"71","2007-04-16",48.040001
"72","2007-04-17",48.799999
"73","2007-04-18",48.630001
"74","2007-04-19",48.619999
"75","2007-04-20",49.099998
"76","2007-04-23",50.240002
"77","2007-04-24",50.049999
"78","2007-04-25",49.900002
"79","2007-04-26",50.029999
"80","2007-04-27",50.049999
"81","2007-04-30",48.970001
"82","2007-05-01",48.459999
"83","2007-05-02",48.400002
"84","2007-05-03",48.700001
"85","2007-05-04",47.48
"86","2007-05-07",47.720001
"87","2007-05-08",48.02
"88","2007-05-09",48.66
"89","2007-05-10",48.279999
"90","2007-05-11",48.700001
"91","2007-05-14",48.130001
"92","2007-05-15",47.25
"93","2007-05-16",46.869999
"94","2007-05-17",46.139999
"95","2007-05-18",45.41
"96","2007-05-21",45.869999
"97","2007-05-22",46.09
"98","2007-05-23",45.77
"99","2007-05-24",45.389999
"100","2007-05-25",45.630001
"101","2007-05-29",47.290001
"102","2007-05-30",48.18
"103","2007-05-31",48.290001
"104","2007-06-01",48.099998
"105","2007-06-04",48.299999
"106","2007-06-05",47.310001
"107","2007-06-06",46.869999
"108","2007-06-07",45.650002
"109","2007-06-08",45.759998
"110","2007-06-11",45.16
"111","2007-06-12",44.27
"112","2007-06-13",44.779999
"113","2007-06-14",44.220001
"114","2007-06-15",44.240002
"115","2007-06-18",43.889999
"116","2007-06-19",43.91
"117","2007-06-20",43.169998
"118","2007-06-21",43.310001
"119","2007-06-22",43.450001
"120","2007-06-25",43.080002
"121","2007-06-26",43.200001
"122","2007-06-27",44.349998
"123","2007-06-28",43.91
