"","date","NEOS"
"1","2015-07-23",19.540001
"2","2015-07-24",20.51
"3","2015-07-27",19.950001
"4","2015-07-28",19.34
"5","2015-07-29",20.120001
"6","2015-07-30",19.559999
"7","2015-07-31",20.01
"8","2015-08-03",21.17
"9","2015-08-04",20.030001
"10","2015-08-05",22.24
"11","2015-08-06",22.190001
"12","2015-08-07",22.57
"13","2015-08-10",22.110001
"14","2015-08-11",20.01
"15","2015-08-12",21.790001
"16","2015-08-13",20.66
"17","2015-08-14",20.629999
"18","2015-08-17",22.209999
"19","2015-08-18",22.389999
"20","2015-08-19",22.629999
"21","2015-08-20",23.309999
"22","2015-08-21",24.9
"23","2015-08-24",22.950001
"24","2015-08-25",23.860001
"25","2015-08-26",25.719999
"26","2015-08-27",26.59
"27","2015-08-28",27.09
"28","2015-08-31",26.780001
"29","2015-09-01",25.5
"30","2015-09-02",26.52
"31","2015-09-03",24.42
"32","2015-09-04",23.459999
"33","2015-09-08",23
"34","2015-09-09",21.059999
"35","2015-09-10",21.959999
"36","2015-09-11",23.299999
"37","2015-09-14",22.870001
"38","2015-09-15",23.1
"39","2015-09-16",22.9
"40","2015-09-17",22.57
"41","2015-09-18",21.379999
"42","2015-09-21",20.5
"43","2015-09-22",19.809999
"44","2015-09-23",19.35
"45","2015-09-24",19.34
"46","2015-09-25",19.209999
"47","2015-09-28",18.02
"48","2015-09-29",19.58
"49","2015-09-30",21.01
"50","2015-10-01",19.82
"51","2015-10-02",20.889999
"52","2015-10-05",21.17
"53","2015-10-06",19.549999
"54","2015-10-07",19.620001
"55","2015-10-08",19.26
"56","2015-10-09",18.690001
"57","2015-10-12",18.91
"58","2015-10-13",18.370001
"59","2015-10-14",18.66
"60","2015-10-15",19.049999
"61","2015-10-16",18.540001
"62","2015-10-19",18.59
"63","2015-10-20",12.47
"64","2015-10-21",12.43
"65","2015-10-22",12.12
"66","2015-10-23",12.35
"67","2015-10-26",12.81
"68","2015-10-27",13.15
"69","2015-10-28",13.84
"70","2015-10-29",14.04
"71","2015-10-30",14.16
"72","2015-11-02",14.53
"73","2015-11-03",14.3
"74","2015-11-04",13.93
"75","2015-11-05",13.78
"76","2015-11-06",13.64
"77","2015-11-09",13.11
"78","2015-11-10",12.83
"79","2015-11-11",14.28
"80","2015-11-12",14.81
"81","2015-11-13",14.42
"82","2015-11-16",13.96
"83","2015-11-17",13.7
"84","2015-11-18",15.05
"85","2015-11-19",15.01
"86","2015-11-20",15.63
"87","2015-11-23",16.41
"88","2015-11-24",15.97
"89","2015-11-25",16.190001
"90","2015-11-27",15.66
"91","2015-11-30",15.46
"92","2015-12-01",15.3
"93","2015-12-02",15.29
"94","2015-12-03",14.84
"95","2015-12-04",14.57
"96","2015-12-07",14.6
"97","2015-12-08",14.67
"98","2015-12-09",14.46
"99","2015-12-10",14.3
"100","2015-12-11",13.54
"101","2015-12-14",13.38
"102","2015-12-15",12.6
"103","2015-12-16",12.79
"104","2015-12-17",13.07
"105","2015-12-18",12.41
"106","2015-12-21",12.93
"107","2015-12-22",13.15
"108","2015-12-23",13.47
"109","2015-12-24",13.79
"110","2015-12-28",13.72
"111","2015-12-29",13.6
"112","2015-12-30",13.33
"113","2015-12-31",14.32
"114","2016-01-04",13.37
"115","2016-01-05",13.56
"116","2016-01-06",13.28
"117","2016-01-07",12.69
"118","2016-01-08",12.04
"119","2016-01-11",11.55
"120","2016-01-12",11.32
"121","2016-01-13",9.96
"122","2016-01-14",10.3
"123","2016-01-15",9.68
"124","2016-01-19",10.16
"125","2016-01-20",10.18
"126","2016-01-21",9.73
"127","2016-01-22",9.9
"128","2016-01-25",9.87
"129","2016-01-26",9.34
"130","2016-01-27",9.42
"131","2016-01-28",13.38
"132","2016-01-29",13.58
"133","2016-02-01",10.88
"134","2016-02-02",10.42
"135","2016-02-03",9.57
"136","2016-02-04",9.33
"137","2016-02-05",8.72
"138","2016-02-08",8.11
"139","2016-02-09",9.73
"140","2016-02-10",9.36
"141","2016-02-11",8.68
"142","2016-02-12",8.84
"143","2016-02-16",8.95
"144","2016-02-17",10.17
"145","2016-02-18",10.7
"146","2016-02-19",10.61
"147","2016-02-22",10.7
"148","2016-02-23",9.98
"149","2016-02-24",10.5
"150","2016-02-25",10.35
"151","2016-02-26",10.54
"152","2016-02-29",9.91
"153","2016-03-01",10.32
"154","2016-03-02",11.5
"155","2016-03-03",11.39
"156","2016-03-04",11.53
"157","2016-03-07",11.39
"158","2016-03-08",10.59
"159","2016-03-09",10.81
"160","2016-03-10",10.48
"161","2016-03-11",10.91
"162","2016-03-14",11.11
"163","2016-03-15",10.45
"164","2016-03-16",9.74
"165","2016-03-17",9.88
"166","2016-03-18",9.79
"167","2016-03-21",10.32
"168","2016-03-22",11.24
