"","date","NEPT"
"1","2007-08-13",4.34
"2","2007-08-14",4.05
"3","2007-08-15",3.6
"4","2007-08-16",2.95
"5","2007-08-17",3.29
"6","2007-08-20",3.35
"7","2007-08-21",3.35
"8","2007-08-22",3.35
"9","2007-08-23",3.64
"10","2007-08-24",3.6
"11","2007-08-27",3.45
"12","2007-08-28",3.28
"13","2007-08-29",3.55
"14","2007-08-30",3.28
"15","2007-08-31",3.43
"16","2007-09-04",3.68
"17","2007-09-05",3.7
"18","2007-09-06",4.25
"19","2007-09-07",4.36
"20","2007-09-10",4.45
"21","2007-09-11",4.94
"22","2007-09-12",4.9
"23","2007-09-13",4.7
"24","2007-09-14",4.85
"25","2007-09-17",4.85
"26","2007-09-18",4.95
"27","2007-09-19",5
"28","2007-09-20",4.72
"29","2007-09-21",4.75
"30","2007-09-24",4.33
"31","2007-09-25",3.99
"32","2007-09-26",4.42
"33","2007-09-27",4.95
"34","2007-09-28",5.05
"35","2007-10-01",4.9
"36","2007-10-02",4.75
"37","2007-10-03",4.65
"38","2007-10-04",4.6
"39","2007-10-05",4.61
"40","2007-10-08",4.61
"41","2007-10-09",4.9
"42","2007-10-10",4.81
"43","2007-10-11",4.75
"44","2007-10-12",4.76
"45","2007-10-15",4.7
"46","2007-10-16",4.5
"47","2007-10-17",4.3
"48","2007-10-18",4.3
"49","2007-10-19",4.21
"50","2007-10-22",4.3
"51","2007-10-23",4.25
"52","2007-10-24",4.14
"53","2007-10-25",4.25
"54","2007-10-26",4.27
"55","2007-10-29",4.2
"56","2007-10-30",4.2
"57","2007-10-31",4.2
"58","2007-11-01",4.15
"59","2007-11-02",4.15
"60","2007-11-05",4.26
"61","2007-11-06",4.35
"62","2007-11-07",4.35
"63","2007-11-08",4.25
"64","2007-11-09",4.17
"65","2007-11-12",4.03
"66","2007-11-13",4.03
"67","2007-11-14",4.03
"68","2007-11-15",4
"69","2007-11-16",4
"70","2007-11-19",3.93
"71","2007-11-20",3.75
"72","2007-11-21",3.55
"73","2007-11-23",4
"74","2007-11-26",4.2
"75","2007-11-27",4.04
"76","2007-11-28",4.4
"77","2007-11-29",4.82
"78","2007-11-30",4.76
"79","2007-12-03",4.7
"80","2007-12-04",4.51
