"","date","SINO"
"1","2008-05-21",69.900002
"2","2008-05-22",107.25
"3","2008-05-23",91.300003
"4","2008-05-27",83.949997
"5","2008-05-28",76.949997
"6","2008-05-29",76.349998
"7","2008-05-30",73.400002
"8","2008-06-02",73.150002
"9","2008-06-03",65.5
"10","2008-06-04",65
"11","2008-06-05",63.75
"12","2008-06-06",61.75
"13","2008-06-09",57
"14","2008-06-10",58.450001
"15","2008-06-11",53.900002
"16","2008-06-12",49.849998
"17","2008-06-13",53.099998
"18","2008-06-16",62
"19","2008-06-17",65.550003
"20","2008-06-18",60.599998
"21","2008-06-19",58.5
"22","2008-06-20",56.049999
"23","2008-06-23",51.400002
"24","2008-06-24",50
"25","2008-06-25",52.299999
"26","2008-06-26",48.150002
"27","2008-06-27",46.200001
"28","2008-06-30",44.25
"29","2008-07-01",40.5
"30","2008-07-02",37.299999
"31","2008-07-03",35.5
"32","2008-07-07",39
"33","2008-07-08",39.599998
"34","2008-07-09",40.849998
"35","2008-07-10",38.75
"36","2008-07-11",35.400002
"37","2008-07-14",34.349998
"38","2008-07-15",32.200001
"39","2008-07-16",35
"40","2008-07-17",36.349998
"41","2008-07-18",36.25
"42","2008-07-21",34.599998
"43","2008-07-22",37.450001
"44","2008-07-23",39.75
"45","2008-07-24",37.549999
"46","2008-07-25",33.950001
"47","2008-07-28",31.85
"48","2008-07-29",34.900002
"49","2008-07-30",33.849998
"50","2008-07-31",33.5
"51","2008-08-01",33.950001
"52","2008-08-04",33.25
"53","2008-08-05",32.75
"54","2008-08-06",33.450001
"55","2008-08-07",32.25
"56","2008-08-08",32.299999
"57","2008-08-11",30.950001
"58","2008-08-12",30.35
"59","2008-08-13",31.450001
"60","2008-08-14",34.400002
"61","2008-08-15",31.75
"62","2008-08-18",32
"63","2008-08-19",31.25
"64","2008-08-20",30.950001
"65","2008-08-21",29.25
"66","2008-08-22",29.299999
"67","2008-08-25",29.15
"68","2008-08-26",29.049999
"69","2008-08-27",30.049999
"70","2008-08-28",30.799999
"71","2008-08-29",29.75
"72","2008-09-02",30.799999
"73","2008-09-03",31.15
"74","2008-09-04",30
"75","2008-09-05",29.4
"76","2008-09-08",26.75
"77","2008-09-09",25
"78","2008-09-10",25.049999
"79","2008-09-11",25.049999
"80","2008-09-12",24.25
"81","2008-09-15",22.1
"82","2008-09-16",23.799999
"83","2008-09-17",24.5
"84","2008-09-18",24.9
"85","2008-09-19",25.9
"86","2008-09-22",23.549999
"87","2008-09-23",23.950001
"88","2008-09-24",24.65
"89","2008-09-25",24.700001
"90","2008-09-26",24.6
"91","2008-09-29",20.049999
"92","2008-09-30",21.75
"93","2008-10-01",19.450001
"94","2008-10-02",18.799999
