"","date","RGCO"
"1","2007-01-03",8.583333
"2","2007-01-04",8.663333
"3","2007-01-05",8.533334
"4","2007-01-08",8.616667
"5","2007-01-09",8.623333
"6","2007-01-10",8.51
"7","2007-01-11",8.4
"8","2007-01-12",8.41
"9","2007-01-16",8.283334
"10","2007-01-17",8.283334
"11","2007-01-18",8.53
"12","2007-01-19",8.393333
"13","2007-01-22",8.453333
"14","2007-01-23",8.39
"15","2007-01-24",8.293333
"16","2007-01-25",8.5
"17","2007-01-26",8.5
"18","2007-01-29",8.423333
"19","2007-01-30",8.41
"20","2007-01-31",8.41
"21","2007-02-01",8.576667
"22","2007-02-02",8.686666
"23","2007-02-05",8.793333
"24","2007-02-06",8.863334
"25","2007-02-07",8.926666
"26","2007-02-08",8.673333
"27","2007-02-09",8.673333
"28","2007-02-12",8.796667
"29","2007-02-13",8.68
"30","2007-02-14",8.71
"31","2007-02-15",8.71
"32","2007-02-16",8.833333
"33","2007-02-20",8.833333
"34","2007-02-21",8.933333
"35","2007-02-22",8.853333
"36","2007-02-23",8.806666
"37","2007-02-26",8.96
"38","2007-02-27",8.983334
"39","2007-02-28",8.806666
"40","2007-03-01",8.993333
"41","2007-03-02",8.993333
"42","2007-03-05",8.686666
"43","2007-03-06",8.78
"44","2007-03-07",8.94
"45","2007-03-08",8.723333
"46","2007-03-09",8.75
"47","2007-03-12",8.833333
"48","2007-03-13",8.833333
"49","2007-03-14",8.833333
"50","2007-03-15",8.833333
"51","2007-03-16",9.196667
"52","2007-03-19",9.196667
"53","2007-03-20",8.933333
"54","2007-03-21",9.153334
"55","2007-03-22",9.53
"56","2007-03-23",9.166667
"57","2007-03-26",9.326667
"58","2007-03-27",9.296667
"59","2007-03-28",9.296667
"60","2007-03-29",9.566667
"61","2007-03-30",9.45
"62","2007-04-02",9.333333
"63","2007-04-03",9.57
"64","2007-04-04",9.333333
"65","2007-04-05",9.336667
"66","2007-04-09",9.133333
"67","2007-04-10",9.133333
"68","2007-04-11",9.193334
"69","2007-04-12",9.333333
"70","2007-04-13",9.253333
"71","2007-04-16",9.283334
"72","2007-04-17",9.333333
"73","2007-04-18",9.333333
"74","2007-04-19",9.333333
"75","2007-04-20",9.35
"76","2007-04-23",9.25
"77","2007-04-24",9.166667
"78","2007-04-25",9.193334
"79","2007-04-26",9.333333
"80","2007-04-27",9.333333
"81","2007-04-30",9.333333
"82","2007-05-01",9.336667
"83","2007-05-02",9.36
"84","2007-05-03",9.373333
"85","2007-05-04",9.67
"86","2007-05-07",9.566667
"87","2007-05-08",9.336667
"88","2007-05-09",9.37
"89","2007-05-10",9.186666
"90","2007-05-11",9.586667
"91","2007-05-14",9.473333
"92","2007-05-15",9.483334
"93","2007-05-16",9.483334
"94","2007-05-17",9.48
"95","2007-05-18",9.356667
"96","2007-05-21",9.3
"97","2007-05-22",9.536667
"98","2007-05-23",9.573334
"99","2007-05-24",9.573334
"100","2007-05-25",9.55
"101","2007-05-29",9.233334
"102","2007-05-30",9.123333
"103","2007-05-31",9.116667
"104","2007-06-01",9.033334
"105","2007-06-04",9.116667
"106","2007-06-05",9.106667
"107","2007-06-06",9.326667
"108","2007-06-07",9.353333
"109","2007-06-08",9.38
"110","2007-06-11",9.366667
"111","2007-06-12",9.366667
"112","2007-06-13",9.366667
"113","2007-06-14",9.613334
"114","2007-06-15",9.63
"115","2007-06-18",9.506667
"116","2007-06-19",9.436666
"117","2007-06-20",9.28
"118","2007-06-21",9.2
"119","2007-06-22",9.266666
"120","2007-06-25",9.166667
"121","2007-06-26",9.266666
"122","2007-06-27",9.266666
"123","2007-06-28",9.273334
"124","2007-06-29",9.273334
"125","2007-07-02",9.273334
"126","2007-07-03",9.49
"127","2007-07-05",9.533334
"128","2007-07-06",9.263333
"129","2007-07-09",9.383333
"130","2007-07-10",9.56
"131","2007-07-11",9.56
"132","2007-07-12",9.55
"133","2007-07-13",9.166667
"134","2007-07-16",9.166667
"135","2007-07-17",9.416667
"136","2007-07-18",9.416667
"137","2007-07-19",9.136666
"138","2007-07-20",9.233334
"139","2007-07-23",9.233334
"140","2007-07-24",9.133333
"141","2007-07-25",9.133333
"142","2007-07-26",9.31
"143","2007-07-27",9.136666
"144","2007-07-30",9.12
"145","2007-07-31",9.266666
"146","2007-08-01",9.3
"147","2007-08-02",9.066667
"148","2007-08-03",9.063334
"149","2007-08-06",8.986667
"150","2007-08-07",8.983334
"151","2007-08-08",8.996667
"152","2007-08-09",9.166667
"153","2007-08-10",9.193334
"154","2007-08-13",9.313334
"155","2007-08-14",9.2
"156","2007-08-15",9.193334
"157","2007-08-16",9.106667
"158","2007-08-17",8.933333
"159","2007-08-20",9.566667
"160","2007-08-21",8.936666
"161","2007-08-22",9.216666
"162","2007-08-23",9.013333
"163","2007-08-24",9.013333
"164","2007-08-27",9.013333
"165","2007-08-28",9.04
