"","date","FNKO"
"1","2017-11-02",7.07
"2","2017-11-03",7
"3","2017-11-06",7.75
"4","2017-11-07",8.2
"5","2017-11-08",8.1
"6","2017-11-09",8
"7","2017-11-10",7.89
"8","2017-11-13",7.95
"9","2017-11-14",7.8
"10","2017-11-15",7.55
"11","2017-11-16",7.64
"12","2017-11-17",7.41
"13","2017-11-20",7.57
"14","2017-11-21",7.84
"15","2017-11-22",8.12
"16","2017-11-24",8.2
"17","2017-11-27",8.45
"18","2017-11-28",8.4
"19","2017-11-29",8.67
"20","2017-11-30",8.88
"21","2017-12-01",9.41
"22","2017-12-04",9.71
"23","2017-12-05",9.3
"24","2017-12-06",8.67
"25","2017-12-07",8.25
"26","2017-12-08",8.04
"27","2017-12-11",8.06
"28","2017-12-12",8.04
"29","2017-12-13",7.89
"30","2017-12-14",7.74
"31","2017-12-15",7.25
"32","2017-12-18",7.14
"33","2017-12-19",6.35
"34","2017-12-20",6.36
"35","2017-12-21",6
"36","2017-12-22",6
"37","2017-12-26",6.21
"38","2017-12-27",6.51
"39","2017-12-28",6.54
"40","2017-12-29",6.65
"41","2018-01-02",6.59
"42","2018-01-03",6.42
"43","2018-01-04",6.34
"44","2018-01-05",6.12
"45","2018-01-08",6.15
"46","2018-01-09",6.16
"47","2018-01-10",6.69
"48","2018-01-11",7.12
"49","2018-01-12",7.3
"50","2018-01-16",6.95
"51","2018-01-17",7.24
"52","2018-01-18",7.08
"53","2018-01-19",7.07
"54","2018-01-22",7.09
"55","2018-01-23",7.2
"56","2018-01-24",7.1
"57","2018-01-25",7.25
"58","2018-01-26",7.31
"59","2018-01-29",7.37
"60","2018-01-30",7.46
"61","2018-01-31",7.37
"62","2018-02-01",7.47
"63","2018-02-02",7.41
"64","2018-02-05",7.36
"65","2018-02-06",7.26
"66","2018-02-07",7.32
"67","2018-02-08",7.24
"68","2018-02-09",7.32
"69","2018-02-12",7.23
"70","2018-02-13",7.08
"71","2018-02-14",7.07
"72","2018-02-15",7.2
"73","2018-02-16",7.15
"74","2018-02-20",7.2
"75","2018-02-21",7.36
"76","2018-02-22",7.25
"77","2018-02-23",7.31
"78","2018-02-26",7.44
"79","2018-02-27",7.64
"80","2018-02-28",7.38
"81","2018-03-01",7.45
"82","2018-03-02",7.69
"83","2018-03-05",7.94
"84","2018-03-06",7.88
"85","2018-03-07",7.87
"86","2018-03-08",7.94
"87","2018-03-09",8.43
"88","2018-03-12",8.87
"89","2018-03-13",8.89
"90","2018-03-14",8.75
"91","2018-03-15",8.55
"92","2018-03-16",8.48
"93","2018-03-19",8.39
"94","2018-03-20",8.26
"95","2018-03-21",8.19
"96","2018-03-22",8.05
"97","2018-03-23",7.78
"98","2018-03-26",7.58
"99","2018-03-27",8.02
"100","2018-03-28",8.21
"101","2018-03-29",8.21
"102","2018-04-02",8.09
"103","2018-04-03",8.25
"104","2018-04-04",8.28
"105","2018-04-05",8.22
"106","2018-04-06",8.14
"107","2018-04-09",8.25
"108","2018-04-10",8.36
"109","2018-04-11",8.24
"110","2018-04-12",8.16
"111","2018-04-13",8.12
"112","2018-04-16",8.16
"113","2018-04-17",8.11
"114","2018-04-18",8.18
"115","2018-04-19",8.25
"116","2018-04-20",8.27
"117","2018-04-23",8.49
"118","2018-04-24",8.72
"119","2018-04-25",8.75
