"","date","CCAC"
"1","2020-04-23",9.75
"2","2020-04-24",9.75
"3","2020-04-27",9.75
"4","2020-04-28",9.75
"5","2020-04-29",9.75
"6","2020-04-30",9.75
"7","2020-05-01",9.75
"8","2020-05-04",9.75
"9","2020-05-05",9.75
"10","2020-05-06",9.75
"11","2020-05-07",9.75
"12","2020-05-08",9.75
"13","2020-05-11",9.75
"14","2020-05-12",9.75
"15","2020-05-13",9.75
"16","2020-05-14",9.75
"17","2020-05-15",9.75
"18","2020-05-18",9.65
"19","2020-05-19",9.75
"20","2020-05-20",9.7
"21","2020-05-21",9.65
"22","2020-05-22",9.51
"23","2020-05-26",9.65
"24","2020-05-27",9.65
"25","2020-05-28",9.65
"26","2020-05-29",9.65
"27","2020-06-01",9.65
"28","2020-06-02",9.65
"29","2020-06-03",9.65
"30","2020-06-04",9.65
"31","2020-06-05",9.65
"32","2020-06-08",9.65
"33","2020-06-09",9.65
"34","2020-06-10",9.65
"35","2020-06-11",9.865
"36","2020-06-12",10.08
"37","2020-06-15",10.08
"38","2020-06-16",9.8
"39","2020-06-17",9.8
"40","2020-06-18",9.8
"41","2020-06-19",9.8
"42","2020-06-22",9.92
"43","2020-06-23",9.85
"44","2020-06-24",9.85
"45","2020-06-25",9.85
"46","2020-06-26",9.85
"47","2020-06-29",9.65
"48","2020-06-30",9.82
"49","2020-07-01",9.82
"50","2020-07-02",9.97
"51","2020-07-06",9.85
"52","2020-07-07",9.85
"53","2020-07-08",9.86
"54","2020-07-09",9.87
"55","2020-07-10",9.9
"56","2020-07-13",9.95
"57","2020-07-14",10
"58","2020-07-15",10
"59","2020-07-16",10
"60","2020-07-17",9.95
"61","2020-07-20",9.92
"62","2020-07-21",9.96
"63","2020-07-22",9.94
"64","2020-07-23",9.94
"65","2020-07-24",9.92
"66","2020-07-27",9.85
"67","2020-07-28",9.92
"68","2020-07-29",9.85
"69","2020-07-30",9.85
"70","2020-07-31",9.88
"71","2020-08-03",9.83
"72","2020-08-04",9.83
"73","2020-08-05",9.83
"74","2020-08-06",9.86
"75","2020-08-07",9.82
"76","2020-08-10",9.82
"77","2020-08-11",9.84
"78","2020-08-12",9.79
"79","2020-08-13",9.79
"80","2020-08-14",9.79
"81","2020-08-17",9.7
"82","2020-08-18",9.77
"83","2020-08-19",9.73
"84","2020-08-20",9.77
"85","2020-08-21",9.75
"86","2020-08-24",9.77
"87","2020-08-25",9.77
"88","2020-08-26",9.75
"89","2020-08-27",9.86
"90","2020-08-28",9.78
"91","2020-08-31",9.78
"92","2020-09-01",9.8
"93","2020-09-02",9.86
"94","2020-09-03",9.77
"95","2020-09-04",9.84
"96","2020-09-08",9.83
"97","2020-09-09",9.908
"98","2020-09-10",9.93
"99","2020-09-11",9.93
"100","2020-09-14",9.99
"101","2020-09-15",9.99
"102","2020-09-16",9.97
"103","2020-09-17",9.95
"104","2020-09-18",9.99
"105","2020-09-21",9.9
"106","2020-09-22",9.85
"107","2020-09-23",9.82
"108","2020-09-24",9.8
"109","2020-09-25",9.77
"110","2020-09-28",9.85
"111","2020-09-29",9.85
"112","2020-09-30",9.83
"113","2020-10-01",9.82
"114","2020-10-02",9.84
"115","2020-10-05",9.8
"116","2020-10-06",9.843
"117","2020-10-07",9.8
"118","2020-10-08",9.79
"119","2020-10-09",9.79
"120","2020-10-12",9.71
"121","2020-10-13",9.8
"122","2020-10-14",9.77
"123","2020-10-15",9.73
"124","2020-10-16",9.8
"125","2020-10-19",9.78
"126","2020-10-20",9.78
"127","2020-10-21",9.79
"128","2020-10-22",9.78
"129","2020-10-23",9.78
"130","2020-10-26",9.77
"131","2020-10-27",9.71
"132","2020-10-28",9.71
"133","2020-10-29",9.72
"134","2020-10-30",9.8
"135","2020-11-02",9.75
"136","2020-11-03",9.81
"137","2020-11-04",9.8
"138","2020-11-05",9.8
"139","2020-11-06",9.8
"140","2020-11-09",9.78
"141","2020-11-10",9.78
"142","2020-11-11",9.78
"143","2020-11-12",9.76
"144","2020-11-13",9.78
"145","2020-11-16",9.78
"146","2020-11-17",9.79
"147","2020-11-18",9.77
"148","2020-11-19",9.8
"149","2020-11-20",10.07
"150","2020-11-23",10.15
"151","2020-11-24",10.25
"152","2020-11-25",10.39
"153","2020-11-27",10.42
