"","date","SREV"
"1","2011-03-25",12.18
"2","2011-03-28",11.53
"3","2011-03-29",11.83
"4","2011-03-30",12.43
"5","2011-03-31",12.18
"6","2011-04-01",12.11
"7","2011-04-04",12.4
"8","2011-04-05",12.94
"9","2011-04-06",12.84
"10","2011-04-07",12.87
"11","2011-04-08",12.78
"12","2011-04-11",12.55
"13","2011-04-12",12.43
"14","2011-04-13",12.46
"15","2011-04-14",12.49
"16","2011-04-15",12.34
"17","2011-04-18",12.19
"18","2011-04-19",11.88
"19","2011-04-20",11.77
"20","2011-04-21",11.75
"21","2011-04-25",11.89
"22","2011-04-26",12.07
"23","2011-04-27",12.27
"24","2011-04-28",12.63
"25","2011-04-29",12.5
"26","2011-05-02",12.72
"27","2011-05-03",12.9
"28","2011-05-04",14.11
"29","2011-05-05",13.96
"30","2011-05-06",14.55
"31","2011-05-09",14.91
"32","2011-05-10",19.26
"33","2011-05-11",18.059999
"34","2011-05-12",17.639999
"35","2011-05-13",17.92
"36","2011-05-16",17.530001
"37","2011-05-17",18.59
"38","2011-05-18",19.25
"39","2011-05-19",19.68
"40","2011-05-20",19.969999
"41","2011-05-23",20.09
"42","2011-05-24",19.879999
"43","2011-05-25",18.84
"44","2011-05-26",18.84
"45","2011-05-27",19.219999
"46","2011-05-31",19.450001
"47","2011-06-01",19.08
"48","2011-06-02",18.879999
"49","2011-06-03",18.76
"50","2011-06-06",18.65
"51","2011-06-07",19.27
"52","2011-06-08",19.030001
"53","2011-06-09",18.950001
"54","2011-06-10",18.67
"55","2011-06-13",18.76
"56","2011-06-14",19.309999
"57","2011-06-15",18.85
"58","2011-06-16",18.58
"59","2011-06-17",18.5
"60","2011-06-20",18.629999
"61","2011-06-21",18.18
"62","2011-06-22",18.889999
"63","2011-06-23",20.030001
"64","2011-06-24",20.360001
"65","2011-06-27",20.17
"66","2011-06-28",20.940001
"67","2011-06-29",21.73
"68","2011-06-30",22.219999
"69","2011-07-01",21.42
"70","2011-07-05",22.030001
"71","2011-07-06",21.889999
"72","2011-07-07",22.290001
"73","2011-07-08",21.99
"74","2011-07-11",21.09
"75","2011-07-12",20.209999
"76","2011-07-13",20.110001
"77","2011-07-14",19.91
"78","2011-07-15",20.379999
"79","2011-07-18",19.15
"80","2011-07-19",18.870001
"81","2011-07-20",18.1
"82","2011-07-21",18.35
"83","2011-07-22",18.530001
"84","2011-07-25",17
"85","2011-07-26",16.950001
"86","2011-07-27",16.799999
"87","2011-07-28",17.620001
"88","2011-07-29",18.67
"89","2011-08-01",18.959999
"90","2011-08-02",18.389999
"91","2011-08-03",18.1
"92","2011-08-04",17.85
"93","2011-08-05",17.799999
"94","2011-08-08",16.559999
"95","2011-08-09",16.34
"96","2011-08-10",14.85
"97","2011-08-11",15.84
"98","2011-08-12",16.77
"99","2011-08-15",17.290001
"100","2011-08-16",17.17
"101","2011-08-17",17.25
"102","2011-08-18",14.78
"103","2011-08-19",14.78
"104","2011-08-22",14.64
"105","2011-08-23",15.18
"106","2011-08-24",15.42
"107","2011-08-25",15.45
"108","2011-08-26",15.8
"109","2011-08-29",16.57
"110","2011-08-30",17.91
"111","2011-08-31",18.07
"112","2011-09-01",17.98
"113","2011-09-02",18.120001
"114","2011-09-06",17.32
"115","2011-09-07",17.6
"116","2011-09-08",17.309999
"117","2011-09-09",16.129999
"118","2011-09-12",16.139999
"119","2011-09-13",17.129999
"120","2011-09-14",16.84
"121","2011-09-15",15.72
"122","2011-09-16",15.32
"123","2011-09-19",14.3
"124","2011-09-20",14.02
"125","2011-09-21",12.8
"126","2011-09-22",13.09
"127","2011-09-23",13.8
"128","2011-09-26",13.13
"129","2011-09-27",13.49
"130","2011-09-28",13.55
"131","2011-09-29",13.59
"132","2011-09-30",13.21
"133","2011-10-03",12.95
"134","2011-10-04",12.86
"135","2011-10-05",12.9
"136","2011-10-06",13.35
"137","2011-10-07",14.57
"138","2011-10-10",14.95
"139","2011-10-11",14.79
"140","2011-10-12",14.44
"141","2011-10-13",14.29
"142","2011-10-14",14.39
"143","2011-10-17",13.91
"144","2011-10-18",13.76
"145","2011-10-19",12.45
"146","2011-10-20",12.08
"147","2011-10-21",12.19
"148","2011-10-24",13.03
"149","2011-10-25",12.79
"150","2011-10-26",12.3
"151","2011-10-27",13.33
"152","2011-10-28",13.5
"153","2011-10-31",13.31
"154","2011-11-01",13
"155","2011-11-02",12.59
"156","2011-11-03",12.51
"157","2011-11-04",12.65
"158","2011-11-07",12.84
"159","2011-11-08",13.5
"160","2011-11-09",12.95
"161","2011-11-10",12.87
"162","2011-11-11",14.6
"163","2011-11-14",14.51
"164","2011-11-15",14.23
"165","2011-11-16",14.68
"166","2011-11-17",14.21
"167","2011-11-18",14.24
"168","2011-11-21",13.44
"169","2011-11-22",13.26
"170","2011-11-23",12.99
"171","2011-11-25",12.83
"172","2011-11-28",12.84
"173","2011-11-29",12.79
"174","2011-11-30",13.34
"175","2011-12-01",13.54
"176","2011-12-02",14
"177","2011-12-05",14.48
"178","2011-12-06",14.85
"179","2011-12-07",14.67
"180","2011-12-08",14.5
"181","2011-12-09",14.36
"182","2011-12-12",14.43
"183","2011-12-13",14.33
"184","2011-12-14",13.85
"185","2011-12-15",13.89
"186","2011-12-16",14.7
"187","2011-12-19",14.64
"188","2011-12-20",15.35
"189","2011-12-21",15.04
"190","2011-12-22",15.12
"191","2011-12-23",15.31
"192","2011-12-27",15.55
"193","2011-12-28",15.7
"194","2011-12-29",15.84
"195","2011-12-30",15.69
"196","2012-01-03",16.030001
"197","2012-01-04",15.5
"198","2012-01-05",14.98
"199","2012-01-06",15.18
"200","2012-01-09",15.58
"201","2012-01-10",15.6
"202","2012-01-11",15.96
"203","2012-01-12",16.459999
"204","2012-01-13",16.5
"205","2012-01-17",16.559999
"206","2012-01-18",16.52
"207","2012-01-19",16.76
"208","2012-01-20",16.469999
"209","2012-01-23",16.48
"210","2012-01-24",17.18
"211","2012-01-25",17.33
"212","2012-01-26",17.440001
"213","2012-01-27",17.280001
"214","2012-01-30",16.35
"215","2012-01-31",16.92
"216","2012-02-01",17.059999
"217","2012-02-02",17.190001
"218","2012-02-03",17.6
"219","2012-02-06",17.709999
"220","2012-02-07",17.360001
"221","2012-02-08",16.99
"222","2012-02-09",16.299999
"223","2012-02-10",16.639999
"224","2012-02-13",16.92
"225","2012-02-14",16.48
"226","2012-02-15",16
"227","2012-02-16",16.139999
"228","2012-02-17",16.58
"229","2012-02-21",16.35
"230","2012-02-22",16.01
"231","2012-02-23",16.299999
"232","2012-02-24",16.34
"233","2012-02-27",16.98
"234","2012-02-28",17.059999
"235","2012-02-29",16.799999
"236","2012-03-01",16.75
"237","2012-03-02",16.41
"238","2012-03-05",16.58
"239","2012-03-06",16.040001
"240","2012-03-07",15.85
"241","2012-03-08",16.309999
"242","2012-03-09",16.75
"243","2012-03-12",16.459999
"244","2012-03-13",16.59
"245","2012-03-14",16.27
"246","2012-03-15",16
"247","2012-03-16",15.95
"248","2012-03-19",16.33
"249","2012-03-20",15.79
"250","2012-03-21",16.059999
"251","2012-03-22",15.6
"252","2012-03-23",15.42
"253","2012-03-26",15.83
"254","2012-03-27",15.76
"255","2012-03-28",15.43
"256","2012-03-29",15.5
"257","2012-03-30",15.48
"258","2012-04-02",15.78
"259","2012-04-03",15.58
"260","2012-04-04",15.35
"261","2012-04-05",15.57
"262","2012-04-09",15.4
"263","2012-04-10",15.01
"264","2012-04-11",15.3
"265","2012-04-12",15.84
"266","2012-04-13",15.74
"267","2012-04-16",15.69
"268","2012-04-17",15.85
"269","2012-04-18",15.34
"270","2012-04-19",15.2
"271","2012-04-20",15.38
"272","2012-04-23",15.43
"273","2012-04-24",15.32
"274","2012-04-25",16.09
"275","2012-04-26",16.48
"276","2012-04-27",16.700001
"277","2012-04-30",16.58
"278","2012-05-01",13.75
"279","2012-05-02",13.46
"280","2012-05-03",13.28
"281","2012-05-04",13.06
"282","2012-05-07",12.97
"283","2012-05-08",12.57
"284","2012-05-09",12.95
