"","date","CDTX"
"1","2015-04-15",16
"2","2015-04-16",15.2
"3","2015-04-17",15.14
"4","2015-04-20",15.29
"5","2015-04-21",15.05
"6","2015-04-22",14.94
"7","2015-04-23",15.15
"8","2015-04-24",15.1
"9","2015-04-27",14.9
"10","2015-04-28",14.79
"11","2015-04-29",14.28
"12","2015-04-30",14.62
"13","2015-05-01",13.92
"14","2015-05-04",14.75
"15","2015-05-05",14.38
"16","2015-05-06",14.29
"17","2015-05-07",14.36
"18","2015-05-08",14.94
"19","2015-05-11",15
"20","2015-05-12",15.04
"21","2015-05-13",15.75
"22","2015-05-14",16.049999
"23","2015-05-15",16.32
"24","2015-05-18",16.690001
"25","2015-05-19",16.25
"26","2015-05-20",16.35
"27","2015-05-21",16.52
"28","2015-05-22",15.59
"29","2015-05-26",16.32
"30","2015-05-27",15.75
"31","2015-05-28",15.67
"32","2015-05-29",15.69
"33","2015-06-01",16.23
"34","2015-06-02",16.67
"35","2015-06-03",16.59
"36","2015-06-04",16.26
"37","2015-06-05",16.5
"38","2015-06-08",16.24
"39","2015-06-09",15.91
"40","2015-06-10",15.74
"41","2015-06-11",15.97
"42","2015-06-12",15.84
"43","2015-06-15",15.62
"44","2015-06-16",15.66
"45","2015-06-17",15.51
"46","2015-06-18",15.95
"47","2015-06-19",15.2
"48","2015-06-22",15.18
"49","2015-06-23",15.07
"50","2015-06-24",14.39
"51","2015-06-25",13.96
"52","2015-06-26",13.85
"53","2015-06-29",14.01
"54","2015-06-30",14.02
"55","2015-07-01",14.66
"56","2015-07-02",14.65
"57","2015-07-06",15.19
"58","2015-07-07",14.95
"59","2015-07-08",14.43
"60","2015-07-09",14
"61","2015-07-10",14.43
"62","2015-07-13",14.44
"63","2015-07-14",14.64
"64","2015-07-15",14.69
"65","2015-07-16",14.88
"66","2015-07-17",14.67
"67","2015-07-20",14.94
"68","2015-07-21",14.73
"69","2015-07-22",14.79
"70","2015-07-23",14.57
"71","2015-07-24",14.64
"72","2015-07-27",14.2
"73","2015-07-28",13.96
"74","2015-07-29",13.84
"75","2015-07-30",13.56
"76","2015-07-31",13.98
"77","2015-08-03",14.52
"78","2015-08-04",14.3
"79","2015-08-05",14.28
"80","2015-08-06",14.25
"81","2015-08-07",13.81
"82","2015-08-10",13.94
"83","2015-08-11",13.69
"84","2015-08-12",13.6
"85","2015-08-13",14.29
"86","2015-08-14",14.5
"87","2015-08-17",14.74
"88","2015-08-18",14.28
"89","2015-08-19",13.98
"90","2015-08-20",14.09
"91","2015-08-21",14.04
"92","2015-08-24",13.93
"93","2015-08-25",14.05
"94","2015-08-26",14.26
"95","2015-08-27",14.44
"96","2015-08-28",14.67
"97","2015-08-31",14.23
"98","2015-09-01",14.2
"99","2015-09-02",14.2
"100","2015-09-03",14.06
"101","2015-09-04",14.16
"102","2015-09-08",15.04
"103","2015-09-09",14.96
"104","2015-09-10",15.02
"105","2015-09-11",15.47
"106","2015-09-14",15.1
"107","2015-09-15",15.07
"108","2015-09-16",14.55
"109","2015-09-17",14.15
"110","2015-09-18",14.37
"111","2015-09-21",14.36
"112","2015-09-22",14.16
"113","2015-09-23",14.06
"114","2015-09-24",14.04
"115","2015-09-25",13.5
"116","2015-09-28",12.45
"117","2015-09-29",12.43
"118","2015-09-30",12.72
"119","2015-10-01",12.75
"120","2015-10-02",12.94
"121","2015-10-05",13.28
"122","2015-10-06",13.27
"123","2015-10-07",13.16
"124","2015-10-08",12.99
"125","2015-10-09",13.12
"126","2015-10-12",13.5
"127","2015-10-13",14.18
"128","2015-10-14",14.45
"129","2015-10-15",15.02
"130","2015-10-16",15.04
"131","2015-10-19",14.87
"132","2015-10-20",14.89
"133","2015-10-21",14.83
"134","2015-10-22",14.5
"135","2015-10-23",14.68
"136","2015-10-26",14.64
"137","2015-10-27",13.86
"138","2015-10-28",13.99
"139","2015-10-29",14.04
"140","2015-10-30",13.62
"141","2015-11-02",14.48
"142","2015-11-03",14.49
"143","2015-11-04",14.53
"144","2015-11-05",14.68
"145","2015-11-06",14.96
"146","2015-11-09",14.83
"147","2015-11-10",14.7
"148","2015-11-11",14.78
"149","2015-11-12",14.32
"150","2015-11-13",13.89
"151","2015-11-16",13.77
"152","2015-11-17",13.04
"153","2015-11-18",13.89
"154","2015-11-19",13.91
"155","2015-11-20",13.82
"156","2015-11-23",14.59
"157","2015-11-24",15.01
"158","2015-11-25",15.52
"159","2015-11-27",15.6
"160","2015-11-30",15.42
"161","2015-12-01",15.5
"162","2015-12-02",16.120001
"163","2015-12-03",16.370001
