"","date","GSL"
"1","2008-08-15",61.119999
"2","2008-08-18",58.720001
"3","2008-08-19",58.799999
"4","2008-08-20",58.880001
"5","2008-08-21",58.32
"6","2008-08-22",59.360001
"7","2008-08-25",57.599998
"8","2008-08-26",57.200001
"9","2008-08-27",56.799999
"10","2008-08-28",56.720001
"11","2008-08-29",56.959999
"12","2008-09-02",57.200001
"13","2008-09-03",58
"14","2008-09-04",57.919998
"15","2008-09-05",57.84
"16","2008-09-08",57.68
"17","2008-09-09",56.240002
"18","2008-09-10",55.52
"19","2008-09-11",55.439999
"20","2008-09-12",55.84
"21","2008-09-15",55.360001
"22","2008-09-16",55.439999
"23","2008-09-17",54
"24","2008-09-18",55.439999
"25","2008-09-19",55.360001
"26","2008-09-22",53.200001
"27","2008-09-23",51.84
"28","2008-09-24",50.720001
"29","2008-09-25",51.599998
"30","2008-09-26",50.639999
"31","2008-09-29",51.759998
"32","2008-09-30",50.959999
"33","2008-10-01",50.400002
"34","2008-10-02",48.639999
"35","2008-10-03",47.200001
"36","2008-10-06",39.200001
"37","2008-10-07",36.400002
"38","2008-10-08",31.280001
"39","2008-10-09",32.959999
"40","2008-10-10",29.52
"41","2008-10-13",32.48
"42","2008-10-14",33.52
"43","2008-10-15",31.280001
"44","2008-10-16",30.4
"45","2008-10-17",29.68
"46","2008-10-20",30.4
"47","2008-10-21",31.92
"48","2008-10-22",31.6
"49","2008-10-23",29.6
"50","2008-10-24",26.879999
"51","2008-10-27",25.68
"52","2008-10-28",25.360001
"53","2008-10-29",23.200001
"54","2008-10-30",24
"55","2008-10-31",24.639999
"56","2008-11-03",24.16
"57","2008-11-04",26.879999
"58","2008-11-05",27.040001
"59","2008-11-06",26.24
"60","2008-11-07",26.48
"61","2008-11-10",26.959999
"62","2008-11-11",24.559999
"63","2008-11-12",22.4
"64","2008-11-13",24.879999
"65","2008-11-14",24
"66","2008-11-17",24.4
"67","2008-11-18",24.4
"68","2008-11-19",21.76
"69","2008-11-20",20.879999
"70","2008-11-21",19.84
"71","2008-11-24",20.559999
"72","2008-11-25",20.48
"73","2008-11-26",20.4
"74","2008-11-28",21.280001
"75","2008-12-01",21.200001
"76","2008-12-02",20.879999
"77","2008-12-03",20.24
"78","2008-12-04",20
"79","2008-12-05",19.200001
"80","2008-12-08",20
"81","2008-12-09",22.4
"82","2008-12-10",25.440001
"83","2008-12-11",25.200001
"84","2008-12-12",25.280001
"85","2008-12-15",23.040001
"86","2008-12-16",22.32
"87","2008-12-17",23.120001
"88","2008-12-18",20.959999
"89","2008-12-19",20
"90","2008-12-22",20
"91","2008-12-23",19.52
"92","2008-12-24",19.92
"93","2008-12-26",19.200001
"94","2008-12-29",18.879999
"95","2008-12-30",18.719999
"96","2008-12-31",22.879999
"97","2009-01-02",28
"98","2009-01-05",25.76
"99","2009-01-06",27.76
"100","2009-01-07",28.16
"101","2009-01-08",28.799999
"102","2009-01-09",27.92
"103","2009-01-12",25.360001
"104","2009-01-13",26.24
"105","2009-01-14",25.360001
"106","2009-01-15",26.16
"107","2009-01-16",26.639999
"108","2009-01-20",24.879999
"109","2009-01-21",24.959999
"110","2009-01-22",24.959999
"111","2009-01-23",25.52
"112","2009-01-26",27.52
"113","2009-01-27",27.92
"114","2009-01-28",28.08
"115","2009-01-29",27.280001
"116","2009-01-30",27.200001
"117","2009-02-02",27.040001
"118","2009-02-03",27.200001
"119","2009-02-04",27.6
"120","2009-02-05",27.52
"121","2009-02-06",28
"122","2009-02-09",28
"123","2009-02-10",27.280001
"124","2009-02-11",28.4
"125","2009-02-12",27.6
"126","2009-02-13",27.84
"127","2009-02-17",26.08
"128","2009-02-18",22.879999
"129","2009-02-19",20
"130","2009-02-20",17.280001
"131","2009-02-23",17.68
"132","2009-02-24",18.799999
"133","2009-02-25",18
"134","2009-02-26",17.76
"135","2009-02-27",17.040001
"136","2009-03-02",14.72
"137","2009-03-03",16.719999
"138","2009-03-04",16.959999
"139","2009-03-05",15.68
"140","2009-03-06",16
"141","2009-03-09",16.16
"142","2009-03-10",16.639999
"143","2009-03-11",16.799999
"144","2009-03-12",18.32
"145","2009-03-13",19.76
"146","2009-03-16",21.6
"147","2009-03-17",20.799999
"148","2009-03-18",20.4
"149","2009-03-19",20
"150","2009-03-20",17.84
"151","2009-03-23",18.799999
"152","2009-03-24",18.4
"153","2009-03-25",18.32
"154","2009-03-26",18.879999
"155","2009-03-27",18.16
"156","2009-03-30",16.799999
"157","2009-03-31",16.16
"158","2009-04-01",16.08
"159","2009-04-02",16.719999
"160","2009-04-03",16.879999
"161","2009-04-06",16.4
"162","2009-04-07",16.16
"163","2009-04-08",16.799999
"164","2009-04-09",17.120001
"165","2009-04-13",17.68
"166","2009-04-14",17.360001
"167","2009-04-15",17.280001
"168","2009-04-16",17.200001
"169","2009-04-17",17.440001
"170","2009-04-20",16.959999
"171","2009-04-21",17.280001
"172","2009-04-22",18.16
"173","2009-04-23",18.4
"174","2009-04-24",18.799999
"175","2009-04-27",18.639999
"176","2009-04-28",16
"177","2009-04-29",16.16
"178","2009-04-30",15.92
"179","2009-05-01",14.16
"180","2009-05-04",15.04
"181","2009-05-05",14.88
"182","2009-05-06",15.52
"183","2009-05-07",15.04
"184","2009-05-08",14.64
"185","2009-05-11",14.96
"186","2009-05-12",14.72
"187","2009-05-13",14.56
"188","2009-05-14",14.16
"189","2009-05-15",14
"190","2009-05-18",14.64
"191","2009-05-19",14.96
"192","2009-05-20",15.04
"193","2009-05-21",14.8
"194","2009-05-22",15.36
"195","2009-05-26",15.52
"196","2009-05-27",15.52
"197","2009-05-28",15.52
"198","2009-05-29",15.6
"199","2009-06-01",16
"200","2009-06-02",16.48
"201","2009-06-03",16.48
"202","2009-06-04",17.52
"203","2009-06-05",17.440001
"204","2009-06-08",17.280001
"205","2009-06-09",17.120001
"206","2009-06-10",17.280001
"207","2009-06-11",17.120001
"208","2009-06-12",16.719999
"209","2009-06-15",15.68
"210","2009-06-16",15.92
"211","2009-06-17",15.12
"212","2009-06-18",14.96
"213","2009-06-19",15.44
"214","2009-06-22",15.04
"215","2009-06-23",14.96
"216","2009-06-24",14.8
"217","2009-06-25",15.2
"218","2009-06-26",14.96
"219","2009-06-29",14.72
"220","2009-06-30",14.4
"221","2009-07-01",14.72
"222","2009-07-02",14.56
"223","2009-07-06",14.08
"224","2009-07-07",13.84
"225","2009-07-08",13.12
"226","2009-07-09",12.64
"227","2009-07-10",12.8
"228","2009-07-13",12.88
"229","2009-07-14",11.28
"230","2009-07-15",11.2
"231","2009-07-16",9.6
"232","2009-07-17",9.76
"233","2009-07-20",9.92
"234","2009-07-21",9.68
