"","date","GTYH"
"1","2016-11-30",10.15
"2","2016-12-01",10.15
"3","2016-12-02",10.15
"4","2016-12-05",10.15
"5","2016-12-06",10.15
"6","2016-12-07",10.15
"7","2016-12-08",10.15
"8","2016-12-09",10.15
"9","2016-12-12",10.15
"10","2016-12-13",10.15
"11","2016-12-14",10.15
"12","2016-12-15",10.15
"13","2016-12-16",10.15
"14","2016-12-19",10.15
"15","2016-12-20",11.02
"16","2016-12-21",9.8
"17","2016-12-22",10
"18","2016-12-23",12
"19","2016-12-27",10.65
"20","2016-12-28",10.75
"21","2016-12-29",10.75
"22","2016-12-30",10.75
"23","2017-01-03",9.829
"24","2017-01-04",9.829
"25","2017-01-05",9.829
"26","2017-01-06",9.829
"27","2017-01-09",9.829
"28","2017-01-10",10
"29","2017-01-11",9.8
"30","2017-01-12",9.8
"31","2017-01-13",9.8
"32","2017-01-17",9.8
"33","2017-01-18",9.8
"34","2017-01-19",9.8
"35","2017-01-20",9.8
"36","2017-01-23",9.8
"37","2017-01-24",9.8
"38","2017-01-25",9.8
"39","2017-01-26",9.8
"40","2017-01-27",9.8
"41","2017-01-30",9.8
"42","2017-01-31",9.8
"43","2017-02-01",9.8
"44","2017-02-02",9.855
"45","2017-02-03",9.855
"46","2017-02-06",9.855
"47","2017-02-07",9.855
"48","2017-02-08",9.855
"49","2017-02-09",9.9
"50","2017-02-10",9.9
"51","2017-02-13",9.9
"52","2017-02-14",9.9
"53","2017-02-15",9.9
"54","2017-02-16",9.9
"55","2017-02-17",9.9
"56","2017-02-21",9.9
"57","2017-02-22",9.9
"58","2017-02-23",9.9
"59","2017-02-24",9.9
"60","2017-02-27",9.9
"61","2017-02-28",9.9
"62","2017-03-01",9.9
"63","2017-03-02",9.9
"64","2017-03-03",9.9
"65","2017-03-06",9.9
"66","2017-03-07",9.9
"67","2017-03-08",9.9
"68","2017-03-09",9.9
"69","2017-03-10",9.9
"70","2017-03-13",10.35
"71","2017-03-14",10.35
"72","2017-03-15",10.35
"73","2017-03-16",10.35
"74","2017-03-17",10.35
"75","2017-03-20",9.9
"76","2017-03-21",9.92
"77","2017-03-22",9.92
"78","2017-03-23",9.92
"79","2017-03-24",9.92
"80","2017-03-27",9.92
"81","2017-03-28",9.92
"82","2017-03-29",9.92
"83","2017-03-30",9.92
"84","2017-03-31",10.042
"85","2017-04-03",10.042
"86","2017-04-04",10.042
"87","2017-04-05",10.042
"88","2017-04-06",9.95
"89","2017-04-07",9.95
"90","2017-04-10",9.95
"91","2017-04-11",9.945
"92","2017-04-12",9.95
"93","2017-04-13",9.95
"94","2017-04-17",9.95
"95","2017-04-18",9.95
"96","2017-04-19",9.95
"97","2017-04-20",9.95
"98","2017-04-21",9.95
"99","2017-04-24",9.95
"100","2017-04-25",9.95
"101","2017-04-26",9.95
"102","2017-04-27",9.95
"103","2017-04-28",9.9
"104","2017-05-01",9.82
"105","2017-05-02",9.9
"106","2017-05-03",9.893
"107","2017-05-04",9.86
"108","2017-05-05",9.86
"109","2017-05-08",9.86
"110","2017-05-09",9.86
"111","2017-05-10",9.95
"112","2017-05-11",9.9
"113","2017-05-12",10.49
"114","2017-05-15",10.49
"115","2017-05-16",9.89
"116","2017-05-17",9.89
"117","2017-05-18",9.89
"118","2017-05-19",9.89
"119","2017-05-22",9.89
