"","date","GPRO"
"1","2014-06-26",31.34
"2","2014-06-27",35.759998
"3","2014-06-30",40.549999
"4","2014-07-01",48.799999
"5","2014-07-02",42.040001
"6","2014-07-03",41.580002
"7","2014-07-07",43.959999
"8","2014-07-08",42.200001
"9","2014-07-09",43.299999
"10","2014-07-10",41.939999
"11","2014-07-11",38.84
"12","2014-07-14",36.84
"13","2014-07-15",41.630001
"14","2014-07-16",40.900002
"15","2014-07-17",40.34
"16","2014-07-18",41.43
"17","2014-07-21",41.580002
"18","2014-07-22",43.099998
"19","2014-07-23",41.740002
"20","2014-07-24",42.189999
"21","2014-07-25",41.98
"22","2014-07-28",43.25
"23","2014-07-29",44.07
"24","2014-07-30",46.316002
"25","2014-07-31",47.970001
"26","2014-08-01",40.970001
"27","2014-08-04",38.529999
"28","2014-08-05",38.869999
"29","2014-08-06",38.720001
"30","2014-08-07",38.700001
"31","2014-08-08",37.650002
"32","2014-08-11",38.200001
"33","2014-08-12",38.040001
"34","2014-08-13",38.189999
"35","2014-08-14",39.490002
"36","2014-08-15",39.790001
"37","2014-08-18",41.849998
"38","2014-08-19",43.360001
"39","2014-08-20",43.889999
"40","2014-08-21",43.169998
"41","2014-08-22",43.290001
"42","2014-08-25",43.849998
"43","2014-08-26",45.290001
"44","2014-08-27",45.5
"45","2014-08-28",48.900002
"46","2014-08-29",51.799999
"47","2014-09-02",53.939999
"48","2014-09-03",56.860001
"49","2014-09-04",53.080002
"50","2014-09-05",58.75
"51","2014-09-08",63.52
"52","2014-09-09",64.190002
"53","2014-09-10",68.470001
"54","2014-09-11",68.279999
"55","2014-09-12",69.18
"56","2014-09-15",67.199997
"57","2014-09-16",65.230003
"58","2014-09-17",67.220001
"59","2014-09-18",66.330002
"60","2014-09-19",67.199997
"61","2014-09-22",68.269997
"62","2014-09-23",72.879997
"63","2014-09-24",78.459999
"64","2014-09-25",81.309998
"65","2014-09-26",82.099998
"66","2014-09-29",90.940002
"67","2014-09-30",93.699997
"68","2014-10-01",91.800003
"69","2014-10-02",85.459999
"70","2014-10-03",86.970001
"71","2014-10-06",93.790001
"72","2014-10-07",93.849998
"73","2014-10-08",89.93
"74","2014-10-09",89.18
"75","2014-10-10",85.050003
"76","2014-10-13",76.669998
"77","2014-10-14",75.029999
"78","2014-10-15",72.870003
"79","2014-10-16",72.690002
"80","2014-10-17",74.629997
"81","2014-10-20",76
"82","2014-10-21",80.919998
"83","2014-10-22",80.089996
"84","2014-10-23",79.150002
"85","2014-10-24",71.910004
"86","2014-10-27",64.910004
"87","2014-10-28",69.300003
"88","2014-10-29",67.889999
"89","2014-10-30",68.25
"90","2014-10-31",77.099998
"91","2014-11-03",84.32
"92","2014-11-04",82.269997
"93","2014-11-05",75.889999
"94","2014-11-06",78.760002
"95","2014-11-07",79.059998
"96","2014-11-10",75.75
"97","2014-11-11",75
"98","2014-11-12",76.849998
"99","2014-11-13",76.470001
"100","2014-11-14",79.150002
"101","2014-11-17",81.5
"102","2014-11-18",84.099998
"103","2014-11-19",79.089996
"104","2014-11-20",71.739998
"105","2014-11-21",70.720001
"106","2014-11-24",72.540001
"107","2014-11-25",74.709999
"108","2014-11-26",79.050003
"109","2014-11-28",77.970001
"110","2014-12-01",73.5
