"","date","OCFT"
"1","2019-12-16",9.75
"2","2019-12-17",9.84
"3","2019-12-18",9.87
"4","2019-12-19",9.88
"5","2019-12-20",9.85
"6","2019-12-23",9.9
"7","2019-12-24",9.85
"8","2019-12-26",10.01
"9","2019-12-27",10.06
"10","2019-12-30",10.05
"11","2019-12-31",10.03
"12","2020-01-02",10.27
"13","2020-01-03",10.4
"14","2020-01-06",10.86
"15","2020-01-07",11.96
"16","2020-01-08",12.56
"17","2020-01-09",13.54
"18","2020-01-10",15.82
"19","2020-01-13",15.68
"20","2020-01-14",12.48
"21","2020-01-15",14.09
"22","2020-01-16",14.12
"23","2020-01-17",14.2
"24","2020-01-21",14.01
"25","2020-01-22",14.29
"26","2020-01-23",14.52
"27","2020-01-24",13.74
"28","2020-01-27",12.8
"29","2020-01-28",13.23
"30","2020-01-29",13.19
"31","2020-01-30",12.62
"32","2020-01-31",12.72
"33","2020-02-03",13.22
"34","2020-02-04",12.27
"35","2020-02-05",12.4
"36","2020-02-06",12.33
"37","2020-02-07",12.54
"38","2020-02-10",13.32
"39","2020-02-11",14.24
"40","2020-02-12",13.71
"41","2020-02-13",13.22
"42","2020-02-14",13.11
"43","2020-02-18",13.14
"44","2020-02-19",12.64
"45","2020-02-20",12.98
"46","2020-02-21",12.51
"47","2020-02-24",11.84
"48","2020-02-25",11.18
"49","2020-02-26",10.82
"50","2020-02-27",10.7
"51","2020-02-28",10.85
"52","2020-03-02",12.3
"53","2020-03-03",13.25
"54","2020-03-04",12.95
"55","2020-03-05",12.99
"56","2020-03-06",12.16
"57","2020-03-09",11.02
"58","2020-03-10",11.49
"59","2020-03-11",11.23
"60","2020-03-12",10.66
"61","2020-03-13",11.73
"62","2020-03-16",11.18
"63","2020-03-17",12.53
"64","2020-03-18",11.98
"65","2020-03-19",10.98
"66","2020-03-20",10.63
"67","2020-03-23",11.04
"68","2020-03-24",10.97
"69","2020-03-25",10.78
"70","2020-03-26",10.58
"71","2020-03-27",10.81
"72","2020-03-30",10.47
"73","2020-03-31",10.15
"74","2020-04-01",10.17
"75","2020-04-02",10.2
"76","2020-04-03",9.86
"77","2020-04-06",9.85
"78","2020-04-07",10.02
"79","2020-04-08",9.92
"80","2020-04-09",9.5
"81","2020-04-13",9.48
"82","2020-04-14",9.14
"83","2020-04-15",9.84
"84","2020-04-16",10
"85","2020-04-17",10.62
"86","2020-04-20",10.01
"87","2020-04-21",10.07
"88","2020-04-22",9.68
"89","2020-04-23",9.95
"90","2020-04-24",9.29
"91","2020-04-27",9.44
"92","2020-04-28",9.7
"93","2020-04-29",10.07
"94","2020-04-30",10.05
"95","2020-05-01",9.95
"96","2020-05-04",10.07
"97","2020-05-05",10.08
"98","2020-05-06",11.17
"99","2020-05-07",12.15
"100","2020-05-08",13.32
"101","2020-05-11",13.12
"102","2020-05-12",14.22
"103","2020-05-13",13.53
"104","2020-05-14",13.8
"105","2020-05-15",15.09
"106","2020-05-18",16.790001
"107","2020-05-19",15.98
"108","2020-05-20",15.51
"109","2020-05-21",15.44
"110","2020-05-22",14.07
"111","2020-05-26",14.46
"112","2020-05-27",12.85
"113","2020-05-28",12.59
"114","2020-05-29",12.57
"115","2020-06-01",14.02
"116","2020-06-02",14.69
"117","2020-06-03",14.23
"118","2020-06-04",13.96
"119","2020-06-05",14.47
"120","2020-06-08",14.14
"121","2020-06-09",14.25
"122","2020-06-10",15.39
"123","2020-06-11",15.08
"124","2020-06-12",15.63
"125","2020-06-15",19.26
"126","2020-06-16",17.870001
"127","2020-06-17",19.15
"128","2020-06-18",19.48
"129","2020-06-19",20.15
"130","2020-06-22",18.43
"131","2020-06-23",20.16
"132","2020-06-24",18.040001
"133","2020-06-25",18.09
"134","2020-06-26",18.190001
"135","2020-06-29",17.85
"136","2020-06-30",18.26
"137","2020-07-01",18.969999
"138","2020-07-02",19.040001
"139","2020-07-06",20.950001
"140","2020-07-07",20.17
"141","2020-07-08",20
"142","2020-07-09",23.959999
"143","2020-07-10",26.99
"144","2020-07-13",22.200001
"145","2020-07-14",22.58
"146","2020-07-15",23.440001
"147","2020-07-16",22.610001
"148","2020-07-17",22.620001
"149","2020-07-20",24.780001
"150","2020-07-21",25.280001
"151","2020-07-22",25.74
"152","2020-07-23",25.809999
"153","2020-07-24",23.75
"154","2020-07-27",22.360001
"155","2020-07-28",22.35
"156","2020-07-29",22.549999
"157","2020-07-30",23.200001
"158","2020-07-31",23.92
"159","2020-08-03",23.860001
"160","2020-08-04",24.639999
"161","2020-08-05",25.360001
"162","2020-08-06",24.76
"163","2020-08-07",20.84
"164","2020-08-10",20.17
"165","2020-08-11",18.860001
"166","2020-08-12",18.35
"167","2020-08-13",19.889999
"168","2020-08-14",20.129999
"169","2020-08-17",21.93
"170","2020-08-18",21
"171","2020-08-19",20.76
"172","2020-08-20",20.35
"173","2020-08-21",21.57
"174","2020-08-24",21.610001
"175","2020-08-25",23.07
"176","2020-08-26",22.98
"177","2020-08-27",22
"178","2020-08-28",22.559999
"179","2020-08-31",21.57
"180","2020-09-01",21.48
"181","2020-09-02",21.809999
"182","2020-09-03",20.5
"183","2020-09-04",20.389999
"184","2020-09-08",19.51
"185","2020-09-09",19.370001
"186","2020-09-10",19.309999
"187","2020-09-11",19.48
"188","2020-09-14",20.790001
"189","2020-09-15",21.200001
"190","2020-09-16",20.530001
"191","2020-09-17",20.15
"192","2020-09-18",19.85
"193","2020-09-21",19.48
"194","2020-09-22",20.33
"195","2020-09-23",20.450001
"196","2020-09-24",20.620001
"197","2020-09-25",20.57
"198","2020-09-28",21.459999
"199","2020-09-29",20.84
"200","2020-09-30",21.299999
"201","2020-10-01",21.99
"202","2020-10-02",20.200001
"203","2020-10-05",20.469999
"204","2020-10-06",21
"205","2020-10-07",21.799999
"206","2020-10-08",21.24
"207","2020-10-09",21.690001
"208","2020-10-12",21.559999
"209","2020-10-13",21.32
"210","2020-10-14",20.540001
"211","2020-10-15",19.790001
"212","2020-10-16",19.75
"213","2020-10-19",19.75
"214","2020-10-20",20.83
"215","2020-10-21",21.219999
"216","2020-10-22",21.35
"217","2020-10-23",21.07
"218","2020-10-26",21.4
"219","2020-10-27",21.65
"220","2020-10-28",20.58
"221","2020-10-29",20.51
"222","2020-10-30",20.139999
"223","2020-11-02",20.35
"224","2020-11-03",20.219999
"225","2020-11-04",22.01
"226","2020-11-05",23
"227","2020-11-06",23
"228","2020-11-09",23.02
"229","2020-11-10",22.700001
"230","2020-11-11",20.719999
"231","2020-11-12",21.16
"232","2020-11-13",20.59
"233","2020-11-16",21.32
"234","2020-11-17",20.66
"235","2020-11-18",20.540001
"236","2020-11-19",20.1
"237","2020-11-20",20.450001
"238","2020-11-23",20.889999
"239","2020-11-24",20.309999
"240","2020-11-25",20.02
"241","2020-11-27",20.290001
