"","date","GRPN"
"1","2011-11-04",522.200012
"2","2011-11-07",519.400024
"3","2011-11-08",498
"4","2011-11-09",480.399994
"5","2011-11-10",488.200012
"6","2011-11-11",485
"7","2011-11-14",481.399994
"8","2011-11-15",481.399994
"9","2011-11-16",480.600006
"10","2011-11-17",495.399994
"11","2011-11-18",523.799988
"12","2011-11-21",471.600006
"13","2011-11-22",401.399994
"14","2011-11-23",339.200012
"15","2011-11-25",335
"16","2011-11-28",304.799988
"17","2011-11-29",320.200012
"18","2011-11-30",350
"19","2011-12-01",379
"20","2011-12-02",379
"21","2011-12-05",380.799988
"22","2011-12-06",384.799988
"23","2011-12-07",423
"24","2011-12-08",445.399994
"25","2011-12-09",469.600006
"26","2011-12-12",445
"27","2011-12-13",466.399994
"28","2011-12-14",451
"29","2011-12-15",461.600006
"30","2011-12-16",460.799988
"31","2011-12-19",440
"32","2011-12-20",455
"33","2011-12-21",459.200012
"34","2011-12-22",442
"35","2011-12-23",456.799988
"36","2011-12-27",461
"37","2011-12-28",452.399994
"38","2011-12-29",427.600006
"39","2011-12-30",412.600006
"40","2012-01-03",385.399994
"41","2012-01-04",375.799988
"42","2012-01-05",357.600006
"43","2012-01-06",356.200012
"44","2012-01-09",366
"45","2012-01-10",383
"46","2012-01-11",380
"47","2012-01-12",385.200012
"48","2012-01-13",383
"49","2012-01-17",390.200012
"50","2012-01-18",411.399994
"51","2012-01-19",423.799988
"52","2012-01-20",417
"53","2012-01-23",415.200012
"54","2012-01-24",412
"55","2012-01-25",401.600006
"56","2012-01-26",390.600006
"57","2012-01-27",400.799988
"58","2012-01-30",392.600006
"59","2012-01-31",407.799988
"60","2012-02-01",429.799988
"61","2012-02-02",461.600006
"62","2012-02-03",488.600006
"63","2012-02-06",470.200012
"64","2012-02-07",483.799988
"65","2012-02-08",491.600006
"66","2012-02-09",423.399994
"67","2012-02-10",420.600006
"68","2012-02-13",389
"69","2012-02-14",387
"70","2012-02-15",390.200012
"71","2012-02-16",406
"72","2012-02-17",405.200012
"73","2012-02-21",396.799988
"74","2012-02-22",388.200012
"75","2012-02-23",387.799988
"76","2012-02-24",390
"77","2012-02-27",389.799988
"78","2012-02-28",397.399994
"79","2012-02-29",394.399994
"80","2012-03-01",390.200012
"81","2012-03-02",384
"82","2012-03-05",362.600006
"83","2012-03-06",366.600006
"84","2012-03-07",346.399994
"85","2012-03-08",339.600006
"86","2012-03-09",341.200012
"87","2012-03-12",334.799988
"88","2012-03-13",341.200012
"89","2012-03-14",337.600006
"90","2012-03-15",356.799988
"91","2012-03-16",360.399994
"92","2012-03-19",356.399994
"93","2012-03-20",354.399994
"94","2012-03-21",346
