"","date","CERC"
"1","2015-10-14",6.5
"2","2015-10-15",6.4
"3","2015-10-16",6.26
"4","2015-10-19",6.18
"5","2015-10-20",6.1
"6","2015-10-21",6.15
"7","2015-10-22",6.2
"8","2015-10-23",6.21
"9","2015-10-26",6.01
"10","2015-10-27",5.95
"11","2015-10-28",5.91
"12","2015-10-29",5.9
"13","2015-10-30",5.74
"14","2015-11-02",5.96
"15","2015-11-03",5.75
"16","2015-11-04",5.75
"17","2015-11-05",5.692
"18","2015-11-06",5.753
"19","2015-11-09",5.8
"20","2015-11-10",5.77
"21","2015-11-11",5.59
"22","2015-11-12",5.03
"23","2015-11-13",4
"24","2015-11-16",4.5
"25","2015-11-17",4.25
"26","2015-11-18",4.5
"27","2015-11-19",4.33
"28","2015-11-20",4.4
"29","2015-11-23",4.2
"30","2015-11-24",4
"31","2015-11-25",4.36
"32","2015-11-27",4.38
"33","2015-11-30",4.2
"34","2015-12-01",3.77
"35","2015-12-02",3.64
"36","2015-12-03",3.64
"37","2015-12-04",3.55
"38","2015-12-07",3.55
"39","2015-12-08",3.21
"40","2015-12-09",3.27
"41","2015-12-10",3.25
"42","2015-12-11",3.13
"43","2015-12-14",3.1
"44","2015-12-15",3.53
"45","2015-12-16",3.552
"46","2015-12-17",3.14
"47","2015-12-18",3.12
"48","2015-12-21",3.95
"49","2015-12-22",3.89
"50","2015-12-23",4
"51","2015-12-24",3.99
"52","2015-12-28",3.88
"53","2015-12-29",3.8
"54","2015-12-30",3.58
"55","2015-12-31",3.35
"56","2016-01-04",3.85
"57","2016-01-05",4.378
"58","2016-01-06",4.45
"59","2016-01-07",4.24
"60","2016-01-08",3.7
"61","2016-01-11",3.56
"62","2016-01-12",3.31
"63","2016-01-13",3.222
"64","2016-01-14",3.3
"65","2016-01-15",3.27
"66","2016-01-19",3.26
"67","2016-01-20",3.91
"68","2016-01-21",3.23
"69","2016-01-22",3.2
"70","2016-01-25",3.25
"71","2016-01-26",3.34
"72","2016-01-27",2.96
"73","2016-01-28",3.1
"74","2016-01-29",3.143
"75","2016-02-01",2.9
"76","2016-02-02",3
"77","2016-02-03",3.02
"78","2016-02-04",3
"79","2016-02-05",2.97
"80","2016-02-08",3.03
"81","2016-02-09",2.98
"82","2016-02-10",3.05
"83","2016-02-11",3.08
"84","2016-02-12",2.913
"85","2016-02-16",3.02
"86","2016-02-17",3.1
"87","2016-02-18",3.01
"88","2016-02-19",3
"89","2016-02-22",3.04
"90","2016-02-23",3
"91","2016-02-24",3.01
"92","2016-02-25",3.09
"93","2016-02-26",3.197
"94","2016-02-29",3.26
"95","2016-03-01",3.26
"96","2016-03-02",3.19
"97","2016-03-03",3.21
"98","2016-03-04",3.25
"99","2016-03-07",3.44
"100","2016-03-08",3.83
"101","2016-03-09",3.53
"102","2016-03-10",3.45
"103","2016-03-11",3.45
"104","2016-03-14",4.45
"105","2016-03-15",4.48
"106","2016-03-16",4.69
"107","2016-03-17",4.92
"108","2016-03-18",4.23
"109","2016-03-21",3.72
"110","2016-03-22",3.56
"111","2016-03-23",3.62
"112","2016-03-24",3.755
"113","2016-03-28",3.59
"114","2016-03-29",3.31
"115","2016-03-30",3.337
"116","2016-03-31",3.73
"117","2016-04-01",3.65
"118","2016-04-04",3.77
"119","2016-04-05",3.77
"120","2016-04-06",3.89
"121","2016-04-07",3.7
"122","2016-04-08",3.96
"123","2016-04-11",3.94
"124","2016-04-12",3.7
"125","2016-04-13",4.01
"126","2016-04-14",3.9
"127","2016-04-15",3.65
"128","2016-04-18",3.64
"129","2016-04-19",3.61
"130","2016-04-20",3.357
"131","2016-04-21",3.71
"132","2016-04-22",3.88
"133","2016-04-25",3.72
"134","2016-04-26",3.74
"135","2016-04-27",3.6
"136","2016-04-28",3.875
"137","2016-04-29",3.87
"138","2016-05-02",3.83
"139","2016-05-03",3.938
"140","2016-05-04",3.77
"141","2016-05-05",3.73
"142","2016-05-06",3.8
"143","2016-05-09",3.84
"144","2016-05-10",3.7
"145","2016-05-11",3.9
"146","2016-05-12",3.89
"147","2016-05-13",3.81
"148","2016-05-16",3.74
"149","2016-05-17",3.47
"150","2016-05-18",3.519
"151","2016-05-19",3.44
"152","2016-05-20",3.21
"153","2016-05-23",3.14
"154","2016-05-24",2.9
"155","2016-05-25",2.64
"156","2016-05-26",2.55
"157","2016-05-27",2.49
