"","date","AIH"
"1","2019-10-25",10.03
"2","2019-10-28",9.35
"3","2019-10-29",9.21
"4","2019-10-30",8.8
"5","2019-10-31",8.8
"6","2019-11-01",8.37
"7","2019-11-04",8.34
"8","2019-11-05",8.33
"9","2019-11-06",8.22
"10","2019-11-07",8.31
"11","2019-11-08",8.38
"12","2019-11-11",8.39
"13","2019-11-12",8.16
"14","2019-11-13",8.21
"15","2019-11-14",7.6
"16","2019-11-15",6.95
"17","2019-11-18",7.1
"18","2019-11-19",7.14
"19","2019-11-20",6.39
"20","2019-11-21",6.4
"21","2019-11-22",6.41
"22","2019-11-25",6.63
"23","2019-11-26",6.8
"24","2019-11-27",6.87
"25","2019-11-29",6.87
"26","2019-12-02",6.58
"27","2019-12-03",6.59
"28","2019-12-04",6.754
"29","2019-12-05",6.68
"30","2019-12-06",6.816
"31","2019-12-09",6.74
"32","2019-12-10",6.66
"33","2019-12-11",6.665
"34","2019-12-12",6.48
"35","2019-12-13",6.43
"36","2019-12-16",6.34
"37","2019-12-17",6.27
"38","2019-12-18",6.77
"39","2019-12-19",6.53
"40","2019-12-20",6.57
"41","2019-12-23",6.391
"42","2019-12-24",6.19
"43","2019-12-26",6.25
"44","2019-12-27",6.4
"45","2019-12-30",6.28
"46","2019-12-31",6.42
"47","2020-01-02",6.49
"48","2020-01-03",6.828
"49","2020-01-06",6.57
"50","2020-01-07",6.61
"51","2020-01-08",6.46
"52","2020-01-09",6.43
"53","2020-01-10",6.45
"54","2020-01-13",6.57
"55","2020-01-14",7.06
"56","2020-01-15",7.52
"57","2020-01-16",8.08
"58","2020-01-17",8.13
"59","2020-01-21",7.73
"60","2020-01-22",7.72
"61","2020-01-23",7.63
"62","2020-01-24",7.65
"63","2020-01-27",7.2
"64","2020-01-28",7.43
"65","2020-01-29",7.55
"66","2020-01-30",7.62
"67","2020-01-31",7.3
"68","2020-02-03",7.15
"69","2020-02-04",7.38
"70","2020-02-05",7.61
"71","2020-02-06",7.77
"72","2020-02-07",7.83
"73","2020-02-10",7.99
"74","2020-02-11",8
"75","2020-02-12",7.96
"76","2020-02-13",8.07
"77","2020-02-14",7.715
"78","2020-02-18",7.59
"79","2020-02-19",7.7
"80","2020-02-20",7.82
"81","2020-02-21",7.67
"82","2020-02-24",7.53
"83","2020-02-25",7.34
"84","2020-02-26",7.45
"85","2020-02-27",7.5
"86","2020-02-28",7.57
"87","2020-03-02",8.12
"88","2020-03-03",8.27
"89","2020-03-04",9.48
"90","2020-03-05",10.28
"91","2020-03-06",10.01
"92","2020-03-09",9.51
"93","2020-03-10",9.75
"94","2020-03-11",9.58
"95","2020-03-12",9.53
"96","2020-03-13",9.59
"97","2020-03-16",9.68
"98","2020-03-17",9.26
"99","2020-03-18",8.89
"100","2020-03-19",8.63
"101","2020-03-20",8.65
"102","2020-03-23",8.05
"103","2020-03-24",8.33
"104","2020-03-25",8.33
"105","2020-03-26",8.95
"106","2020-03-27",8.86
"107","2020-03-30",8.35
"108","2020-03-31",9.07
"109","2020-04-01",9.05
"110","2020-04-02",8.65
"111","2020-04-03",8.63
"112","2020-04-06",8.37
"113","2020-04-07",8.21
"114","2020-04-08",8.53
"115","2020-04-09",9.12
"116","2020-04-13",9.28
"117","2020-04-14",9.37
"118","2020-04-15",8.95
"119","2020-04-16",8.78
"120","2020-04-17",8.74
"121","2020-04-20",9.08
"122","2020-04-21",8.92
"123","2020-04-22",8.85
"124","2020-04-23",8.61
"125","2020-04-24",8.6
"126","2020-04-27",8.49
"127","2020-04-28",8.58
"128","2020-04-29",8.35
"129","2020-04-30",8.87
"130","2020-05-01",8.97
"131","2020-05-04",8.38
