"","date","RPRX"
"1","2020-06-16",44.5
"2","2020-06-17",48.610001
"3","2020-06-18",50.900002
"4","2020-06-19",49
"5","2020-06-22",51.290001
"6","2020-06-23",50.950001
"7","2020-06-24",50.25
"8","2020-06-25",52.110001
"9","2020-06-26",49.59
"10","2020-06-29",48.73
"11","2020-06-30",48.549999
"12","2020-07-01",46.470001
"13","2020-07-02",45.73
"14","2020-07-06",46.110001
"15","2020-07-07",47.049999
"16","2020-07-08",48.02
"17","2020-07-09",48.360001
"18","2020-07-10",47.639999
"19","2020-07-13",44.060001
"20","2020-07-14",43.52
"21","2020-07-15",43
"22","2020-07-16",42.200001
"23","2020-07-17",44.189999
"24","2020-07-20",45.869999
"25","2020-07-21",43.07
"26","2020-07-22",43.07
"27","2020-07-23",42.889999
"28","2020-07-24",41.91
"29","2020-07-27",43.220001
"30","2020-07-28",41.93
"31","2020-07-29",43.049999
"32","2020-07-30",42.779999
"33","2020-07-31",43.049999
"34","2020-08-03",44.119999
"35","2020-08-04",43.200001
"36","2020-08-05",41.93
"37","2020-08-06",43.900002
"38","2020-08-07",43.759998
"39","2020-08-10",45.759998
"40","2020-08-11",45.77
"41","2020-08-12",44.990002
"42","2020-08-13",45.48
"43","2020-08-14",45.41
"44","2020-08-17",45.950001
"45","2020-08-18",44.619999
"46","2020-08-19",43.900002
"47","2020-08-20",43.259998
"48","2020-08-21",41.970001
"49","2020-08-24",42.73
"50","2020-08-25",41.779999
"51","2020-08-26",41.939999
"52","2020-08-27",41
"53","2020-08-28",42.07
"54","2020-08-31",41.380001
"55","2020-09-01",41.599998
"56","2020-09-02",41.75
"57","2020-09-03",40.740002
"58","2020-09-04",39.779999
"59","2020-09-08",39.040001
"60","2020-09-09",38.84
"61","2020-09-10",39.439999
"62","2020-09-11",38.560001
"63","2020-09-14",39.82
"64","2020-09-15",40.705002
"65","2020-09-16",40.610001
"66","2020-09-17",41.279999
"67","2020-09-18",41.98
"68","2020-09-21",40.59
"69","2020-09-22",41.720001
"70","2020-09-23",41.779999
"71","2020-09-24",40.23
"72","2020-09-25",40.07
"73","2020-09-28",41.209999
"74","2020-09-29",42.009998
"75","2020-09-30",42.07
"76","2020-10-01",42.59
"77","2020-10-02",42.470001
"78","2020-10-05",43.400002
"79","2020-10-06",43.799999
"80","2020-10-07",44.59
"81","2020-10-08",44.099998
"82","2020-10-09",44.080002
"83","2020-10-12",44.41
"84","2020-10-13",44.810001
"85","2020-10-14",42.790001
"86","2020-10-15",42.48
"87","2020-10-16",41.810001
"88","2020-10-19",40.27
"89","2020-10-20",40.09
"90","2020-10-21",39
"91","2020-10-22",39.209999
"92","2020-10-23",39.009998
"93","2020-10-26",38.77
"94","2020-10-27",37.869999
"95","2020-10-28",36.119999
"96","2020-10-29",36.34
"97","2020-10-30",36.700001
"98","2020-11-02",37.580002
"99","2020-11-03",38.119999
"100","2020-11-04",40.279999
"101","2020-11-05",40.130001
"102","2020-11-06",40.240002
"103","2020-11-09",40.970001
"104","2020-11-10",40.599998
"105","2020-11-11",40.310001
"106","2020-11-12",40.650002
"107","2020-11-13",42.119999
"108","2020-11-16",41.830002
"109","2020-11-17",42.189999
"110","2020-11-18",40.720001
"111","2020-11-19",41.48
"112","2020-11-20",40.369999
"113","2020-11-23",40.200001
"114","2020-11-24",39.580002
"115","2020-11-25",40.970001
"116","2020-11-27",41.599998
