"","date","RUN"
"1","2015-08-05",10.77
"2","2015-08-06",8.77
"3","2015-08-07",10.14
"4","2015-08-10",10.12
"5","2015-08-11",9.79
"6","2015-08-12",10.35
"7","2015-08-13",10.12
"8","2015-08-14",10.04
"9","2015-08-17",10.13
"10","2015-08-18",10.24
"11","2015-08-19",10.73
"12","2015-08-20",10.52
"13","2015-08-21",9.9
"14","2015-08-24",9.16
"15","2015-08-25",9.9
"16","2015-08-26",10.78
"17","2015-08-27",11
"18","2015-08-28",11.62
"19","2015-08-31",11.88
"20","2015-09-01",11.86
"21","2015-09-02",11.59
"22","2015-09-03",11.64
"23","2015-09-04",11.56
"24","2015-09-08",11.55
"25","2015-09-09",11.39
"26","2015-09-10",11.69
"27","2015-09-11",11.5
"28","2015-09-14",11.25
"29","2015-09-15",11.49
"30","2015-09-16",11.31
"31","2015-09-17",11.4
"32","2015-09-18",11.58
"33","2015-09-21",11.74
"34","2015-09-22",11.39
"35","2015-09-23",11.01
"36","2015-09-24",10.81
"37","2015-09-25",11.13
"38","2015-09-28",10.06
"39","2015-09-29",9.81
"40","2015-09-30",10.37
"41","2015-10-01",10.3
"42","2015-10-02",10.51
"43","2015-10-05",10.66
"44","2015-10-06",11.05
"45","2015-10-07",11.19
"46","2015-10-08",11.39
"47","2015-10-09",11.26
"48","2015-10-12",10.78
"49","2015-10-13",10.69
"50","2015-10-14",10.74
"51","2015-10-15",10.6
"52","2015-10-16",10.34
"53","2015-10-19",9.81
"54","2015-10-20",9.5
"55","2015-10-21",8.94
"56","2015-10-22",8.9
"57","2015-10-23",9.08
"58","2015-10-26",9.21
"59","2015-10-27",9.04
"60","2015-10-28",9.42
"61","2015-10-29",8.91
"62","2015-10-30",7.41
"63","2015-11-02",7.36
"64","2015-11-03",7.52
"65","2015-11-04",7.71
"66","2015-11-05",8.07
"67","2015-11-06",7.82
"68","2015-11-09",7.73
"69","2015-11-10",7.27
"70","2015-11-11",6.99
"71","2015-11-12",6.58
"72","2015-11-13",7.31
"73","2015-11-16",7
"74","2015-11-17",6.72
"75","2015-11-18",6.55
"76","2015-11-19",6.5
"77","2015-11-20",6.67
"78","2015-11-23",6.6
"79","2015-11-24",6.74
"80","2015-11-25",6.75
"81","2015-11-27",7.22
"82","2015-11-30",6.65
"83","2015-12-01",7.05
"84","2015-12-02",7.39
"85","2015-12-03",7.95
"86","2015-12-04",7.85
"87","2015-12-07",7.91
"88","2015-12-08",7.77
"89","2015-12-09",7.71
"90","2015-12-10",7.57
"91","2015-12-11",7.86
"92","2015-12-14",9.1
"93","2015-12-15",9.49
"94","2015-12-16",11.63
"95","2015-12-17",12.71
"96","2015-12-18",13.74
"97","2015-12-21",13.4
"98","2015-12-22",11.6
"99","2015-12-23",11.88
"100","2015-12-24",12.19
"101","2015-12-28",11.67
"102","2015-12-29",11.7
"103","2015-12-30",11.72
"104","2015-12-31",11.77
"105","2016-01-04",11.21
"106","2016-01-05",9.61
"107","2016-01-06",10.2
"108","2016-01-07",9.21
"109","2016-01-08",9.75
"110","2016-01-11",9.31
"111","2016-01-12",8.67
"112","2016-01-13",8.25
"113","2016-01-14",8
"114","2016-01-15",7.75
"115","2016-01-19",7.4
"116","2016-01-20",8.54
"117","2016-01-21",8.97
"118","2016-01-22",8.79
"119","2016-01-25",8.41
"120","2016-01-26",8.73
"121","2016-01-27",8.34
"122","2016-01-28",10.05
"123","2016-01-29",9.52
"124","2016-02-01",8.94
"125","2016-02-02",8.34
"126","2016-02-03",8.1
"127","2016-02-04",8.05
"128","2016-02-05",7.96
"129","2016-02-08",7.6
"130","2016-02-09",7.2
"131","2016-02-10",6.07
"132","2016-02-11",5.08
"133","2016-02-12",5.04
"134","2016-02-16",4.96
"135","2016-02-17",5.33
"136","2016-02-18",5.63
"137","2016-02-19",5.41
"138","2016-02-22",5.06
"139","2016-02-23",5.16
"140","2016-02-24",5.06
"141","2016-02-25",5.3
"142","2016-02-26",5.51
"143","2016-02-29",5.62
"144","2016-03-01",5.47
"145","2016-03-02",6.1
"146","2016-03-03",6.4
"147","2016-03-04",6.21
"148","2016-03-07",6.6
"149","2016-03-08",6.68
"150","2016-03-09",6.65
"151","2016-03-10",7.15
"152","2016-03-11",6.355
"153","2016-03-14",6.36
"154","2016-03-15",6.31
"155","2016-03-16",6.63
"156","2016-03-17",6.895
"157","2016-03-18",6.69
"158","2016-03-21",6.72
"159","2016-03-22",6.57
"160","2016-03-23",6.36
"161","2016-03-24",6.24
"162","2016-03-28",6.47
"163","2016-03-29",6.4
"164","2016-03-30",6.47
"165","2016-03-31",6.48
"166","2016-04-01",6.44
"167","2016-04-04",6.3
"168","2016-04-05",6.57
"169","2016-04-06",6.965
"170","2016-04-07",6.78
"171","2016-04-08",6.75
"172","2016-04-11",6.74
"173","2016-04-12",6.74
"174","2016-04-13",6.87
"175","2016-04-14",7.15
"176","2016-04-15",7.04
"177","2016-04-18",7.09
"178","2016-04-19",7.02
"179","2016-04-20",7.27
"180","2016-04-21",7.76
"181","2016-04-22",7.91
"182","2016-04-25",7.6
"183","2016-04-26",7.7
"184","2016-04-27",8.39
"185","2016-04-28",8.02
"186","2016-04-29",7.88
"187","2016-05-02",7.97
"188","2016-05-03",7.59
"189","2016-05-04",7.47
"190","2016-05-05",7.27
"191","2016-05-06",7.5
"192","2016-05-09",7.39
"193","2016-05-10",6.37
"194","2016-05-11",6.37
"195","2016-05-12",6.15
"196","2016-05-13",6.61
"197","2016-05-16",6.35
"198","2016-05-17",6.02
"199","2016-05-18",6.04
"200","2016-05-19",6.08
"201","2016-05-20",6.11
"202","2016-05-23",6.35
"203","2016-05-24",6.34
"204","2016-05-25",6.29
"205","2016-05-26",6.36
