"","date","VIAV"
"1","2007-01-03",9.783845
"2","2007-01-04",10.19909
"3","2007-01-05",10.045506
"4","2007-01-08",9.852105
"5","2007-01-09",9.562002
"6","2007-01-10",9.533561
"7","2007-01-11",9.510808
"8","2007-01-12",9.260524
"9","2007-01-16",9.368601
"10","2007-01-17",9.226394
"11","2007-01-18",8.981797
"12","2007-01-19",9.852105
"13","2007-01-22",9.852105
"14","2007-01-23",9.772469
"15","2007-01-24",9.994311
"16","2007-01-25",9.931741
"17","2007-01-26",9.903299
"18","2007-01-29",9.840728
"19","2007-01-30",9.83504
"20","2007-01-31",10.113766
"21","2007-02-01",9.499432
"22","2007-02-02",9.379977
"23","2007-02-05",9.192264
"24","2007-02-06",9.249146
"25","2007-02-07",9.351536
"26","2007-02-08",9.533561
"27","2007-02-09",9.197952
"28","2007-02-12",8.97611
"29","2007-02-13",8.885097
"30","2007-02-14",9.095563
"31","2007-02-15",9.101252
"32","2007-02-16",9.539249
"33","2007-02-20",9.567691
"34","2007-02-21",9.556314
"35","2007-02-22",9.653015
"36","2007-02-23",9.60182
"37","2007-02-26",9.499432
"38","2007-02-27",9.050056
"39","2007-02-28",9.220705
"40","2007-03-01",8.90785
"41","2007-03-02",8.70876
"42","2007-03-05",8.47554
"43","2007-03-06",8.720137
"44","2007-03-07",8.663254
"45","2007-03-08",8.794085
"46","2007-03-09",8.805461
"47","2007-03-12",8.691695
"48","2007-03-13",8.572241
"49","2007-03-14",8.67463
"50","2007-03-15",8.67463
"51","2007-03-16",8.629124
"52","2007-03-19",8.532423
"53","2007-03-20",8.651877
"54","2007-03-21",8.759954
"55","2007-03-22",8.759954
"56","2007-03-23",8.799772
"57","2007-03-26",8.782707
"58","2007-03-27",8.691695
"59","2007-03-28",8.720137
"60","2007-03-29",8.600682
"61","2007-03-30",8.663254
"62","2007-04-02",8.577929
"63","2007-04-03",8.629124
"64","2007-04-04",8.651877
"65","2007-04-05",8.697383
"66","2007-04-09",8.61206
"67","2007-04-10",8.634812
"68","2007-04-11",8.640501
"69","2007-04-12",8.691695
"70","2007-04-13",8.805461
"71","2007-04-16",8.845279
"72","2007-04-17",8.856655
"73","2007-04-18",8.913538
"74","2007-04-19",8.936292
