"","date","SBE"
"1","2019-09-16",9.76
"2","2019-09-17",9.76
"3","2019-09-18",9.72
"4","2019-09-19",9.72
"5","2019-09-20",9.85
"6","2019-09-23",9.85
"7","2019-09-24",9.85
"8","2019-09-25",9.85
"9","2019-09-26",9.85
"10","2019-09-27",9.66
"11","2019-09-30",9.71
"12","2019-10-01",9.71
"13","2019-10-02",9.71
"14","2019-10-03",9.71
"15","2019-10-04",9.71
"16","2019-10-07",9.68
"17","2019-10-08",9.68
"18","2019-10-09",9.68
"19","2019-10-10",9.65
"20","2019-10-11",9.7
"21","2019-10-14",9.7
"22","2019-10-15",9.735
"23","2019-10-16",9.75
"24","2019-10-17",9.71
"25","2019-10-18",9.71
"26","2019-10-21",9.75
"27","2019-10-22",9.75
"28","2019-10-23",9.75
"29","2019-10-24",9.75
"30","2019-10-25",9.75
"31","2019-10-28",9.75
"32","2019-10-29",9.75
"33","2019-10-30",9.75
"34","2019-10-31",9.73
"35","2019-11-01",9.73
"36","2019-11-04",9.73
"37","2019-11-05",9.74
"38","2019-11-06",9.72
"39","2019-11-07",9.72
"40","2019-11-08",9.72
"41","2019-11-11",9.72
"42","2019-11-12",9.74
"43","2019-11-13",9.74
"44","2019-11-14",9.77
"45","2019-11-15",9.77
"46","2019-11-18",9.79
"47","2019-11-19",9.79
"48","2019-11-20",9.79
"49","2019-11-21",9.79
"50","2019-11-22",9.79
"51","2019-11-25",9.79
"52","2019-11-26",9.79
"53","2019-11-27",9.79
"54","2019-11-29",9.76
"55","2019-12-02",9.76
"56","2019-12-03",9.76
"57","2019-12-04",9.76
"58","2019-12-05",9.8
"59","2019-12-06",9.8
"60","2019-12-09",9.8
"61","2019-12-10",9.8
"62","2019-12-11",9.8
"63","2019-12-12",9.8
"64","2019-12-13",9.82
"65","2019-12-16",9.82
"66","2019-12-17",9.8
"67","2019-12-18",9.8
"68","2019-12-19",9.8
"69","2019-12-20",9.8
"70","2019-12-23",9.8
"71","2019-12-24",9.8
"72","2019-12-26",9.8
"73","2019-12-27",9.8
"74","2019-12-30",9.8
"75","2019-12-31",9.8
"76","2020-01-02",9.8
"77","2020-01-03",9.8
"78","2020-01-06",9.82
"79","2020-01-07",9.82
"80","2020-01-08",9.95
"81","2020-01-09",9.94
"82","2020-01-10",9.94
"83","2020-01-13",9.93
"84","2020-01-14",9.93
"85","2020-01-15",9.93
"86","2020-01-16",9.93
"87","2020-01-17",9.88
"88","2020-01-21",9.92
"89","2020-01-22",9.92
"90","2020-01-23",9.92
"91","2020-01-24",9.92
"92","2020-01-27",9.92
"93","2020-01-28",9.92
"94","2020-01-29",9.92
"95","2020-01-30",9.92
"96","2020-01-31",10
"97","2020-02-03",9.92
"98","2020-02-04",9.95
"99","2020-02-05",9.95
"100","2020-02-06",9.935
"101","2020-02-07",9.935
"102","2020-02-10",10.08
"103","2020-02-11",10.08
"104","2020-02-12",10.08
"105","2020-02-13",10.08
"106","2020-02-14",10.08
"107","2020-02-18",10.08
"108","2020-02-19",10.08
"109","2020-02-20",10.08
"110","2020-02-21",10.09
"111","2020-02-24",9.98
"112","2020-02-25",9.98
"113","2020-02-26",9.97
"114","2020-02-27",9.96
"115","2020-02-28",9.97
"116","2020-03-02",9.98
"117","2020-03-03",9.98
"118","2020-03-04",9.98
"119","2020-03-05",9.97
"120","2020-03-06",9.97
"121","2020-03-09",9.77
"122","2020-03-10",9.83
"123","2020-03-11",9.89
"124","2020-03-12",9.9
"125","2020-03-13",9.75
"126","2020-03-16",9.6
"127","2020-03-17",9.6
"128","2020-03-18",9.716
"129","2020-03-19",9.716
"130","2020-03-20",9.716
"131","2020-03-23",9.38
"132","2020-03-24",9.38
"133","2020-03-25",9.38
"134","2020-03-26",9.565
"135","2020-03-27",9.565
"136","2020-03-30",9.803
"137","2020-03-31",9.65
"138","2020-04-01",9.65
"139","2020-04-02",9.65
"140","2020-04-03",9.74
"141","2020-04-06",9.76
"142","2020-04-07",9.76
"143","2020-04-08",9.73
"144","2020-04-09",9.69
"145","2020-04-13",9.735
"146","2020-04-14",9.735
"147","2020-04-15",9.7
"148","2020-04-16",9.7
"149","2020-04-17",9.7
"150","2020-04-20",9.81
"151","2020-04-21",9.75
"152","2020-04-22",9.777
"153","2020-04-23",9.7
"154","2020-04-24",9.785
"155","2020-04-27",9.77
"156","2020-04-28",9.78
"157","2020-04-29",9.78
"158","2020-04-30",9.78
"159","2020-05-01",9.8
"160","2020-05-04",9.84
"161","2020-05-05",9.8
"162","2020-05-06",9.8
"163","2020-05-07",9.8
"164","2020-05-08",9.85
"165","2020-05-11",9.85
"166","2020-05-12",9.85
"167","2020-05-13",9.85
"168","2020-05-14",9.85
"169","2020-05-15",9.85
"170","2020-05-18",9.85
"171","2020-05-19",9.85
"172","2020-05-20",9.85
"173","2020-05-21",9.85
"174","2020-05-22",9.85
"175","2020-05-26",9.811
"176","2020-05-27",9.811
"177","2020-05-28",9.85
"178","2020-05-29",9.85
"179","2020-06-01",9.85
"180","2020-06-02",9.84
"181","2020-06-03",9.84
"182","2020-06-04",9.86
"183","2020-06-05",9.83
"184","2020-06-08",9.83
"185","2020-06-09",9.83
"186","2020-06-10",9.86
"187","2020-06-11",9.82
"188","2020-06-12",9.83
"189","2020-06-15",9.83
"190","2020-06-16",9.83
"191","2020-06-17",9.83
"192","2020-06-18",9.83
"193","2020-06-19",9.95
"194","2020-06-22",10
"195","2020-06-23",10.03
"196","2020-06-24",10.02
"197","2020-06-25",9.96
"198","2020-06-26",9.96
"199","2020-06-29",10.04
"200","2020-06-30",10.047
"201","2020-07-01",10.059
"202","2020-07-02",9.945
"203","2020-07-06",9.985
"204","2020-07-07",9.985
"205","2020-07-08",9.985
"206","2020-07-09",10.1
"207","2020-07-10",10.08
"208","2020-07-13",10.06
"209","2020-07-14",10.04
"210","2020-07-15",10.08
