"","date","SWKS"
"1","2007-01-03",7.26
"2","2007-01-04",7.34
"3","2007-01-05",6.75
"4","2007-01-08",6.91
"5","2007-01-09",7.1
"6","2007-01-10",7.01
"7","2007-01-11",7.34
"8","2007-01-12",7.48
"9","2007-01-16",7.37
"10","2007-01-17",7.34
"11","2007-01-18",6.93
"12","2007-01-19",6.89
"13","2007-01-22",6.62
"14","2007-01-23",6.68
"15","2007-01-24",7.07
"16","2007-01-25",7
"17","2007-01-26",6.73
"18","2007-01-29",6.59
"19","2007-01-30",6.52
"20","2007-01-31",6.57
"21","2007-02-01",6.74
"22","2007-02-02",6.78
"23","2007-02-05",6.83
"24","2007-02-06",6.65
"25","2007-02-07",6.89
"26","2007-02-08",6.88
"27","2007-02-09",6.69
"28","2007-02-12",6.65
"29","2007-02-13",6.52
"30","2007-02-14",6.57
"31","2007-02-15",6.61
"32","2007-02-16",6.73
"33","2007-02-20",6.92
"34","2007-02-21",6.79
"35","2007-02-22",6.84
"36","2007-02-23",6.97
"37","2007-02-26",7.06
"38","2007-02-27",6.68
"39","2007-02-28",6.6
"40","2007-03-01",6.49
"41","2007-03-02",6.41
"42","2007-03-05",6.24
"43","2007-03-06",6.5
"44","2007-03-07",6.51
"45","2007-03-08",6.54
"46","2007-03-09",6.66
"47","2007-03-12",6.69
"48","2007-03-13",6.58
"49","2007-03-14",6.52
"50","2007-03-15",6.63
"51","2007-03-16",6.53
"52","2007-03-19",6.43
"53","2007-03-20",6.4
"54","2007-03-21",6.51
"55","2007-03-22",6.05
"56","2007-03-23",5.87
"57","2007-03-26",6.04
"58","2007-03-27",6
"59","2007-03-28",5.88
"60","2007-03-29",5.67
"61","2007-03-30",5.75
"62","2007-04-02",5.71
"63","2007-04-03",5.69
"64","2007-04-04",5.71
"65","2007-04-05",5.83
"66","2007-04-09",5.93
"67","2007-04-10",6.14
"68","2007-04-11",6.13
"69","2007-04-12",6.2
"70","2007-04-13",6.34
"71","2007-04-16",6.34
"72","2007-04-17",6.26
"73","2007-04-18",6.39
"74","2007-04-19",6.51
"75","2007-04-20",6.4
"76","2007-04-23",6.19
"77","2007-04-24",6.33
"78","2007-04-25",6.16
"79","2007-04-26",7.45
"80","2007-04-27",7.18
"81","2007-04-30",6.89
"82","2007-05-01",6.89
"83","2007-05-02",6.97
"84","2007-05-03",7
"85","2007-05-04",7.07
"86","2007-05-07",6.96
"87","2007-05-08",7.09
"88","2007-05-09",7.15
"89","2007-05-10",6.96
"90","2007-05-11",7.19
"91","2007-05-14",7.33
"92","2007-05-15",7.14
"93","2007-05-16",7.3
"94","2007-05-17",7.22
"95","2007-05-18",7.25
"96","2007-05-21",7.24
"97","2007-05-22",7.41
"98","2007-05-23",7.47
"99","2007-05-24",7.15
"100","2007-05-25",7.34
"101","2007-05-29",7.3
"102","2007-05-30",7.1
"103","2007-05-31",7.09
"104","2007-06-01",7.27
"105","2007-06-04",7.29
"106","2007-06-05",7.29
"107","2007-06-06",7.29
"108","2007-06-07",7.21
"109","2007-06-08",7.41
"110","2007-06-11",7.33
"111","2007-06-12",7.11
"112","2007-06-13",7.2
"113","2007-06-14",7.21
"114","2007-06-15",7.2
"115","2007-06-18",7.26
"116","2007-06-19",7.25
"117","2007-06-20",7.17
"118","2007-06-21",7.34
"119","2007-06-22",7.21
"120","2007-06-25",7.19
"121","2007-06-26",7.26
"122","2007-06-27",7.38
"123","2007-06-28",7.31
"124","2007-06-29",7.35
"125","2007-07-02",7.61
"126","2007-07-03",7.69
"127","2007-07-05",7.67
"128","2007-07-06",7.75
"129","2007-07-09",7.74
"130","2007-07-10",7.66
"131","2007-07-11",8.08
"132","2007-07-12",8.23
"133","2007-07-13",8.33
"134","2007-07-16",8.46
"135","2007-07-17",8.36
"136","2007-07-18",8.25
"137","2007-07-19",8.88
"138","2007-07-20",8.78
"139","2007-07-23",8.8
"140","2007-07-24",8.45
"141","2007-07-25",8.39
"142","2007-07-26",8.02
"143","2007-07-27",7.81
"144","2007-07-30",8.06
"145","2007-07-31",7.92
"146","2007-08-01",7.85
"147","2007-08-02",8.03
"148","2007-08-03",7.76
"149","2007-08-06",7.83
"150","2007-08-07",7.48
"151","2007-08-08",7.23
"152","2007-08-09",6.93
"153","2007-08-10",7.4
"154","2007-08-13",7.55
"155","2007-08-14",7.5
"156","2007-08-15",7.18
"157","2007-08-16",7.21
"158","2007-08-17",7.68
"159","2007-08-20",7.5
"160","2007-08-21",7.65
"161","2007-08-22",7.82
"162","2007-08-23",7.75
"163","2007-08-24",7.9
"164","2007-08-27",7.68
"165","2007-08-28",7.49
"166","2007-08-29",7.46
"167","2007-08-30",7.56
"168","2007-08-31",7.89
"169","2007-09-04",8.29
"170","2007-09-05",8.1
"171","2007-09-06",8.22
"172","2007-09-07",8.06
"173","2007-09-10",8.03
"174","2007-09-11",8.15
"175","2007-09-12",8.35
"176","2007-09-13",8.43
"177","2007-09-14",8.54
"178","2007-09-17",8.51
"179","2007-09-18",8.76
"180","2007-09-19",8.71
"181","2007-09-20",9.04
"182","2007-09-21",9.34
"183","2007-09-24",9.19
"184","2007-09-25",9.44
"185","2007-09-26",9.34
"186","2007-09-27",9.21
"187","2007-09-28",9.04
"188","2007-10-01",9
"189","2007-10-02",9.13
"190","2007-10-03",8.75
"191","2007-10-04",8.78
"192","2007-10-05",9.11
"193","2007-10-08",9.1
"194","2007-10-09",9.07
"195","2007-10-10",9.07
"196","2007-10-11",8.82
"197","2007-10-12",8.97
"198","2007-10-15",8.94
"199","2007-10-16",9.01
"200","2007-10-17",9.16
"201","2007-10-18",9.17
"202","2007-10-19",8.8
"203","2007-10-22",8.8
"204","2007-10-23",8.94
"205","2007-10-24",8.71
"206","2007-10-25",8.41
"207","2007-10-26",8.64
"208","2007-10-29",8.97
"209","2007-10-30",9.16
"210","2007-10-31",9.22
"211","2007-11-01",9.05
"212","2007-11-02",9.24
"213","2007-11-05",9.3
"214","2007-11-06",9.33
"215","2007-11-07",8.77
"216","2007-11-08",8.44
"217","2007-11-09",8.08
"218","2007-11-12",8.04
"219","2007-11-13",8.46
"220","2007-11-14",8.6
"221","2007-11-15",8.8
"222","2007-11-16",8.92
"223","2007-11-19",8.58
"224","2007-11-20",8.2
"225","2007-11-21",8.01
"226","2007-11-23",8.33
"227","2007-11-26",8.15
"228","2007-11-27",8.37
"229","2007-11-28",8.84
"230","2007-11-29",8.91
"231","2007-11-30",9.08
"232","2007-12-03",8.69
"233","2007-12-04",8.66
"234","2007-12-05",9.22
"235","2007-12-06",9.36
"236","2007-12-07",9.27
"237","2007-12-10",9.28
"238","2007-12-11",8.86
"239","2007-12-12",8.98
"240","2007-12-13",9
"241","2007-12-14",8.84
"242","2007-12-17",8.44
"243","2007-12-18",8.44
"244","2007-12-19",8.43
"245","2007-12-20",8.64
"246","2007-12-21",8.66
"247","2007-12-24",8.88
"248","2007-12-26",8.92
"249","2007-12-27",8.74
"250","2007-12-28",8.65
"251","2007-12-31",8.5
"252","2008-01-02",8.35
"253","2008-01-03",8.35
"254","2008-01-04",7.58
"255","2008-01-07",7.74
"256","2008-01-08",7.48
"257","2008-01-09",7.69
"258","2008-01-10",7.93
"259","2008-01-11",7.33
"260","2008-01-14",7.56
"261","2008-01-15",7.31
"262","2008-01-16",7.41
"263","2008-01-17",7.06
"264","2008-01-18",8.22
"265","2008-01-22",8.32
"266","2008-01-23",8.22
"267","2008-01-24",8.56
"268","2008-01-25",8.22
"269","2008-01-28",8.23
"270","2008-01-29",8.3
"271","2008-01-30",8.05
"272","2008-01-31",8.05
"273","2008-02-01",8.33
"274","2008-02-04",8.14
"275","2008-02-05",8.05
"276","2008-02-06",7.62
"277","2008-02-07",8.01
"278","2008-02-08",8.18
"279","2008-02-11",8.4
"280","2008-02-12",8.61
"281","2008-02-13",8.71
"282","2008-02-14",8.37
"283","2008-02-15",8.11
"284","2008-02-19",8.18
"285","2008-02-20",8.47
"286","2008-02-21",8.58
"287","2008-02-22",8.57
"288","2008-02-25",8.74
"289","2008-02-26",9.03
"290","2008-02-27",8.85
"291","2008-02-28",8.55
"292","2008-02-29",8.26
"293","2008-03-03",8.07
"294","2008-03-04",7.91
"295","2008-03-05",8.32
"296","2008-03-06",8.06
"297","2008-03-07",7.78
"298","2008-03-10",7.48
"299","2008-03-11",7.46
"300","2008-03-12",7.42
"301","2008-03-13",7.57
"302","2008-03-14",7.62
"303","2008-03-17",7.24
"304","2008-03-18",7.72
"305","2008-03-19",6.83
"306","2008-03-20",6.71
"307","2008-03-24",7.17
"308","2008-03-25",7.13
"309","2008-03-26",7
"310","2008-03-27",6.88
"311","2008-03-28",7.07
"312","2008-03-31",7.28
"313","2008-04-01",7.73
"314","2008-04-02",7.51
"315","2008-04-03",7.63
"316","2008-04-04",7.67
"317","2008-04-07",7.86
"318","2008-04-08",7.73
"319","2008-04-09",7.87
"320","2008-04-10",7.89
"321","2008-04-11",7.53
"322","2008-04-14",7.29
"323","2008-04-15",7.47
"324","2008-04-16",7.8
"325","2008-04-17",7.44
"326","2008-04-18",7.47
"327","2008-04-21",7.31
"328","2008-04-22",7.37
"329","2008-04-23",8.49
"330","2008-04-24",8.69
"331","2008-04-25",8.66
"332","2008-04-28",9.01
"333","2008-04-29",8.8
"334","2008-04-30",8.69
"335","2008-05-01",8.92
"336","2008-05-02",8.81
"337","2008-05-05",8.46
"338","2008-05-06",8.54
"339","2008-05-07",8.27
"340","2008-05-08",8.39
"341","2008-05-09",8.28
"342","2008-05-12",8.48
"343","2008-05-13",8.38
"344","2008-05-14",8.51
"345","2008-05-15",9.25
"346","2008-05-16",9.3
"347","2008-05-19",9
"348","2008-05-20",9
"349","2008-05-21",8.93
"350","2008-05-22",9.12
"351","2008-05-23",9.3
"352","2008-05-27",9.5
"353","2008-05-28",9.92
"354","2008-05-29",9.81
"355","2008-05-30",10.33
"356","2008-06-02",9.91
"357","2008-06-03",10.12
"358","2008-06-04",10.65
"359","2008-06-05",10.97
"360","2008-06-06",10.65
"361","2008-06-09",11.2
"362","2008-06-10",10.81
"363","2008-06-11",10.72
"364","2008-06-12",10.61
"365","2008-06-13",10.85
"366","2008-06-16",11.15
"367","2008-06-17",10.85
"368","2008-06-18",10.27
"369","2008-06-19",10.64
"370","2008-06-20",10.09
"371","2008-06-23",9.76
"372","2008-06-24",9.59
"373","2008-06-25",9.86
"374","2008-06-26",9.71
"375","2008-06-27",9.56
"376","2008-06-30",9.87
"377","2008-07-01",9.4
"378","2008-07-02",9.86
"379","2008-07-03",9.68
"380","2008-07-07",9.89
"381","2008-07-08",9.92
"382","2008-07-09",10.1
"383","2008-07-10",10.1
"384","2008-07-11",10.06
"385","2008-07-14",9.86
"386","2008-07-15",9.86
"387","2008-07-16",10.3
"388","2008-07-17",10.85
"389","2008-07-18",10.25
"390","2008-07-21",10.25
"391","2008-07-22",9.01
"392","2008-07-23",8.93
"393","2008-07-24",9.05
"394","2008-07-25",9.11
"395","2008-07-28",9.05
"396","2008-07-29",9.22
"397","2008-07-30",9.33
"398","2008-07-31",9.46
"399","2008-08-01",9.47
"400","2008-08-04",9.17
"401","2008-08-05",9.27
"402","2008-08-06",9.25
"403","2008-08-07",9.41
"404","2008-08-08",9.51
"405","2008-08-11",9.95
"406","2008-08-12",9.84
"407","2008-08-13",9.82
"408","2008-08-14",9.99
"409","2008-08-15",9.79
"410","2008-08-18",9.4
"411","2008-08-19",9.2
"412","2008-08-20",9.3
"413","2008-08-21",9.12
"414","2008-08-22",9.1
"415","2008-08-25",9.24
"416","2008-08-26",9.57
"417","2008-08-27",9.87
"418","2008-08-28",10.03
"419","2008-08-29",9.7
"420","2008-09-02",9.34
"421","2008-09-03",9.25
"422","2008-09-04",9.2
"423","2008-09-05",8.9
"424","2008-09-08",8.22
"425","2008-09-09",8
"426","2008-09-10",8.52
"427","2008-09-11",8.51
"428","2008-09-12",8.41
"429","2008-09-15",8.05
"430","2008-09-16",8.71
"431","2008-09-17",8.42
"432","2008-09-18",8.45
"433","2008-09-19",8.99
"434","2008-09-22",8.71
"435","2008-09-23",8.63
"436","2008-09-24",8.55
"437","2008-09-25",8.46
"438","2008-09-26",8.41
"439","2008-09-29",8.04
"440","2008-09-30",8.36
"441","2008-10-01",8.27
"442","2008-10-02",7.5
"443","2008-10-03",7.47
"444","2008-10-06",7.51
"445","2008-10-07",6.85
"446","2008-10-08",6.58
"447","2008-10-09",6.34
"448","2008-10-10",6.48
"449","2008-10-13",7
"450","2008-10-14",6.79
"451","2008-10-15",5.97
"452","2008-10-16",6.55
"453","2008-10-17",6.38
"454","2008-10-20",6.67
"455","2008-10-21",6.38
"456","2008-10-22",6.16
"457","2008-10-23",5.84
"458","2008-10-24",6.16
"459","2008-10-27",5.99
"460","2008-10-28",6.19
"461","2008-10-29",6.6
"462","2008-10-30",6.85
"463","2008-10-31",7.13
"464","2008-11-03",6.96
"465","2008-11-04",7.18
"466","2008-11-05",7.1
"467","2008-11-06",6.42
"468","2008-11-07",6.3
"469","2008-11-10",6.12
