"","date","NCBS"
"1","2013-05-17",16
"2","2013-05-20",16
"3","2013-05-21",15.99
"4","2013-05-22",15.99
"5","2013-05-23",16
"6","2013-05-24",16
"7","2013-05-28",16
"8","2013-05-29",16
"9","2013-05-30",16
"10","2013-05-31",16
"11","2013-06-03",15.8
"12","2013-06-04",16
"13","2013-06-05",16
"14","2013-06-06",16
"15","2013-06-07",16.5
"16","2013-06-10",16.5
"17","2013-06-11",16.5
"18","2013-06-12",16
"19","2013-06-13",16
"20","2013-06-14",16
"21","2013-06-17",16
"22","2013-06-18",16
"23","2013-06-19",16
"24","2013-06-20",17.5
"25","2013-06-21",16.5
"26","2013-06-24",16.5
"27","2013-06-25",16.5
"28","2013-06-26",16.5
"29","2013-06-27",16.5
"30","2013-06-28",16.5
"31","2013-07-01",16.5
"32","2013-07-02",16.5
"33","2013-07-03",16.5
"34","2013-07-05",16.5
"35","2013-07-08",16.5
"36","2013-07-09",15.77
"37","2013-07-10",15.92
"38","2013-07-11",15.92
"39","2013-07-12",16.15
"40","2013-07-15",16.5
"41","2013-07-16",16.5
"42","2013-07-17",16.15
"43","2013-07-18",16.5
"44","2013-07-19",16.5
"45","2013-07-22",16.16
"46","2013-07-23",16.02
"47","2013-07-24",16.02
"48","2013-07-25",15.86
"49","2013-07-26",15.86
"50","2013-07-29",16.4
"51","2013-07-30",16
"52","2013-07-31",16
"53","2013-08-01",16.25
"54","2013-08-02",16.4
"55","2013-08-05",15.88
"56","2013-08-06",16.5
"57","2013-08-07",16.5
"58","2013-08-08",16.5
"59","2013-08-09",15.88
"60","2013-08-12",16.25
"61","2013-08-13",16.959999
"62","2013-08-14",16.75
"63","2013-08-15",16.75
"64","2013-08-16",16.5
"65","2013-08-19",16.5
"66","2013-08-20",16.1
"67","2013-08-21",16.5
"68","2013-08-22",16.5
"69","2013-08-23",16.4
"70","2013-08-26",16.4
"71","2013-08-27",16.4
"72","2013-08-28",16.4
"73","2013-08-29",16.4
"74","2013-08-30",16.4
"75","2013-09-03",17
"76","2013-09-04",16.25
"77","2013-09-05",16.75
"78","2013-09-06",16.4
"79","2013-09-09",16.25
"80","2013-09-10",16.5
"81","2013-09-11",16.25
"82","2013-09-12",16.209999
"83","2013-09-13",16.209999
"84","2013-09-16",16.209999
"85","2013-09-17",16.209999
"86","2013-09-18",16.209999
"87","2013-09-19",16.209999
"88","2013-09-20",16.5
"89","2013-09-23",16.51
"90","2013-09-24",16.51
"91","2013-09-25",16.51
"92","2013-09-26",16.51
"93","2013-09-27",16.51
"94","2013-09-30",16.51
"95","2013-10-01",16.51
"96","2013-10-02",16.5
"97","2013-10-03",16.5
"98","2013-10-04",16.5
"99","2013-10-07",16.5
"100","2013-10-08",16.5
"101","2013-10-09",16.25
"102","2013-10-10",16.25
"103","2013-10-11",16.5
"104","2013-10-14",16.5
"105","2013-10-15",16.190001
"106","2013-10-16",16.25
"107","2013-10-17",16.26
"108","2013-10-18",16.6
"109","2013-10-21",16.6
"110","2013-10-22",16.51
"111","2013-10-23",16.950001
"112","2013-10-24",16.950001
"113","2013-10-25",16.709999
"114","2013-10-28",16.709999
"115","2013-10-29",16.65
"116","2013-10-30",17
"117","2013-10-31",16.799999
"118","2013-11-01",16.799999
"119","2013-11-04",17
"120","2013-11-05",16.709999
"121","2013-11-06",16.950001
"122","2013-11-07",16.950001
"123","2013-11-08",16.940001
"124","2013-11-11",16.940001
"125","2013-11-12",16.940001
"126","2013-11-13",16.889999
"127","2013-11-14",16.889999
"128","2013-11-15",16.889999
"129","2013-11-18",16.67
"130","2013-11-19",16.67
"131","2013-11-20",16.65
"132","2013-11-21",16.59
"133","2013-11-22",16.65
"134","2013-11-25",16.5
"135","2013-11-26",16.51
"136","2013-11-27",16.690001
"137","2013-11-29",16.690001
"138","2013-12-02",16.690001
"139","2013-12-03",16.690001
"140","2013-12-04",16.690001
"141","2013-12-05",16.75
"142","2013-12-06",16.75
"143","2013-12-09",16.780001
"144","2013-12-10",16.780001
"145","2013-12-11",16.6
"146","2013-12-12",16.6
"147","2013-12-13",16.6
"148","2013-12-16",16.6
"149","2013-12-17",16.6
"150","2013-12-18",16.889999
"151","2013-12-19",16.889999
"152","2013-12-20",16.799999
"153","2013-12-23",16.799999
"154","2013-12-24",16.549999
"155","2013-12-26",16.549999
"156","2013-12-27",16.549999
"157","2013-12-30",16.549999
"158","2013-12-31",16.540001
"159","2014-01-02",16.540001
"160","2014-01-03",16.549999
"161","2014-01-06",16.59
"162","2014-01-07",16.59
"163","2014-01-08",16.6
"164","2014-01-09",16.75
"165","2014-01-10",16.75
"166","2014-01-13",16.93
