"","date","ADT"
"1","2018-01-19",12.39
"2","2018-01-22",11.45
"3","2018-01-23",11.91
"4","2018-01-24",11.91
"5","2018-01-25",11.9
"6","2018-01-26",11.9
"7","2018-01-29",12.08
"8","2018-01-30",12.4
"9","2018-01-31",12.48
"10","2018-02-01",12.75
"11","2018-02-02",12.86
"12","2018-02-05",12.64
"13","2018-02-06",12.3
"14","2018-02-07",12.51
"15","2018-02-08",12.37
"16","2018-02-09",12.64
"17","2018-02-12",12.68
"18","2018-02-13",12.15
"19","2018-02-14",11.94
"20","2018-02-15",11.69
"21","2018-02-16",11.58
"22","2018-02-20",11.59
"23","2018-02-21",11.65
"24","2018-02-22",11.91
"25","2018-02-23",11.98
"26","2018-02-26",12.15
"27","2018-02-27",11.6
"28","2018-02-28",10.56
"29","2018-03-01",10.68
"30","2018-03-02",11.07
"31","2018-03-05",10.72
"32","2018-03-06",10.35
"33","2018-03-07",10.4
"34","2018-03-08",10.52
"35","2018-03-09",10.53
"36","2018-03-12",10.71
"37","2018-03-13",10.54
"38","2018-03-14",10.21
"39","2018-03-15",8.93
"40","2018-03-16",8.73
"41","2018-03-19",9.14
"42","2018-03-20",8.96
"43","2018-03-21",8.97
"44","2018-03-22",8.67
"45","2018-03-23",8.1
"46","2018-03-26",7.95
"47","2018-03-27",7.56
"48","2018-03-28",7.6
"49","2018-03-29",7.93
"50","2018-04-02",7.83
"51","2018-04-03",7.55
"52","2018-04-04",7.85
"53","2018-04-05",8.81
"54","2018-04-06",8.75
"55","2018-04-09",9.12
"56","2018-04-10",9.05
"57","2018-04-11",9.02
"58","2018-04-12",9.1
"59","2018-04-13",8.99
"60","2018-04-16",8.99
"61","2018-04-17",9.25
"62","2018-04-18",9.56
"63","2018-04-19",9.38
"64","2018-04-20",9.3
"65","2018-04-23",8.95
"66","2018-04-24",8.99
"67","2018-04-25",9.12
"68","2018-04-26",9.08
"69","2018-04-27",9.11
"70","2018-04-30",8.91
"71","2018-05-01",8.68
"72","2018-05-02",8.7
"73","2018-05-03",8.28
"74","2018-05-04",8.08
"75","2018-05-07",8.44
"76","2018-05-08",8.57
"77","2018-05-09",7.82
"78","2018-05-10",7.92
"79","2018-05-11",7.4
"80","2018-05-14",7.3
"81","2018-05-15",7.13
"82","2018-05-16",7
"83","2018-05-17",7.17
"84","2018-05-18",7.27
"85","2018-05-21",7.75
"86","2018-05-22",7.64
