"","date","BSGM"
"1","2014-10-31",8.75
"2","2014-11-03",8.75
"3","2014-11-04",8.125
"4","2014-11-05",7.875
"5","2014-11-06",7.5
"6","2014-11-07",7.5
"7","2014-11-10",7.625
"8","2014-11-11",7.6
"9","2014-11-12",7.625
"10","2014-11-13",7.75
"11","2014-11-14",7.125
"12","2014-11-17",7.125
"13","2014-11-18",7.125
"14","2014-11-19",7.075
"15","2014-11-20",7.075
"16","2014-11-21",7.25
"17","2014-11-24",7.25
"18","2014-11-25",7.25
"19","2014-11-26",7.25
"20","2014-11-28",7.25
"21","2014-12-01",7.475
"22","2014-12-02",7.125
"23","2014-12-03",7.125
"24","2014-12-04",7.125
"25","2014-12-05",7.125
"26","2014-12-08",7.175
"27","2014-12-09",7.175
"28","2014-12-10",7.175
"29","2014-12-11",7.2
"30","2014-12-12",7.05
"31","2014-12-15",7.05
"32","2014-12-16",7.1
"33","2014-12-17",7.05
"34","2014-12-18",7.075
"35","2014-12-19",7.075
"36","2014-12-22",6.75
"37","2014-12-23",6.75
"38","2014-12-24",6.75
"39","2014-12-26",6.4
"40","2014-12-29",7
"41","2014-12-30",6.975
"42","2014-12-31",7
"43","2015-01-02",7
"44","2015-01-05",6.975
"45","2015-01-06",6.875
"46","2015-01-07",6.9
"47","2015-01-08",7.1125
"48","2015-01-09",6.55
"49","2015-01-12",6.1
"50","2015-01-13",5.725
"51","2015-01-14",5.625
"52","2015-01-15",6.25
"53","2015-01-16",5.75
"54","2015-01-20",5.15
"55","2015-01-21",5.225
"56","2015-01-22",5.275
"57","2015-01-23",5.5
"58","2015-01-26",5.225
"59","2015-01-27",4.875
"60","2015-01-28",5.275
"61","2015-01-29",5.375
"62","2015-01-30",4.975
"63","2015-02-02",4.975
"64","2015-02-03",4.975
"65","2015-02-04",4.875
"66","2015-02-05",4.875
"67","2015-02-06",4.375
"68","2015-02-09",6.1875
"69","2015-02-10",5
"70","2015-02-11",5
"71","2015-02-12",5.25
"72","2015-02-13",4.775
"73","2015-02-17",5.275
"74","2015-02-18",5.3325
"75","2015-02-19",4.975
"76","2015-02-20",5.05
"77","2015-02-23",5.6
"78","2015-02-24",5.6
"79","2015-02-25",4.425
"80","2015-02-26",5.225
"81","2015-02-27",5.375
"82","2015-03-02",5.66
"83","2015-03-03",5.125
"84","2015-03-04",5.09
"85","2015-03-05",5.125
"86","2015-03-06",4.975
"87","2015-03-09",4.5
"88","2015-03-10",4.75
"89","2015-03-11",4.75
"90","2015-03-12",4.375
"91","2015-03-13",4.625
"92","2015-03-16",4.625
"93","2015-03-17",4.75
"94","2015-03-18",4.725
"95","2015-03-19",4.5
"96","2015-03-20",4.725
"97","2015-03-23",4.375
"98","2015-03-24",4.375
"99","2015-03-25",4.5
"100","2015-03-26",4.5
"101","2015-03-27",4.375
"102","2015-03-30",4.375
"103","2015-03-31",6
"104","2015-04-01",6.25
"105","2015-04-02",6.5
"106","2015-04-06",6.875
"107","2015-04-07",7.6
"108","2015-04-08",8.75
"109","2015-04-09",9.975
"110","2015-04-10",11.55
"111","2015-04-13",11
"112","2015-04-14",9.25
"113","2015-04-15",9.25
"114","2015-04-16",10
"115","2015-04-17",9.725
"116","2015-04-20",9.375
"117","2015-04-21",9.75
"118","2015-04-22",9.375
"119","2015-04-23",9.5
"120","2015-04-24",9.05
"121","2015-04-27",8.2
"122","2015-04-28",8
"123","2015-04-29",7.75
"124","2015-04-30",7.25
"125","2015-05-01",7.75
"126","2015-05-04",7.25
"127","2015-05-05",5.625
"128","2015-05-06",5.55
"129","2015-05-07",5.775
"130","2015-05-08",7.375
"131","2015-05-11",5.75
"132","2015-05-12",6.75
"133","2015-05-13",6.875
"134","2015-05-14",7.5
"135","2015-05-15",6.875
"136","2015-05-18",7.275
"137","2015-05-19",6.775
"138","2015-05-20",6.75
"139","2015-05-21",6.25
"140","2015-05-22",6.875
"141","2015-05-26",6.875
"142","2015-05-27",7.5
"143","2015-05-28",6.875
"144","2015-05-29",6.95
"145","2015-06-01",6.375
"146","2015-06-02",5.95
"147","2015-06-03",6.75
"148","2015-06-04",7.25
"149","2015-06-05",7
"150","2015-06-08",7.25
"151","2015-06-09",7
"152","2015-06-10",6.875
"153","2015-06-11",6.9
"154","2015-06-12",6.625
"155","2015-06-15",6.25
"156","2015-06-16",6.25
"157","2015-06-17",6.125
"158","2015-06-18",5.3
"159","2015-06-19",6
"160","2015-06-22",6
"161","2015-06-23",6.25
"162","2015-06-24",5.525
"163","2015-06-25",5.75
"164","2015-06-26",5.875
"165","2015-06-29",5.85
"166","2015-06-30",5.75
"167","2015-07-01",5.475
"168","2015-07-02",5.475
"169","2015-07-06",4.775
"170","2015-07-07",5.125
"171","2015-07-08",4.775
"172","2015-07-09",4.975
"173","2015-07-10",5
"174","2015-07-13",4.75
"175","2015-07-14",4.5
"176","2015-07-15",5
"177","2015-07-16",4.525
"178","2015-07-17",4.8
"179","2015-07-20",4.875
"180","2015-07-21",5
"181","2015-07-22",4.625
"182","2015-07-23",4.025
"183","2015-07-24",4.625
"184","2015-07-27",4.35
"185","2015-07-28",4.45
"186","2015-07-29",4.5
"187","2015-07-30",4.25
"188","2015-07-31",4.375
"189","2015-08-03",4.2
"190","2015-08-04",4.375
"191","2015-08-05",4.45
"192","2015-08-06",4.35
"193","2015-08-07",4.4
"194","2015-08-10",4
"195","2015-08-11",4.25
"196","2015-08-12",4.375
"197","2015-08-13",4.25
"198","2015-08-14",4.25
"199","2015-08-17",4
"200","2015-08-18",4
"201","2015-08-19",4
"202","2015-08-20",3.8
"203","2015-08-21",3.75
"204","2015-08-24",3.425
"205","2015-08-25",3.875
"206","2015-08-26",3.875
"207","2015-08-27",4
"208","2015-08-28",3.775
"209","2015-08-31",3.975
"210","2015-09-01",4
"211","2015-09-02",3.875
"212","2015-09-03",4
"213","2015-09-04",4.125
"214","2015-09-08",4
"215","2015-09-09",4.125
"216","2015-09-10",4.25
"217","2015-09-11",4.125
"218","2015-09-14",3.875
"219","2015-09-15",3.875
"220","2015-09-16",3.75
"221","2015-09-17",3.75
"222","2015-09-18",4.125
"223","2015-09-21",4
"224","2015-09-22",3.55
"225","2015-09-23",4
"226","2015-09-24",4.175
"227","2015-09-25",4.175
"228","2015-09-28",4.175
"229","2015-09-29",3.525
"230","2015-09-30",3.5
"231","2015-10-01",4.25
"232","2015-10-02",4
"233","2015-10-05",3.75
"234","2015-10-06",3.475
"235","2015-10-07",4
"236","2015-10-08",4
"237","2015-10-09",4
"238","2015-10-12",4
"239","2015-10-13",3.875
"240","2015-10-14",3.75
"241","2015-10-15",3.75
"242","2015-10-16",4.225
"243","2015-10-19",3.875
"244","2015-10-20",3.55
"245","2015-10-21",3.975
