"","date","XPER"
"1","2007-01-03",40.290001
"2","2007-01-04",40.900002
"3","2007-01-05",40.200001
"4","2007-01-08",39.950001
"5","2007-01-09",40.200001
"6","2007-01-10",40.200001
"7","2007-01-11",41.689999
"8","2007-01-12",41.740002
"9","2007-01-16",41.5
"10","2007-01-17",41.599998
"11","2007-01-18",39.560001
"12","2007-01-19",39.580002
"13","2007-01-22",38.91
"14","2007-01-23",37.790001
"15","2007-01-24",38.380001
"16","2007-01-25",38.16
"17","2007-01-26",38.900002
"18","2007-01-29",38.650002
"19","2007-01-30",39.07
"20","2007-01-31",38.240002
"21","2007-02-01",42.66
"22","2007-02-02",42.080002
"23","2007-02-05",41.790001
"24","2007-02-06",42.169998
"25","2007-02-07",42.09
"26","2007-02-08",41.959999
"27","2007-02-09",40.509998
"28","2007-02-12",39.860001
"29","2007-02-13",40.540001
"30","2007-02-14",41
"31","2007-02-15",41.119999
"32","2007-02-16",41.540001
"33","2007-02-20",41.73
"34","2007-02-21",42.68
"35","2007-02-22",42.900002
"36","2007-02-23",43.380001
"37","2007-02-26",43.349998
"38","2007-02-27",40.68
"39","2007-02-28",40.360001
"40","2007-03-01",40.009998
"41","2007-03-02",38.48
"42","2007-03-05",38.330002
"43","2007-03-06",39.27
"44","2007-03-07",38.619999
"45","2007-03-08",39.759998
"46","2007-03-09",39.869999
"47","2007-03-12",39.869999
"48","2007-03-13",38.889999
"49","2007-03-14",38.900002
"50","2007-03-15",40.439999
"51","2007-03-16",39.360001
"52","2007-03-19",39.209999
"53","2007-03-20",40.540001
"54","2007-03-21",41.740002
"55","2007-03-22",41.150002
"56","2007-03-23",40.82
"57","2007-03-26",41.380001
"58","2007-03-27",41.07
"59","2007-03-28",40.290001
"60","2007-03-29",40.189999
"61","2007-03-30",39.740002
"62","2007-04-02",40.5
"63","2007-04-03",40.939999
"64","2007-04-04",41.84
"65","2007-04-05",41.939999
"66","2007-04-09",41.77
"67","2007-04-10",40.990002
"68","2007-04-11",41.330002
"69","2007-04-12",42.150002
"70","2007-04-13",41.799999
"71","2007-04-16",41.990002
"72","2007-04-17",42.040001
"73","2007-04-18",41.970001
"74","2007-04-19",41.259998
"75","2007-04-20",42.34
"76","2007-04-23",42.259998
"77","2007-04-24",42.66
"78","2007-04-25",42.84
"79","2007-04-26",42.709999
"80","2007-04-27",43.220001
"81","2007-04-30",42.790001
"82","2007-05-01",41.52
"83","2007-05-02",41.830002
"84","2007-05-03",42.389999
"85","2007-05-04",45.330002
