"","date","SUMO"
"1","2020-09-17",26.879999
"2","2020-09-18",25.6
"3","2020-09-21",23.639999
"4","2020-09-22",24.950001
"5","2020-09-23",23.74
"6","2020-09-24",23.57
"7","2020-09-25",22.200001
"8","2020-09-28",22.459999
"9","2020-09-29",21.950001
"10","2020-09-30",21.799999
"11","2020-10-01",21.969999
"12","2020-10-02",23.120001
"13","2020-10-05",22.360001
"14","2020-10-06",24.639999
"15","2020-10-07",25.23
"16","2020-10-08",24.200001
"17","2020-10-09",24.280001
"18","2020-10-12",23.43
"19","2020-10-13",22.15
"20","2020-10-14",22.01
"21","2020-10-15",22.620001
"22","2020-10-16",22.049999
"23","2020-10-19",21.43
"24","2020-10-20",21.200001
"25","2020-10-21",19.68
"26","2020-10-22",20
"27","2020-10-23",19.030001
"28","2020-10-26",18.91
"29","2020-10-27",19.290001
"30","2020-10-28",18.280001
"31","2020-10-29",17.92
"32","2020-10-30",17.280001
"33","2020-11-02",17.74
"34","2020-11-03",19.219999
"35","2020-11-04",18.559999
"36","2020-11-05",20.059999
"37","2020-11-06",20.57
"38","2020-11-09",19.32
"39","2020-11-10",19.209999
"40","2020-11-11",19.5
"41","2020-11-12",19.540001
"42","2020-11-13",18.950001
"43","2020-11-16",19.02
"44","2020-11-17",19.450001
"45","2020-11-18",19.01
"46","2020-11-19",19.26
"47","2020-11-20",21.120001
"48","2020-11-23",21.15
"49","2020-11-24",21.27
"50","2020-11-25",23.57
"51","2020-11-27",25.639999
