"","date","CD"
"1","2020-09-30",16.23
"2","2020-10-01",13.9
"3","2020-10-02",14
"4","2020-10-05",14.23
"5","2020-10-06",15.1
"6","2020-10-07",15.92
"7","2020-10-08",14.84
"8","2020-10-09",15.41
"9","2020-10-12",14.74
"10","2020-10-13",14.38
"11","2020-10-14",14
"12","2020-10-15",14
"13","2020-10-16",13.82
"14","2020-10-19",13.99
"15","2020-10-20",13.51
"16","2020-10-21",13.5
"17","2020-10-22",13.59
"18","2020-10-23",13.59
"19","2020-10-26",13.63
"20","2020-10-27",13.53
"21","2020-10-28",13.58
"22","2020-10-29",13.6
"23","2020-10-30",13.94
"24","2020-11-02",13.84
"25","2020-11-03",14.1
"26","2020-11-04",14.85
"27","2020-11-05",14.74
"28","2020-11-06",15.88
"29","2020-11-09",15.4
"30","2020-11-10",15.03
"31","2020-11-11",14.88
"32","2020-11-12",15.07
"33","2020-11-13",15.04
"34","2020-11-16",16.42
"35","2020-11-17",16.309999
"36","2020-11-18",16.34
"37","2020-11-19",16.540001
"38","2020-11-20",15.45
"39","2020-11-23",15.51
"40","2020-11-24",17.639999
"41","2020-11-25",18.940001
"42","2020-11-27",19.129999
