"","date","IRT"
"1","2013-08-13",8.45
"2","2013-08-14",8.35
"3","2013-08-15",8.2
"4","2013-08-16",8.3
"5","2013-08-19",8.3
"6","2013-08-20",8.3
"7","2013-08-21",8.3
"8","2013-08-22",8.3
"9","2013-08-23",8.36
"10","2013-08-26",8.35
"11","2013-08-27",8.3
"12","2013-08-28",8.4
"13","2013-08-29",8.13
"14","2013-08-30",8.4
"15","2013-09-03",8.17
"16","2013-09-04",8.31
"17","2013-09-05",8.35
"18","2013-09-06",8.18
"19","2013-09-09",8.45
"20","2013-09-10",8.45
"21","2013-09-11",8.45
"22","2013-09-12",8.45
"23","2013-09-13",8.4
"24","2013-09-16",8.32
"25","2013-09-17",8.21
"26","2013-09-18",8.25
"27","2013-09-19",8.3
"28","2013-09-20",8.14
"29","2013-09-23",8.26
"30","2013-09-24",8.33
"31","2013-09-25",8.32
"32","2013-09-26",8.28
"33","2013-09-27",8.28
"34","2013-09-30",8.28
"35","2013-10-01",8.28
"36","2013-10-02",8.3
"37","2013-10-03",8.37
"38","2013-10-04",8.34
"39","2013-10-07",8.29
"40","2013-10-08",8.25
"41","2013-10-09",8.25
"42","2013-10-10",8.33
"43","2013-10-11",8.36
"44","2013-10-14",8.32
"45","2013-10-15",8.31
"46","2013-10-16",8.48
"47","2013-10-17",8.43
"48","2013-10-18",8.5
"49","2013-10-21",8.47
"50","2013-10-22",8.5
"51","2013-10-23",8.5
"52","2013-10-24",8.6
"53","2013-10-25",8.6
"54","2013-10-28",8.62
"55","2013-10-29",8.6
"56","2013-10-30",8.64
"57","2013-10-31",8.6
"58","2013-11-01",8.6
"59","2013-11-04",8.65
"60","2013-11-05",8.65
"61","2013-11-06",8.65
"62","2013-11-07",8.85
"63","2013-11-08",8.75
"64","2013-11-11",8.71
"65","2013-11-12",8.73
"66","2013-11-13",8.67
"67","2013-11-14",8.71
"68","2013-11-15",8.68
"69","2013-11-18",8.7
"70","2013-11-19",8.66
"71","2013-11-20",8.65
"72","2013-11-21",8.7
"73","2013-11-22",8.58
"74","2013-11-25",8.5
"75","2013-11-26",8.46
"76","2013-11-27",8.4
"77","2013-11-29",8.37
"78","2013-12-02",8.33
"79","2013-12-03",8.33
"80","2013-12-04",8.32
"81","2013-12-05",8.33
"82","2013-12-06",8.4
"83","2013-12-09",8.4
"84","2013-12-10",8.39
"85","2013-12-11",8.42
"86","2013-12-12",8.57
"87","2013-12-13",8.62
"88","2013-12-16",8.45
"89","2013-12-17",8.39
"90","2013-12-18",8.35
"91","2013-12-19",8.32
"92","2013-12-20",7.95
"93","2013-12-23",8.43
"94","2013-12-24",8.54
"95","2013-12-26",8.35
"96","2013-12-27",8.36
"97","2013-12-30",8.37
"98","2013-12-31",8.34
"99","2014-01-02",8.58
"100","2014-01-03",8.5
"101","2014-01-06",8.48
"102","2014-01-07",8.5
"103","2014-01-08",8.49
"104","2014-01-09",8.53
"105","2014-01-10",8.5
"106","2014-01-13",8.48
"107","2014-01-14",8.5
"108","2014-01-15",8.62
"109","2014-01-16",8.87
"110","2014-01-17",8.85
"111","2014-01-21",8.58
"112","2014-01-22",8.53
"113","2014-01-23",8.49
"114","2014-01-24",8.25
"115","2014-01-27",8.27
"116","2014-01-28",8.28
"117","2014-01-29",8.28
"118","2014-01-30",8.26
"119","2014-01-31",8.2
"120","2014-02-03",8.27
"121","2014-02-04",8.25
"122","2014-02-05",8.29
"123","2014-02-06",8.33
"124","2014-02-07",8.34
"125","2014-02-10",8.39
"126","2014-02-11",8.4
"127","2014-02-12",8.47
"128","2014-02-13",8.47
"129","2014-02-14",8.48
"130","2014-02-18",8.57
"131","2014-02-19",8.49
"132","2014-02-20",8.51
"133","2014-02-21",8.59
"134","2014-02-24",8.56
"135","2014-02-25",8.5
"136","2014-02-26",8.55
"137","2014-02-27",8.58
"138","2014-02-28",8.61
"139","2014-03-03",8.67
"140","2014-03-04",8.75
"141","2014-03-05",8.9
"142","2014-03-06",8.9
"143","2014-03-07",8.79
"144","2014-03-10",8.73
"145","2014-03-11",8.78
"146","2014-03-12",8.9
