"","date","APYX"
"1","2019-01-02",6.47
"2","2019-01-03",6.5
"3","2019-01-04",6.62
"4","2019-01-07",7.49
"5","2019-01-08",7.74
"6","2019-01-09",7.91
"7","2019-01-10",8.16
"8","2019-01-11",8.24
"9","2019-01-14",8.25
"10","2019-01-15",8.67
"11","2019-01-16",8.64
"12","2019-01-17",8.46
"13","2019-01-18",8.38
"14","2019-01-22",8.42
"15","2019-01-23",8.32
"16","2019-01-24",8.46
"17","2019-01-25",8.75
"18","2019-01-28",8.74
"19","2019-01-29",8.72
"20","2019-01-30",8.65
"21","2019-01-31",8.67
"22","2019-02-01",8.72
"23","2019-02-04",8.69
"24","2019-02-05",8.35
"25","2019-02-06",8.17
"26","2019-02-07",8.12
"27","2019-02-08",8.17
"28","2019-02-11",8.29
"29","2019-02-12",8.45
"30","2019-02-13",8.32
"31","2019-02-14",8.53
"32","2019-02-15",8.41
"33","2019-02-19",8.47
"34","2019-02-20",8.5
"35","2019-02-21",6.4
"36","2019-02-22",6.7
"37","2019-02-25",6.54
"38","2019-02-26",6.67
"39","2019-02-27",6.91
"40","2019-02-28",7.02
"41","2019-03-01",7.28
"42","2019-03-04",7.15
"43","2019-03-05",7.15
"44","2019-03-06",6.8
"45","2019-03-07",7.29
"46","2019-03-08",7
"47","2019-03-11",7.2
"48","2019-03-12",7.01
"49","2019-03-13",7.4
"50","2019-03-14",7.05
"51","2019-03-15",7.92
"52","2019-03-18",7.69
"53","2019-03-19",7.81
"54","2019-03-20",7.82
"55","2019-03-21",7.77
"56","2019-03-22",7.63
"57","2019-03-25",7.96
"58","2019-03-26",6.88
"59","2019-03-27",6.54
"60","2019-03-28",6.35
"61","2019-03-29",6.31
"62","2019-04-01",6.95
"63","2019-04-02",4.46
"64","2019-04-03",4.34
"65","2019-04-04",4.01
"66","2019-04-05",3.99
"67","2019-04-08",3.95
"68","2019-04-09",3.89
"69","2019-04-10",4.01
"70","2019-04-11",3.97
"71","2019-04-12",3.82
"72","2019-04-15",3.76
"73","2019-04-16",3.64
"74","2019-04-17",3.67
"75","2019-04-18",3.85
"76","2019-04-22",3.88
"77","2019-04-23",4.12
"78","2019-04-24",4.37
"79","2019-04-25",4.73
"80","2019-04-26",4.87
"81","2019-04-29",5.07
"82","2019-04-30",4.99
"83","2019-05-01",5.52
"84","2019-05-02",5.4
"85","2019-05-03",5.34
"86","2019-05-06",5.77
"87","2019-05-07",5.62
"88","2019-05-08",5.72
"89","2019-05-09",6.18
"90","2019-05-10",5.745
"91","2019-05-13",5.75
"92","2019-05-14",5.75
"93","2019-05-15",5.79
"94","2019-05-16",6.03
"95","2019-05-17",5.98
"96","2019-05-20",6.04
"97","2019-05-21",5.89
"98","2019-05-22",5.91
"99","2019-05-23",5.57
"100","2019-05-24",5.83
"101","2019-05-28",6.01
"102","2019-05-29",6.18
"103","2019-05-30",6.37
"104","2019-05-31",6.03
"105","2019-06-03",5.98
"106","2019-06-04",6.1
"107","2019-06-05",6.09
"108","2019-06-06",5.79
"109","2019-06-07",5.79
"110","2019-06-10",5.79
"111","2019-06-11",6.08
"112","2019-06-12",6.19
"113","2019-06-13",6.08
"114","2019-06-14",6.27
"115","2019-06-17",6.65
"116","2019-06-18",6.79
"117","2019-06-19",6.65
"118","2019-06-20",6.52
"119","2019-06-21",6.38
"120","2019-06-24",6.23
"121","2019-06-25",5.88
"122","2019-06-26",5.74
"123","2019-06-27",5.98
"124","2019-06-28",6.72
"125","2019-07-01",6.95
"126","2019-07-02",6.96
"127","2019-07-03",7.14
"128","2019-07-05",7.24
"129","2019-07-08",7.13
"130","2019-07-09",7
"131","2019-07-10",7.04
"132","2019-07-11",7.17
"133","2019-07-12",7
"134","2019-07-15",6.96
"135","2019-07-16",6.73
"136","2019-07-17",6.59
"137","2019-07-18",6.32
"138","2019-07-19",6.31
"139","2019-07-22",6.65
"140","2019-07-23",6.48
"141","2019-07-24",6.8
"142","2019-07-25",6.71
"143","2019-07-26",6.89
"144","2019-07-29",7.11
"145","2019-07-30",7.37
"146","2019-07-31",7.24
"147","2019-08-01",7.28
"148","2019-08-02",7.41
"149","2019-08-05",6.68
"150","2019-08-06",6.43
"151","2019-08-07",6.3
"152","2019-08-08",7.26
"153","2019-08-09",7.32
"154","2019-08-12",7.59
"155","2019-08-13",7.9
"156","2019-08-14",7.61
"157","2019-08-15",7.3
"158","2019-08-16",7.41
"159","2019-08-19",7.68
"160","2019-08-20",7.6
"161","2019-08-21",7.82
"162","2019-08-22",7.36
"163","2019-08-23",6.8
"164","2019-08-26",6.97
"165","2019-08-27",6.79
"166","2019-08-28",6.84
"167","2019-08-29",7.11
"168","2019-08-30",7.11
"169","2019-09-03",6.88
"170","2019-09-04",6.98
"171","2019-09-05",7.53
"172","2019-09-06",7.52
"173","2019-09-09",6.81
"174","2019-09-10",7.29
"175","2019-09-11",7.49
"176","2019-09-12",7.53
"177","2019-09-13",7.55
"178","2019-09-16",7.17
"179","2019-09-17",7.15
"180","2019-09-18",7.04
"181","2019-09-19",7.27
"182","2019-09-20",7.33
"183","2019-09-23",7.39
"184","2019-09-24",7.19
"185","2019-09-25",7.24
"186","2019-09-26",7.03
"187","2019-09-27",6.58
"188","2019-09-30",6.77
"189","2019-10-01",6.41
"190","2019-10-02",6.29
"191","2019-10-03",6.41
"192","2019-10-04",6.49
"193","2019-10-07",6.43
"194","2019-10-08",6.31
"195","2019-10-09",6.61
"196","2019-10-10",6.57
"197","2019-10-11",6.94
"198","2019-10-14",6.79
"199","2019-10-15",6.57
"200","2019-10-16",6.55
"201","2019-10-17",6.9
"202","2019-10-18",6.75
"203","2019-10-21",6.77
"204","2019-10-22",6.59
"205","2019-10-23",6.55
"206","2019-10-24",6.46
"207","2019-10-25",6.35
"208","2019-10-28",6.44
"209","2019-10-29",6.48
"210","2019-10-30",6.57
"211","2019-10-31",6.6
"212","2019-11-01",6.72
"213","2019-11-04",6.78
"214","2019-11-05",6.78
"215","2019-11-06",6.82
"216","2019-11-07",6.84
"217","2019-11-08",7.01
"218","2019-11-11",7.22
"219","2019-11-12",8
"220","2019-11-13",7.89
"221","2019-11-14",7.85
"222","2019-11-15",7.39
"223","2019-11-18",6.99
"224","2019-11-19",6.75
"225","2019-11-20",7.08
"226","2019-11-21",7.18
"227","2019-11-22",7.06
"228","2019-11-25",7.5
"229","2019-11-26",7.76
"230","2019-11-27",7.815
"231","2019-11-29",7.98
"232","2019-12-02",7.44
"233","2019-12-03",7.33
"234","2019-12-04",7.94
"235","2019-12-05",7.76
"236","2019-12-06",8.035
"237","2019-12-09",7.92
"238","2019-12-10",7.98
"239","2019-12-11",7.99
"240","2019-12-12",8.05
"241","2019-12-13",8.08
"242","2019-12-16",7.9
"243","2019-12-17",7.79
"244","2019-12-18",7.795
"245","2019-12-19",7.72
"246","2019-12-20",7.62
"247","2019-12-23",7.805
"248","2019-12-24",7.84
"249","2019-12-26",8.1
"250","2019-12-27",8.23
"251","2019-12-30",8.32
"252","2019-12-31",8.46
"253","2020-01-02",8.51
"254","2020-01-03",8.47
"255","2020-01-06",8.29
"256","2020-01-07",8.27
"257","2020-01-08",8.23
"258","2020-01-09",8.1
"259","2020-01-10",8.12
"260","2020-01-13",8.2
"261","2020-01-14",8.025
"262","2020-01-15",8.18
"263","2020-01-16",8.38
"264","2020-01-17",8.12
"265","2020-01-21",8.21
"266","2020-01-22",8.285
"267","2020-01-23",8.235
"268","2020-01-24",8.01
"269","2020-01-27",7.82
"270","2020-01-28",7.73
"271","2020-01-29",7.59
"272","2020-01-30",7.56
"273","2020-01-31",7.59
"274","2020-02-03",7.4
"275","2020-02-04",7.53
"276","2020-02-05",7.5
"277","2020-02-06",7.55
"278","2020-02-07",7.55
"279","2020-02-10",7.89
"280","2020-02-11",8.02
"281","2020-02-12",7.9
"282","2020-02-13",7.91
"283","2020-02-14",7.83
"284","2020-02-18",7.57
"285","2020-02-19",7.6
"286","2020-02-20",7.58
"287","2020-02-21",7.62
"288","2020-02-24",7.22
"289","2020-02-25",7.1
"290","2020-02-26",6.96
"291","2020-02-27",6.6
"292","2020-02-28",6.05
"293","2020-03-02",6.41
"294","2020-03-03",6.55
"295","2020-03-04",6.98
"296","2020-03-05",6.57
"297","2020-03-06",6.3
"298","2020-03-09",5.73
"299","2020-03-10",5.53
"300","2020-03-11",5.06
"301","2020-03-12",4.66
"302","2020-03-13",5.54
"303","2020-03-16",4.59
"304","2020-03-17",4.36
"305","2020-03-18",4.08
"306","2020-03-19",3.84
"307","2020-03-20",3.53
"308","2020-03-23",3.24
"309","2020-03-24",3.46
"310","2020-03-25",3.67
"311","2020-03-26",3.95
"312","2020-03-27",3.63
"313","2020-03-30",3.57
"314","2020-03-31",3.59
"315","2020-04-01",3.49
"316","2020-04-02",3.74
"317","2020-04-03",3.58
"318","2020-04-06",3.73
"319","2020-04-07",3.79
"320","2020-04-08",3.88
"321","2020-04-09",3.97
"322","2020-04-13",3.59
"323","2020-04-14",3.63
"324","2020-04-15",3.49
"325","2020-04-16",3.22
"326","2020-04-17",3.62
"327","2020-04-20",3.56
"328","2020-04-21",3.47
"329","2020-04-22",3.49
"330","2020-04-23",3.33
"331","2020-04-24",3.37
"332","2020-04-27",3.25
"333","2020-04-28",3.39
"334","2020-04-29",3.73
"335","2020-04-30",3.4
"336","2020-05-01",3.23
"337","2020-05-04",3.17
"338","2020-05-05",3.25
"339","2020-05-06",2.89
"340","2020-05-07",2.87
"341","2020-05-08",3.25
"342","2020-05-11",3.65
"343","2020-05-12",3.22
"344","2020-05-13",3.29
"345","2020-05-14",3.62
"346","2020-05-15",3.61
"347","2020-05-18",4.205
"348","2020-05-19",4.07
"349","2020-05-20",4.89
"350","2020-05-21",4.86
"351","2020-05-22",4.58
"352","2020-05-26",4.68
"353","2020-05-27",4.44
"354","2020-05-28",4.42
"355","2020-05-29",4.44
"356","2020-06-01",4.07
"357","2020-06-02",4.38
"358","2020-06-03",4.55
"359","2020-06-04",4.52
"360","2020-06-05",4.91
"361","2020-06-08",5.03
"362","2020-06-09",5.42
"363","2020-06-10",5.29
"364","2020-06-11",5.06
"365","2020-06-12",4.87
"366","2020-06-15",4.74
"367","2020-06-16",5.07
"368","2020-06-17",4.99
"369","2020-06-18",4.79
"370","2020-06-19",4.68
"371","2020-06-22",4.78
"372","2020-06-23",5.83
"373","2020-06-24",5.69
"374","2020-06-25",5.54
"375","2020-06-26",5.42
"376","2020-06-29",5.3
"377","2020-06-30",5.55
"378","2020-07-01",5.3
"379","2020-07-02",5.42
"380","2020-07-06",5.32
"381","2020-07-07",5.01
"382","2020-07-08",4.81
"383","2020-07-09",4.61
"384","2020-07-10",4.78
"385","2020-07-13",4.79
"386","2020-07-14",4.92
"387","2020-07-15",5.3
"388","2020-07-16",5.29
"389","2020-07-17",5.47
"390","2020-07-20",5.23
"391","2020-07-21",5.44
"392","2020-07-22",5.24
"393","2020-07-23",5.15
"394","2020-07-24",5.11
"395","2020-07-27",5.13
"396","2020-07-28",5.41
"397","2020-07-29",4.98
"398","2020-07-30",4.73
