"","date","OII"
"1","2007-01-03",18.455
"2","2007-01-04",17.790001
"3","2007-01-05",18.209999
"4","2007-01-08",19.094999
"5","2007-01-09",18.905001
"6","2007-01-10",18.940001
"7","2007-01-11",18.955
"8","2007-01-12",19.584999
"9","2007-01-16",19.014999
"10","2007-01-17",19.445
"11","2007-01-18",18.91
"12","2007-01-19",19.475
"13","2007-01-22",19.65
"14","2007-01-23",20.15
"15","2007-01-24",20.125
"16","2007-01-25",19.620001
"17","2007-01-26",19.559999
"18","2007-01-29",19.25
"19","2007-01-30",19.825001
"20","2007-01-31",19.735001
"21","2007-02-01",19.834999
"22","2007-02-02",19.91
"23","2007-02-05",20.33
"24","2007-02-06",20.299999
"25","2007-02-07",20.365
"26","2007-02-08",20.545
"27","2007-02-09",20.514999
"28","2007-02-12",20.18
"29","2007-02-13",20.66
"30","2007-02-14",20.985001
"31","2007-02-15",20.875
"32","2007-02-16",20.76
"33","2007-02-20",21
"34","2007-02-21",21.34
"35","2007-02-22",20.775
"36","2007-02-23",20.535
"37","2007-02-26",20.709999
"38","2007-02-27",19.815001
"39","2007-02-28",19.719999
"40","2007-03-01",19.575001
"41","2007-03-02",19.094999
"42","2007-03-05",18.645
"43","2007-03-06",18.870001
"44","2007-03-07",19.459999
"45","2007-03-08",19.695
"46","2007-03-09",19.735001
"47","2007-03-12",19.754999
"48","2007-03-13",19.125
"49","2007-03-14",19.610001
"50","2007-03-15",19.459999
"51","2007-03-16",19.389999
"52","2007-03-19",20.145
"53","2007-03-20",20.504999
"54","2007-03-21",20.684999
"55","2007-03-22",21.190001
"56","2007-03-23",21.084999
"57","2007-03-26",21.059999
"58","2007-03-27",21.030001
"59","2007-03-28",21.33
"60","2007-03-29",21.495001
"61","2007-03-30",21.059999
"62","2007-04-02",21.434999
"63","2007-04-03",21.254999
"64","2007-04-04",21.565001
"65","2007-04-05",21.584999
"66","2007-04-09",21.450001
"67","2007-04-10",22.360001
"68","2007-04-11",22.49
"69","2007-04-12",22.92
"70","2007-04-13",23.26
"71","2007-04-16",23.075001
"72","2007-04-17",23.17
"73","2007-04-18",22.790001
"74","2007-04-19",22.415001
"75","2007-04-20",22.299999
"76","2007-04-23",22.49
"77","2007-04-24",22.98
"78","2007-04-25",23.565001
"79","2007-04-26",23.68
"80","2007-04-27",23.889999
"81","2007-04-30",23.77
"82","2007-05-01",23.584999
"83","2007-05-02",24.065001
"84","2007-05-03",24.370001
"85","2007-05-04",24.4
"86","2007-05-07",24.225
"87","2007-05-08",24.459999
"88","2007-05-09",24.209999
"89","2007-05-10",23.715
"90","2007-05-11",24.74
"91","2007-05-14",24.215
"92","2007-05-15",24.014999
"93","2007-05-16",24.01
"94","2007-05-17",24.530001
"95","2007-05-18",24.950001
"96","2007-05-21",24.795
"97","2007-05-22",24.25
