"","date","FNWB"
"1","2015-01-30",12.18
"2","2015-02-02",12.15
"3","2015-02-03",12.25
"4","2015-02-04",12.29
"5","2015-02-05",12.35
"6","2015-02-06",12.49
"7","2015-02-09",12.51
"8","2015-02-10",12.56
"9","2015-02-11",12.56
"10","2015-02-12",12.55
"11","2015-02-13",12.53
"12","2015-02-17",12.51
"13","2015-02-18",12.5
"14","2015-02-19",12.52
"15","2015-02-20",12.52
"16","2015-02-23",12.51
"17","2015-02-24",12.52
"18","2015-02-25",12.51
"19","2015-02-26",12.51
"20","2015-02-27",12.52
"21","2015-03-02",12.51
"22","2015-03-03",12.52
"23","2015-03-04",12.5
"24","2015-03-05",12.47
"25","2015-03-06",12.49
"26","2015-03-09",12.44
"27","2015-03-10",12.41
"28","2015-03-11",12.42
"29","2015-03-12",12.45
"30","2015-03-13",12.43
"31","2015-03-16",12.4
"32","2015-03-17",12.44
"33","2015-03-18",12.5
"34","2015-03-19",12.3
"35","2015-03-20",12.44
"36","2015-03-23",12.45
"37","2015-03-24",12.47
"38","2015-03-25",12.5
"39","2015-03-26",12.42
"40","2015-03-27",12.31
"41","2015-03-30",12.35
"42","2015-03-31",12.48
"43","2015-04-01",12.48
"44","2015-04-02",12.44
"45","2015-04-06",12.35
"46","2015-04-07",12.36
"47","2015-04-08",12.37
"48","2015-04-09",12.25
"49","2015-04-10",12.36
"50","2015-04-13",12.3
"51","2015-04-14",12.28
"52","2015-04-15",12.28
"53","2015-04-16",12.28
"54","2015-04-17",12.2
"55","2015-04-20",12.205
"56","2015-04-21",12.19
"57","2015-04-22",12.18
"58","2015-04-23",12.18
"59","2015-04-24",12.2
"60","2015-04-27",12.2
"61","2015-04-28",12.19
"62","2015-04-29",12.11
"63","2015-04-30",12.11
"64","2015-05-01",12.03
"65","2015-05-04",12.08
"66","2015-05-05",12.18
"67","2015-05-06",12.04
"68","2015-05-07",12
"69","2015-05-08",11.99
"70","2015-05-11",12
"71","2015-05-12",12
"72","2015-05-13",11.98
"73","2015-05-14",12.12
"74","2015-05-15",12.18
"75","2015-05-18",12.21
"76","2015-05-19",12.25
"77","2015-05-20",12.297
"78","2015-05-21",12.329
"79","2015-05-22",12.391
"80","2015-05-26",12.49
"81","2015-05-27",12.32
"82","2015-05-28",12.34
"83","2015-05-29",12.3
"84","2015-06-01",12.29
"85","2015-06-02",12.3
"86","2015-06-03",12.3
"87","2015-06-04",12.3
"88","2015-06-05",12.33
"89","2015-06-08",12.32
"90","2015-06-09",12.19
"91","2015-06-10",12.19
"92","2015-06-11",12.34
"93","2015-06-12",12.17
"94","2015-06-15",12.3
"95","2015-06-16",12.34
"96","2015-06-17",12.42
"97","2015-06-18",12.36
"98","2015-06-19",12.06
"99","2015-06-22",12.28
"100","2015-06-23",12.29
"101","2015-06-24",12.4
"102","2015-06-25",12.36
"103","2015-06-26",12.51
"104","2015-06-29",12.4
"105","2015-06-30",12.47
"106","2015-07-01",12.46
"107","2015-07-02",12.47
"108","2015-07-06",12.24
"109","2015-07-07",12.28
"110","2015-07-08",12.22
"111","2015-07-09",12.26
"112","2015-07-10",12.47
"113","2015-07-13",12.46
"114","2015-07-14",12.5
"115","2015-07-15",12.5
"116","2015-07-16",12.51
"117","2015-07-17",12.51
"118","2015-07-20",12.51
"119","2015-07-21",12.55
"120","2015-07-22",12.5
"121","2015-07-23",12.4
"122","2015-07-24",12.43
"123","2015-07-27",12.39
"124","2015-07-28",12.37
"125","2015-07-29",12.35
"126","2015-07-30",12.36
"127","2015-07-31",12.3
"128","2015-08-03",12.25
"129","2015-08-04",12.32
"130","2015-08-05",12.35
"131","2015-08-06",12.43
"132","2015-08-07",12.33
"133","2015-08-10",12.4
"134","2015-08-11",12.3
"135","2015-08-12",12.28
"136","2015-08-13",12.22
"137","2015-08-14",12.26
"138","2015-08-17",12.28
"139","2015-08-18",12.24
"140","2015-08-19",12.19
"141","2015-08-20",12.06
"142","2015-08-21",12.05
"143","2015-08-24",11.88
"144","2015-08-25",11.8
"145","2015-08-26",11.85
"146","2015-08-27",11.83
"147","2015-08-28",11.85
"148","2015-08-31",12
"149","2015-09-01",12.09
"150","2015-09-02",11.95
"151","2015-09-03",12.1
"152","2015-09-04",12.16
"153","2015-09-08",12.2
"154","2015-09-09",12.06
"155","2015-09-10",12.22
"156","2015-09-11",12.13
"157","2015-09-14",12.13
"158","2015-09-15",12.11
"159","2015-09-16",12.16
"160","2015-09-17",12.3
"161","2015-09-18",12.39
"162","2015-09-21",12.38
"163","2015-09-22",12.36
"164","2015-09-23",12.24
"165","2015-09-24",12.25
"166","2015-09-25",12.37
"167","2015-09-28",12.38
"168","2015-09-29",12.38
"169","2015-09-30",12.38
"170","2015-10-01",12.2
"171","2015-10-02",12.15
"172","2015-10-05",12.18
"173","2015-10-06",12.15
"174","2015-10-07",12.1
"175","2015-10-08",12.3
"176","2015-10-09",12.25
"177","2015-10-12",12.38
"178","2015-10-13",12.32
"179","2015-10-14",12.22
"180","2015-10-15",12.39
"181","2015-10-16",12.38
"182","2015-10-19",12.383
"183","2015-10-20",12.4
"184","2015-10-21",12.35
"185","2015-10-22",12.25
"186","2015-10-23",12.29
"187","2015-10-26",12.22
"188","2015-10-27",12.33
"189","2015-10-28",12.33
"190","2015-10-29",12.52
"191","2015-10-30",12.64
"192","2015-11-02",12.87
"193","2015-11-03",12.73
"194","2015-11-04",12.74
"195","2015-11-05",12.831
"196","2015-11-06",13.12
"197","2015-11-09",13.19
"198","2015-11-10",13.37
"199","2015-11-11",13.49
"200","2015-11-12",13.51
"201","2015-11-13",13.69
"202","2015-11-16",13.58
"203","2015-11-17",13.57
"204","2015-11-18",13.64
"205","2015-11-19",13.76
"206","2015-11-20",13.92
"207","2015-11-23",13.9
"208","2015-11-24",13.97
"209","2015-11-25",14.04
"210","2015-11-27",13.99
"211","2015-11-30",14.02
"212","2015-12-01",13.98
"213","2015-12-02",14.01
"214","2015-12-03",13.82
"215","2015-12-04",13.97
"216","2015-12-07",13.95
"217","2015-12-08",13.84
"218","2015-12-09",13.97
"219","2015-12-10",14.06
"220","2015-12-11",13.49
"221","2015-12-14",13.5
"222","2015-12-15",13.59
"223","2015-12-16",13.85
"224","2015-12-17",13.57
"225","2015-12-18",13.92
"226","2015-12-21",13.93
"227","2015-12-22",13.62
"228","2015-12-23",13.78
"229","2015-12-24",13.82
"230","2015-12-28",13.91
"231","2015-12-29",14.113
"232","2015-12-30",14.21
"233","2015-12-31",14.15
"234","2016-01-04",13.52
"235","2016-01-05",13.79
"236","2016-01-06",13.79
"237","2016-01-07",13.64
"238","2016-01-08",13.63
"239","2016-01-11",13.68
"240","2016-01-12",13.49
"241","2016-01-13",12.91
"242","2016-01-14",13.02
"243","2016-01-15",12.63
"244","2016-01-19",12.74
"245","2016-01-20",12.88
"246","2016-01-21",12.88
"247","2016-01-22",13
"248","2016-01-25",12.56
"249","2016-01-26",12.82
"250","2016-01-27",12.65
"251","2016-01-28",12.88
"252","2016-01-29",12.95
"253","2016-02-01",12.82
"254","2016-02-02",12.69
"255","2016-02-03",12.67
"256","2016-02-04",12.8
"257","2016-02-05",12.45
"258","2016-02-08",12.4
"259","2016-02-09",12.33
"260","2016-02-10",12.15
"261","2016-02-11",12.13
