"","date","GMHIU"
"1","2019-02-01",10.12
"2","2019-02-04",10.13
"3","2019-02-05",10.12
"4","2019-02-06",10.12
"5","2019-02-07",10.12
"6","2019-02-08",10.12
"7","2019-02-11",10.12
"8","2019-02-12",10.13
"9","2019-02-13",10.14
"10","2019-02-14",10.15
"11","2019-02-15",10.16
"12","2019-02-19",10.17
"13","2019-02-20",10.17
"14","2019-02-21",10.2
"15","2019-02-22",10.243
"16","2019-02-25",10.25
"17","2019-02-26",10.22
"18","2019-02-27",10.2
"19","2019-02-28",10.21
"20","2019-03-01",10.16
"21","2019-03-04",10.22
"22","2019-03-05",10.23
"23","2019-03-06",10.2
"24","2019-03-07",10.18
"25","2019-03-08",10.187
"26","2019-03-11",10.18
"27","2019-03-12",10.18
"28","2019-03-13",10.195
"29","2019-03-14",10.18
"30","2019-03-15",10.2
"31","2019-03-18",10.2
"32","2019-03-19",10.15
"33","2019-03-20",10.18
"34","2019-03-21",10.18
"35","2019-03-22",10.21
"36","2019-03-25",10.25
"37","2019-03-26",10.21
"38","2019-03-27",10.22
"39","2019-03-28",10.22
"40","2019-03-29",10.24
"41","2019-04-01",10.19
"42","2019-04-02",10.2
"43","2019-04-03",10.23
"44","2019-04-04",10.23
"45","2019-04-05",10.23
"46","2019-04-08",10.22
"47","2019-04-09",10.21
"48","2019-04-10",10.21
"49","2019-04-11",10.21
"50","2019-04-12",10.2
"51","2019-04-15",10.21
"52","2019-04-16",10.21
"53","2019-04-17",10.22
"54","2019-04-18",10.22
"55","2019-04-22",10.22
"56","2019-04-23",10.25
"57","2019-04-24",10.25
"58","2019-04-25",10.25
"59","2019-04-26",10.3
"60","2019-04-29",10.3
"61","2019-04-30",10.3
"62","2019-05-01",10.3
"63","2019-05-02",10.3
"64","2019-05-03",10.3
"65","2019-05-06",10.275
"66","2019-05-07",10.3
"67","2019-05-08",10.31
"68","2019-05-09",10.32
"69","2019-05-10",10.3
"70","2019-05-13",10.3
"71","2019-05-14",10.3
"72","2019-05-15",10.3
"73","2019-05-16",10.3
"74","2019-05-17",10.3
"75","2019-05-20",10.3
"76","2019-05-21",10.27
"77","2019-05-22",10.26
"78","2019-05-23",10.29
"79","2019-05-24",10.29
"80","2019-05-28",10.29
