"","date","GOAC"
"1","2020-09-25",9.8
"2","2020-09-28",9.82
"3","2020-09-29",9.85
"4","2020-09-30",9.84
"5","2020-10-01",9.76
"6","2020-10-02",9.76
"7","2020-10-05",9.72
"8","2020-10-06",9.73
"9","2020-10-07",9.72
"10","2020-10-08",9.77
"11","2020-10-09",9.72
"12","2020-10-12",9.75
"13","2020-10-13",9.755
"14","2020-10-14",9.75
"15","2020-10-15",9.75
"16","2020-10-16",9.74
"17","2020-10-19",9.75
"18","2020-10-20",9.73
"19","2020-10-21",9.69
"20","2020-10-22",9.69
"21","2020-10-23",9.69
"22","2020-10-26",9.66
"23","2020-10-27",9.68
"24","2020-10-28",9.68
"25","2020-10-29",9.67
"26","2020-10-30",9.65
"27","2020-11-02",9.665
"28","2020-11-03",9.65
"29","2020-11-04",9.67
"30","2020-11-05",9.7
"31","2020-11-06",9.7
"32","2020-11-09",9.71
"33","2020-11-10",9.72
"34","2020-11-11",9.68
"35","2020-11-12",9.7
"36","2020-11-13",9.7
"37","2020-11-16",9.78
"38","2020-11-17",9.75
"39","2020-11-18",9.75
"40","2020-11-19",9.72
"41","2020-11-20",9.72
"42","2020-11-23",9.74
"43","2020-11-24",9.79
"44","2020-11-25",9.83
"45","2020-11-27",9.85
