"","date","TAYD"
"1","2007-01-03",6.05
"2","2007-01-04",6.12
"3","2007-01-05",6.08
"4","2007-01-08",6.12
"5","2007-01-09",6.12
"6","2007-01-10",5.96
"7","2007-01-11",5.97
"8","2007-01-12",5.4
"9","2007-01-16",5.45
"10","2007-01-17",5.32
"11","2007-01-18",5.2
"12","2007-01-19",5.31
"13","2007-01-22",5.25
"14","2007-01-23",5.31
"15","2007-01-24",5.27
"16","2007-01-25",5.29
"17","2007-01-26",5.32
"18","2007-01-29",5.27
"19","2007-01-30",5.28
"20","2007-01-31",5.26
"21","2007-02-01",5.28
"22","2007-02-02",5.3
"23","2007-02-05",5.24
"24","2007-02-06",5.28
"25","2007-02-07",5.26
"26","2007-02-08",5.25
"27","2007-02-09",5.09
"28","2007-02-12",5.13
"29","2007-02-13",5.17
"30","2007-02-14",5.15
"31","2007-02-15",5.13
"32","2007-02-16",5.25
"33","2007-02-20",5.29
"34","2007-02-21",5.26
"35","2007-02-22",5.3
"36","2007-02-23",5.25
"37","2007-02-26",5.26
"38","2007-02-27",5.16
"39","2007-02-28",5.15
"40","2007-03-01",5.15
"41","2007-03-02",5.07
"42","2007-03-05",4.95
"43","2007-03-06",4.95
"44","2007-03-07",4.92
"45","2007-03-08",5
"46","2007-03-09",5
"47","2007-03-12",4.97
"48","2007-03-13",4.95
"49","2007-03-14",4.79
"50","2007-03-15",5
"51","2007-03-16",5.04
"52","2007-03-19",5
"53","2007-03-20",4.96
"54","2007-03-21",5
"55","2007-03-22",5
"56","2007-03-23",4.96
"57","2007-03-26",4.85
"58","2007-03-27",4.98
"59","2007-03-28",4.95
"60","2007-03-29",4.89
"61","2007-03-30",4.95
"62","2007-04-02",5.09
"63","2007-04-03",5.09
"64","2007-04-04",5.1
"65","2007-04-05",5.07
"66","2007-04-09",5.25
"67","2007-04-10",5.29
"68","2007-04-11",5.56
"69","2007-04-12",5.79
"70","2007-04-13",5.7
"71","2007-04-16",5.68
"72","2007-04-17",5.52
"73","2007-04-18",5.51
"74","2007-04-19",5.45
"75","2007-04-20",5.49
"76","2007-04-23",5.59
"77","2007-04-24",5.52
"78","2007-04-25",5.43
"79","2007-04-26",5.5
"80","2007-04-27",5.45
"81","2007-04-30",5.49
"82","2007-05-01",5.5
"83","2007-05-02",5.59
"84","2007-05-03",5.6
"85","2007-05-04",5.45
"86","2007-05-07",5.38
"87","2007-05-08",5.46
"88","2007-05-09",5.37
"89","2007-05-10",5.48
"90","2007-05-11",5.46
"91","2007-05-14",5.4
"92","2007-05-15",5.43
"93","2007-05-16",5.5
"94","2007-05-17",5.45
"95","2007-05-18",5.4
"96","2007-05-21",5.49
"97","2007-05-22",5.46
"98","2007-05-23",5.68
"99","2007-05-24",5.64
"100","2007-05-25",5.6
"101","2007-05-29",5.84
"102","2007-05-30",5.88
"103","2007-05-31",5.8
"104","2007-06-01",5.89
"105","2007-06-04",5.97
"106","2007-06-05",5.87
"107","2007-06-06",5.93
"108","2007-06-07",5.6
"109","2007-06-08",5.7
"110","2007-06-11",5.76
"111","2007-06-12",5.78
"112","2007-06-13",6.01
"113","2007-06-14",5.85
"114","2007-06-15",5.75
"115","2007-06-18",5.86
"116","2007-06-19",5.9
"117","2007-06-20",5.87
"118","2007-06-21",5.96
"119","2007-06-22",5.9
"120","2007-06-25",5.79
"121","2007-06-26",5.77
"122","2007-06-27",5.72
"123","2007-06-28",5.73
"124","2007-06-29",5.72
"125","2007-07-02",5.78
"126","2007-07-03",5.83
"127","2007-07-05",5.73
"128","2007-07-06",5.82
"129","2007-07-09",5.91
"130","2007-07-10",5.94
"131","2007-07-11",5.92
"132","2007-07-12",5.81
"133","2007-07-13",5.9
"134","2007-07-16",5.97
"135","2007-07-17",6.05
"136","2007-07-18",6.05
"137","2007-07-19",6.14
"138","2007-07-20",6.2
"139","2007-07-23",6.12
"140","2007-07-24",6.15
"141","2007-07-25",6.21
"142","2007-07-26",6.08
"143","2007-07-27",6.07
"144","2007-07-30",6.2
"145","2007-07-31",6.15
"146","2007-08-01",6.12
"147","2007-08-02",6.55
"148","2007-08-03",6.76
"149","2007-08-06",6.7
"150","2007-08-07",6.55
"151","2007-08-08",6.55
"152","2007-08-09",6.51
"153","2007-08-10",6.42
"154","2007-08-13",6.41
"155","2007-08-14",6.49
"156","2007-08-15",6.46
"157","2007-08-16",5.76
"158","2007-08-17",6.05
"159","2007-08-20",6.08
"160","2007-08-21",6.07
"161","2007-08-22",6.02
"162","2007-08-23",6.04
"163","2007-08-24",6.12
"164","2007-08-27",6.09
"165","2007-08-28",5.9
"166","2007-08-29",5.86
"167","2007-08-30",5.83
"168","2007-08-31",5.85
"169","2007-09-04",5.94
"170","2007-09-05",6.09
"171","2007-09-06",6.21
"172","2007-09-07",6.14
"173","2007-09-10",6.01
"174","2007-09-11",6.08
"175","2007-09-12",6.02
"176","2007-09-13",6.06
"177","2007-09-14",6.01
"178","2007-09-17",6
"179","2007-09-18",5.99
"180","2007-09-19",6.02
"181","2007-09-20",6.3
"182","2007-09-21",6.49
"183","2007-09-24",6.29
"184","2007-09-25",6.24
"185","2007-09-26",6.38
"186","2007-09-27",6.25
"187","2007-09-28",6.3
"188","2007-10-01",6.4
"189","2007-10-02",6.5
"190","2007-10-03",6.44
"191","2007-10-04",6.6
"192","2007-10-05",6.73
"193","2007-10-08",6.75
"194","2007-10-09",6.76
"195","2007-10-10",6.8
"196","2007-10-11",7.2
"197","2007-10-12",7.23
"198","2007-10-15",7.15
"199","2007-10-16",7.18
"200","2007-10-17",7.2
"201","2007-10-18",7
"202","2007-10-19",6.9
"203","2007-10-22",6.86
"204","2007-10-23",7.21
"205","2007-10-24",7
"206","2007-10-25",6.99
"207","2007-10-26",7.01
"208","2007-10-29",7.09
"209","2007-10-30",6.96
"210","2007-10-31",7
"211","2007-11-01",6.83
"212","2007-11-02",6.94
"213","2007-11-05",7.01
"214","2007-11-06",7.05
