"","date","CZR"
"1","2014-09-22",4.35
"2","2014-09-23",4.26
"3","2014-09-24",4.34
"4","2014-09-25",4
"5","2014-09-26",4.4
"6","2014-09-29",4.23
"7","2014-09-30",4.21
"8","2014-10-01",4.1
"9","2014-10-02",4.27
"10","2014-10-03",4.15
"11","2014-10-06",4.13
"12","2014-10-07",4
"13","2014-10-08",4.25
"14","2014-10-09",4.1
"15","2014-10-10",4
"16","2014-10-13",3.985
"17","2014-10-14",4
"18","2014-10-15",4
"19","2014-10-16",3.96
"20","2014-10-17",4
"21","2014-10-20",4.045
"22","2014-10-21",4.01
"23","2014-10-22",4.06
"24","2014-10-23",4.04
"25","2014-10-24",4.1
"26","2014-10-27",4.15
"27","2014-10-28",4.15
"28","2014-10-29",4.04
"29","2014-10-30",4.07
"30","2014-10-31",4.12
"31","2014-11-03",4.24
"32","2014-11-04",4.2
"33","2014-11-05",4.27
"34","2014-11-06",4.24
"35","2014-11-07",4.24
"36","2014-11-10",4.2
"37","2014-11-11",4.2
"38","2014-11-12",4.27
"39","2014-11-13",4.31
"40","2014-11-14",4.32
"41","2014-11-17",4.26
"42","2014-11-18",4.25
"43","2014-11-19",4.2
"44","2014-11-20",4.21
"45","2014-11-21",4.3
"46","2014-11-24",4.31
"47","2014-11-25",4.22
"48","2014-11-26",4.14
"49","2014-11-28",4.14
"50","2014-12-01",4.18
"51","2014-12-02",4.27
"52","2014-12-03",4.28
"53","2014-12-04",4.265
"54","2014-12-05",4.24
"55","2014-12-08",4.14
"56","2014-12-09",4.11
"57","2014-12-10",4.05
"58","2014-12-11",4.08
"59","2014-12-12",4.05
"60","2014-12-15",4.15
"61","2014-12-16",4.25
"62","2014-12-17",4.24
"63","2014-12-18",4.3
"64","2014-12-19",4.24
"65","2014-12-22",4.34
"66","2014-12-23",4.33
"67","2014-12-24",4.38
"68","2014-12-26",4.21
"69","2014-12-29",4.244
"70","2014-12-30",4.14
"71","2014-12-31",4.05
"72","2015-01-02",4.04
"73","2015-01-05",4.25
"74","2015-01-06",4.07
"75","2015-01-07",4.29
"76","2015-01-08",4.2
"77","2015-01-09",4.185
